,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,181,0,246,213,0,0,0,0,0,0,142,2,0,0,175,87
layer_1,6,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
layer_2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0
layer_3,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,1,2,0,0,1
layer_4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
layer_5,25,27,2,1,0,0,0,3,0,0,0,0,0,6,2,6,0,2,0,0,3,16,8,0,1,1,1,0,0,0,0,0
layer_6,0,0,0,0,0,1,3,1,0,0,1,0,6,3,1,3,0,0,0,0,1,10,0,0,0,0,0,0,0,2,0,2
layer_7,11,2,0,0,0,6,8,1,7,15,14,13,0,7,2,1,0,0,0,0,0,0,0,0,28,5,2,0,0,0,0,0
layer_8,0,5,1,10,8,2,3,0,1,13,0,0,6,0,0,1,0,0,0,0,8,6,0,2,0,0,1,2,3,0,1,6
layer_9,2,0,0,0,3,8,0,0,0,0,0,2,2,0,7,0,0,1,1,0,0,5,1,2,2,0,0,0,0,1,121,20
layer_10,0,1,2,2,0,9,1,54,1,1,26,0,91,1,45,18,0,1,0,77,8,4,3,7,22,3,0,0,26,5,2,12
layer_11,1,0,0,0,0,7,0,10,0,1,0,1,1,0,0,0,2,38,6,0,2,18,7,5,27,3,0,0,9,3,3,1
layer_12,53,34,9,6,0,0,1,0,0,0,0,0,2,0,2,1,1,12,0,3,0,0,0,2,33,17,2,2,0,0,0,134
layer_13,3,14,63,0,57,0,5,0,1,22,22,3,9,78,6,50,17,7,24,5,0,15,10,8,9,12,21,35,0,14,23,24
layer_14,5,7,0,0,0,0,0,0,8,1,4,2,0,236,0,51,0,0,0,0,31,9,1,0,0,0,3,20,0,0,2,0
layer_15,15,4,2,21,0,1,2,4,9,6,1,1,0,25,0,10,0,0,0,8,1,0,3,0,0,0,0,0,9,7,0,20
layer_16,38,0,0,3,0,1,32,4,6,4,33,1,0,0,0,0,0,0,27,0,0,2,0,66,0,1,18,0,0,0,4,6
layer_17,0,0,1,0,59,25,42,0,0,0,8,33,3,5,31,7,10,11,24,3,38,10,26,21,0,0,0,0,1,3,0,0
layer_18,0,0,0,0,0,284,0,58,25,0,10,0,0,0,0,0,17,20,0,13,0,0,0,0,2,23,0,0,1,0,0,3
layer_19,2,31,3,0,1,7,1,0,0,0,0,0,3,9,0,5,0,0,0,0,0,2,2,0,20,0,1,4,1,0,2,12
layer_20,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,29,13,0,1,0,0,19,0,0,2,0,3,15,0,0,0,0
layer_21,0,0,0,0,0,0,0,0,1,0,0,0,26,0,19,14,0,0,0,0,5,0,0,0,2,6,0,0,2,1,40,0
layer_22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0
layer_23,0,7,26,28,0,81,1,0,0,0,1,0,0,0,0,0,19,0,1,35,3,0,23,1,7,0,35,35,0,0,0,0
layer_24,16,56,1,4,1,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
layer_25,0,0,0,0,0,0,1,0,1,5,0,1,0,0,0,13,0,0,0,1,0,0,0,6,0,0,0,0,5,0,0,0
layer_26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,10,37,3,3,0,0,0,2,0,18,1,0
layer_27,0,0,0,0,0,3,0,0,0,0,0,1,0,34,0,10,0,2,7,0,9,3,3,31,0,1,0,0,17,0,1,0
layer_28,0,0,0,0,30,0,67,1,35,10,14,1,3,2,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,19,0
layer_29,0,0,4,0,7,0,0,0,1,0,0,0,17,0,0,0,7,8,0,0,17,0,0,0,0,51,1,5,39,7,0,2
layer_30,0,0,0,0,0,0,0,0,0,4,0,0,130,0,4,0,20,0,3,0,0,1,0,0,0,0,0,0,1,13,0,0
layer_31,31,93,13,5,0,0,0,2,0,0,0,0,0,47,0,1,0,0,0,0,1,0,11,0,14,17,4,3,0,0,0,0
