,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,265.0,418.0,338.0,1013.0,456.0,278.0,366.0,268.0,327.0,433.0,325.0,1001.0
layer_1,32.0,94.0,420.0,462.0,917.0,35.0,35.0,113.0,2.0,20.0,305.0,6.0
layer_2,270.0,30.0,0.0,917.0,362.0,52.0,2.0,33.0,2.0,26.0,126.0,77.0
layer_3,378.0,72.0,5.0,1.0,459.0,28.0,238.0,70.0,402.0,822.0,50.0,97.0
layer_4,115.0,38.0,92.0,56.0,393.0,51.0,25.0,8.0,758.0,5.0,125.0,22.0
layer_5,334.0,39.0,758.0,714.0,18.0,17.0,11.0,417.0,116.0,917.0,323.0,34.0
layer_6,147.0,49.0,631.0,690.0,1.0,778.0,258.0,18.0,36.0,235.0,918.0,917.0
layer_7,13.0,706.0,401.0,34.0,27.0,905.0,21.0,620.0,136.0,450.0,223.0,146.0
layer_8,23.0,561.0,184.0,171.0,4.0,21.0,136.0,95.0,90.0,97.0,11.0,280.0
layer_9,4.0,26.0,100.0,49.0,4.0,4.0,141.0,55.0,21.0,97.0,38.0,1.0
layer_10,4.0,13.0,284.0,24.0,15.0,38.0,186.0,14.0,7.0,390.0,56.0,33.0
layer_11,18.0,17.0,20.0,14.0,194.0,10.0,8.0,5.0,831.0,3.0,2.0,100.0
