,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,25,0,140,7,0,8,166,0,1,10,28,6
layer_1,10,7,0,12,2,4,2,3,7,4,11,5
layer_2,0,13,1,0,3,1,10,1,5,2,0,8
layer_3,0,0,8,20,9,13,4,0,16,2,0,7
layer_4,0,0,4,5,36,28,24,1,211,5,78,0
layer_5,12,0,2,0,0,13,0,0,0,0,0,6
layer_6,6,2,228,9,0,3,13,2,8,7,10,28
layer_7,0,0,0,34,5,0,0,10,0,0,0,0
layer_8,11,0,18,0,3,111,0,0,8,0,21,28
layer_9,0,54,0,0,0,0,0,0,188,0,0,0
layer_10,1,4,6,3,1,2,3,0,24,1,13,0
layer_11,126,5,2,2,5,7,96,80,306,6,71,3
