,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,726,423,1428,65,2,20,22,85,1,1,196,192,6,0,1,50,48,39,0,0,1,8,0,518,141,39,20,24,0,0,0,0
layer_1,1,15,0,111,73,146,26,105,0,0,1,39,0,0,0,2,56,2,16,2,6,0,0,0,49,0,14,0,17,0,25,5
layer_2,3,4,6,1,0,0,0,0,4,8,0,2,0,12,0,0,1,0,5,0,0,0,0,0,5,0,1,11,8,0,17,1
layer_3,0,0,7,32,0,1,3,2,0,0,0,3,1,1,0,25,9,1,0,0,0,1,0,0,20,0,1,0,2,0,15,115
layer_4,0,0,1,2,23,0,5,27,2,1,0,0,0,16,58,7,1,1,13,0,0,0,0,8,2,0,0,0,1,1,0,7
layer_5,1,0,19,16,3,0,1,0,0,0,0,2,1,25,8,44,3,39,2,1,0,0,0,1,0,5,0,0,4,17,19,33
layer_6,11,20,0,0,20,0,0,53,13,0,44,31,145,20,0,6,59,0,23,9,7,0,56,0,0,16,0,1,2,159,93,3
layer_7,2,132,73,0,10,6,0,0,4,102,56,184,52,1,16,5,2,70,5,82,9,6,0,0,10,0,0,10,22,66,34,14
layer_8,3,0,0,2,57,12,26,0,7,0,0,0,21,18,10,37,1,5,9,68,4,4,62,1,5,13,1,1,21,69,5,120
layer_9,5,92,59,33,0,0,1,0,16,293,196,281,0,4,0,7,10,4,1,44,2,0,10,5,41,2,33,0,0,6,1,18
layer_10,1,90,0,0,0,0,0,0,0,70,0,22,0,1,9,19,184,4,94,56,78,12,72,16,31,71,66,50,0,0,31,0
layer_11,52,20,15,1,35,0,3,0,7,21,74,0,2,0,4,4,276,167,13,207,0,2,0,2,2,15,19,9,0,0,1,126
layer_12,17,0,5,1,11,4,17,2,2,21,0,8,1,8,0,93,53,127,37,40,0,1,18,71,135,169,96,10,97,24,28,23
layer_13,9,30,26,71,0,0,0,44,57,73,0,75,13,1,18,38,4,0,7,6,7,25,140,3,246,8,0,0,2,84,14,71
layer_14,4,13,42,9,11,14,34,6,447,188,28,240,32,97,2,27,0,0,11,15,0,2,0,18,17,2,1188,5,0,8,0,17
layer_15,137,0,0,1,238,329,263,648,73,14,1,52,327,14,74,16,15,0,0,0,13,20,30,89,1,40,86,27,14,5,2,180
layer_16,0,0,6,23,61,5,39,2,35,40,24,14,72,71,136,6,0,87,12,3,1,1,378,1,22,33,2,90,29,213,0,64
layer_17,19,10,2,90,102,20,0,72,0,9,2,102,1,174,29,80,1,0,33,21,277,1,1,5,1,0,4,0,7,8,524,19
layer_18,13,0,2,2,0,49,2,73,6,3,3,34,12,1,21,4,2,9,0,0,0,4,0,0,27,155,137,54,3,16,18,4
layer_19,2,2,25,3,0,8,0,82,249,16,28,4,6,0,1,0,0,0,0,0,19,22,7,0,0,4,49,8,0,0,0,1
layer_20,3,8,1,47,0,5,0,2,40,14,6,0,6,0,2,2,0,2,1,20,1,33,2,1,0,0,4,2,158,84,13,5
layer_21,20,22,22,1,106,39,51,54,2,139,142,3,14,4,58,6,0,0,1,88,12,8,0,3,6,7,17,3,0,0,12,0
layer_22,1,0,0,10,2,2,36,12,8,2,41,42,0,5,0,5,34,30,28,34,6,0,1,2,19,0,0,13,0,0,4,1
layer_23,0,0,1,0,3,0,0,2,18,5,0,3,0,1,3,3,201,75,0,25,1,6,3,26,1,9,7,2,139,4,61,116
layer_24,0,3,2,12,0,0,0,0,5,0,5,1,2,59,0,126,0,0,0,3,0,3,0,0,3,0,0,4,53,8,24,20
layer_25,5,2,3,0,0,0,0,0,0,1,8,67,0,0,0,1,10,9,194,17,28,0,19,48,153,3,2,2,2,5,3,14
layer_26,1,12,3,45,2,3,5,2,1,0,10,4,0,0,0,2,6,24,1,87,0,76,28,92,0,1,7,23,1,0,14,1
layer_27,2,3,2,0,0,0,0,2,98,165,46,5,20,5,128,75,58,17,6,2,0,1,0,0,1,0,3,2,25,157,1,19
layer_28,93,2,4,1,26,18,3,4,0,37,54,8,5,0,2,1,7,1,34,0,112,7,14,49,2,3,44,2,1,2,114,103
layer_29,9,5,1,7,1,1,3,4,108,19,0,33,1,9,1,2,1,0,0,0,0,3,3,5,12,4,48,54,88,5,12,195
layer_30,1,33,69,0,2,5,37,5,2,87,63,0,0,2,1,1,0,48,109,158,0,8,18,9,33,12,65,42,5,0,0,6
layer_31,265,36,8,27,0,0,67,206,0,5,9,1,6,13,1351,120,0,2,41,0,0,0,7,3,27,16,52,0,41,10,9,0
