,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23
layer_0,6,44,25,5,2,8,2,12,6,24,30,36,0,51,30,4,0,32,22,26,36,12,23,51
layer_1,35,5,11,10,11,5,7,14,7,26,5,40,8,0,12,21,7,0,18,9,2,9,3,0
layer_2,2,0,3,0,0,0,0,0,4,8,1,0,0,2,0,12,0,0,3,6,0,0,0,0
layer_3,1,0,1,4,5,5,0,7,7,11,0,4,22,6,1,13,4,5,0,12,0,0,0,0
layer_4,29,0,0,1,0,4,8,0,0,0,0,4,5,4,0,0,3,0,0,0,0,0,7,4
layer_5,20,11,7,0,5,5,4,0,5,2,3,2,9,0,9,3,8,2,1,4,0,13,6,0
layer_6,1,1,11,6,7,0,9,15,3,2,8,0,0,13,0,7,4,0,7,0,0,0,5,0
layer_7,10,11,1,1,21,5,6,4,5,6,6,4,2,6,3,9,14,7,4,2,6,4,0,0
layer_8,5,8,0,10,10,0,0,5,1,1,2,6,7,9,7,36,0,2,8,1,0,2,2,4
layer_9,0,0,0,2,7,1,0,1,0,0,10,21,0,2,2,0,0,7,0,10,0,1,2,1
layer_10,12,9,0,13,1,0,0,0,1,1,7,18,16,2,10,9,0,6,2,5,12,4,12,1
layer_11,11,11,18,12,12,8,8,11,8,10,14,13,12,19,14,13,9,11,10,15,12,10,13,11
layer_12,26,15,26,27,7,18,31,15,8,25,19,28,27,17,11,27,36,25,30,26,27,19,26,23
layer_13,10,21,13,16,15,30,21,8,4,16,10,6,17,15,9,9,12,21,12,22,3,20,7,10
layer_14,4,6,2,1,2,4,2,3,8,2,4,1,3,3,3,5,3,5,5,4,4,3,5,3
layer_15,25,8,5,1,9,3,12,3,1,2,2,3,13,3,6,9,3,0,16,3,27,17,5,3
layer_16,12,12,8,2,13,2,5,3,12,8,3,3,9,17,33,14,1,20,11,12,7,13,0,2
layer_17,4,1,2,12,1,2,3,18,3,12,15,13,2,19,6,25,2,0,6,15,3,2,3,25
layer_18,2,8,1,1,27,6,3,2,4,3,5,5,33,1,13,3,11,18,3,1,6,3,1,3
layer_19,1,22,4,6,1,1,3,2,4,20,4,2,8,4,14,1,1,3,19,21,2,10,3,16
layer_20,1,3,5,22,1,1,2,5,2,1,3,16,1,1,3,5,14,1,3,20,7,1,1,4
layer_21,2,4,9,2,1,1,15,2,2,3,16,6,19,0,5,2,1,1,5,10,7,0,7,3
layer_22,2,2,11,2,1,8,32,6,10,2,6,5,1,7,12,18,1,13,6,7,1,14,1,2
layer_23,2,3,2,2,1,3,5,6,2,2,8,13,5,8,4,1,3,5,14,9,9,2,3,2
