,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23
layer_0,220,39,6,597,156,781,659,304,811,269,423,365,216,162,156,187,381,537,124,782,361,284,321,89
layer_1,399,158,178,118,71,199,568,201,533,604,122,116,40,162,118,28,325,157,173,59,142,470,181,109
layer_2,281,308,287,267,315,241,303,286,324,299,342,569,277,293,338,256,251,294,311,286,225,330,298,294
layer_3,576,434,241,161,250,197,264,185,204,314,336,285,166,140,267,350,366,303,278,336,379,334,411,331
layer_4,330,322,438,272,260,422,311,305,244,131,193,101,254,190,316,509,326,286,139,367,344,399,285,295
layer_5,405,185,243,425,527,464,61,55,166,94,166,302,273,414,268,295,511,551,467,349,328,315,228,250
layer_6,316,552,334,237,228,249,76,105,117,177,583,148,194,326,400,276,685,258,484,289,596,392,241,298
layer_7,96,35,245,268,352,240,553,578,227,400,369,562,186,326,246,490,406,414,389,862,733,273,333,384
layer_8,230,605,244,144,225,297,138,382,77,305,318,246,472,333,413,149,292,495,317,259,324,282,262,304
layer_9,258,253,263,392,436,405,128,146,58,258,237,331,272,187,431,352,207,345,251,243,78,507,181,165
layer_10,391,436,485,281,154,131,432,288,555,396,635,85,111,500,149,168,287,266,332,208,254,277,518,451
layer_11,377,326,578,299,305,257,310,262,424,269,560,558,472,235,131,601,515,356,295,259,545,296,253,317
layer_12,224,155,337,153,121,195,313,168,232,237,176,196,437,390,475,132,171,414,339,234,339,271,498,472
layer_13,145,211,125,207,127,200,43,148,222,196,301,260,126,117,74,435,108,220,286,489,339,225,184,195
layer_14,32,151,53,343,168,407,294,334,288,104,128,118,586,452,157,418,245,270,372,417,421,168,102,79
layer_15,94,234,208,326,144,336,179,202,105,72,189,43,101,65,188,250,140,343,120,85,152,193,202,241
layer_16,143,229,115,80,46,53,199,166,214,168,107,151,75,99,144,68,146,128,143,155,176,160,108,88
layer_17,349,112,265,298,184,184,102,162,127,156,277,342,76,109,179,189,72,330,257,48,98,74,193,86
layer_18,196,67,78,181,87,112,138,161,105,175,107,226,87,107,97,67,79,92,69,155,216,197,78,130
layer_19,179,117,301,112,117,107,100,66,285,215,114,201,149,129,110,96,91,137,103,111,133,67,82,58
layer_20,119,118,92,114,173,120,124,125,102,128,161,95,139,126,87,99,112,96,138,178,174,113,90,198
layer_21,312,71,128,85,68,83,57,58,59,147,142,78,100,86,97,82,88,88,178,124,188,139,137,181
layer_22,187,328,389,147,133,175,84,113,92,118,155,136,113,157,210,99,50,150,100,100,71,211,76,77
layer_23,349,265,247,170,108,316,288,408,287,265,321,213,136,168,256,145,522,265,130,147,328,166,189,259
layer_24,154,188,157,266,308,334,264,221,89,246,167,82,270,170,258,231,308,229,80,80,53,664,369,364
layer_25,178,118,117,232,167,157,254,399,280,195,131,214,74,198,90,418,380,407,390,352,280,207,55,245
layer_26,19,445,250,71,58,45,271,239,106,241,130,254,202,708,213,392,200,68,11,166,328,58,62,183
layer_27,178,212,101,108,159,164,71,65,143,66,61,0,85,57,64,88,57,97,104,57,82,66,64,193
