,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,38,1,169,4,32,2,56,352,79,6,56,0
layer_1,9,14,6,0,270,14,4,0,0,8,43,11
layer_2,0,0,434,10,0,2,0,28,0,5,0,4
layer_3,349,0,13,125,63,0,9,1,9,238,0,0
layer_4,6,225,12,278,31,2,6,54,33,4,80,35
layer_5,0,0,0,3,0,0,0,0,8,0,13,43
layer_6,4,2,2,325,4,0,0,0,1,417,6,1
layer_7,26,1,0,208,28,150,0,2,0,0,3,4
layer_8,3,42,1,0,125,67,14,2,58,6,93,115
layer_9,0,256,0,1,3,5,0,0,308,1,5,109
layer_10,5,4,90,190,9,277,5,2,4,20,31,187
layer_11,168,241,365,10,18,9,58,2,115,0,202,464
