,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,14,18,2,2,50,7,28,2,181,10,263,37
layer_1,0,217,1,1,0,13,37,0,2,0,2,0
layer_2,265,6,0,0,2,4,1,0,9,265,0,27
layer_3,0,3,3,129,0,0,6,0,2,291,115,0
layer_4,70,23,6,0,30,267,15,13,18,9,0,271
layer_5,287,1,0,3,6,9,2,261,102,282,0,63
layer_6,2,0,0,6,9,207,285,16,8,2,3,0
layer_7,0,163,184,13,0,37,62,0,3,1,300,7
layer_8,60,6,219,9,0,277,4,36,2,73,23,0
layer_9,21,16,3,5,14,19,1,144,3,32,43,0
layer_10,2,22,23,2,6,4,17,3,11,2,11,34
layer_11,4,2,6,3,4,46,2,11,1,1,12,14
