,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,249,286,180,162,237,179,160,466,2697,205,1375,936
layer_1,261,85,125,159,84,1665,2127,228,369,247,683,18
layer_2,122,29,159,182,384,109,1,147,259,69,74,1521
layer_3,3,118,258,1706,130,2,289,23,49,202,647,3
layer_4,89,199,52,17,189,1359,167,50,475,190,25,79
layer_5,1062,4,33,6,210,64,12,101,467,292,9,483
layer_6,76,84,53,13,41,373,64,228,199,0,14,19
layer_7,23,103,138,59,58,164,133,14,114,6,1187,14
layer_8,258,182,143,123,65,406,30,349,151,265,434,26
layer_9,64,193,84,47,84,237,257,235,21,89,293,222
layer_10,22,111,45,243,50,208,61,168,67,167,80,250
layer_11,245,260,200,24,134,177,187,201,144,212,32,353
