,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23
layer_0,0.8571541,9.449498,0.42165244,0.5338833,0.48314342,0.81423956,2.6302176,4.1549096,2.9711695,0.03480499,0.030101778,0.062412005,0.21670304,2.2285273,1.6553844,9.032506,0.9971951,2.4116335,2.307263,9.677222,1.6147729,0.18252513,6.5154877e-06,0.00021004782
layer_1,2.0973058,10.966237,0.6595283,0.32579517,1.3486309,0.6185039,2.363954,0.37071675,1.8259102,3.9151056,0.37769035,0.5543647,2.6963046,3.8441334,2.8532546,2.853162,3.9290555,0.08808785,0.16110878,1.014299,0.15790054,1.2378352,0.876028,0.5831158
layer_2,3.5049214,0.26885906,0.36399993,1.560827,0.45243844,2.9340134,0.49743155,0.71059716,0.4699501,0.3170078,0.16067292,0.20723845,0.79230523,1.3154435,1.0514508,0.035026237,0.015891636,0.3978718,0.8598213,0.15365696,0.42046297,2.823698,0.37737486,1.5593765
layer_3,0.7733262,1.1985604,1.8583014,0.8416053,0.4737137,0.72404206,3.63116,4.1523385,1.4026756,0.5752076,0.24582475,0.9562616,1.654828,1.2378123,0.59005296,1.673112,1.0649374,0.42810693,0.3266376,2.154718,0.32321304,9.167611,1.3048621,3.764278
layer_4,0.87919986,1.1698045,0.6624329,1.5395232,1.1982887,1.9292632,1.6279172,3.302982,0.5527545,2.0962052,3.2315514,1.664773,2.529065,0.7259152,0.01876613,1.7013175,0.3738237,0.96795005,5.944031,1.6130606,1.4089023,0.26304272,0.3090163,1.4437926
layer_5,0.7566436,3.3022258,2.2024362,0.5858092,0.65067464,0.6672602,0.051363733,0.023920672,0.3166594,7.690873,3.2656896,2.4546683,3.188206,2.1373286,0.8496471,0.6793326,2.587953,0.6075432,2.227619,3.396184,2.8169758,3.3050046,1.6370125,1.7761644
layer_6,1.3678911,0.26106614,0.6205431,1.5765448,1.3794209,1.5399034,3.051623,6.156629,2.6561465,5.704832,2.03494,4.323041,3.1477864,1.9162582,5.274844,2.6167462,1.9652874,1.3123463,0.66717076,0.19013469,2.5636013,0.3390414,0.58029693,2.952918
layer_7,2.7912757,5.9869256,0.33134818,1.6179395,1.6044551,0.8848197,3.0632148,1.8750572,4.0349264,3.1563013,0.71484125,2.8564353,1.873657,1.9905374,2.7099445,4.0415597,3.5818079,1.3933287,1.3441689,1.6103169,1.1387812,2.0089827,1.6794187,1.6047546
layer_8,0.35318202,0.97006243,0.064223915,5.457458,1.6549745,3.259046,0.11965093,0.8240749,0.06568252,1.7769219,1.0008208,2.1163075,2.1247091,3.4769154,1.7000089,5.0531473,5.8616085,1.468413,1.5201367,1.5293907,1.7524562,1.5460787,2.1924417,1.924657
layer_9,3.9765115,2.6130583,3.6949272,0.6638323,1.7321591,0.58874846,5.9772177,6.046637,3.1599836,0.74438584,0.6094659,0.6143712,1.4277651,1.2861873,3.0203054,1.3144137,1.2224153,1.1666284,1.4319189,0.2017247,0.7764861,1.3198532,1.3704957,0.51782227
layer_10,2.8618116,3.936422,3.9613554,0.5958849,0.34397218,0.5334322,1.7361661,2.3984993,2.4382062,2.0399368,2.5339694,0.47093937,4.7993445,6.403559,9.196445,1.9385831,0.9755593,2.396592,2.788905,3.0862527,3.000201,0.21446612,1.8838546,1.7706119
layer_11,5.168627,1.5239923,2.3705888,2.4144905,2.0457892,1.8798434,2.1197937,1.6130164,2.4713993,1.9327338,2.46563,3.394856,2.411113,2.87175,1.8739733,1.8364193,3.8652127,0.7858987,3.4003618,2.3305192,2.7338011,2.22717,2.4641252,3.0647204
layer_12,3.5267363,2.3796222,3.2959404,0.38812506,0.58241683,1.4986005,2.2793605,2.6119077,2.8270442,2.443159,1.54715,2.2516706,2.528938,2.310255,2.9737818,1.3095312,1.0924816,2.8218212,0.8406334,0.23476367,0.3181026,1.3612175,2.9473035,5.255408
layer_13,1.763786,2.174376,1.7651376,1.0234249,1.3721374,1.5825688,6.3382854,5.2026653,4.771789,2.0717201,3.1718872,2.1626086,0.7051948,0.015210403,0.078917205,2.1531348,0.6043487,1.3475361,1.5379953,3.6659853,1.9837729,1.3852307,1.5110903,1.3558643
layer_14,5.557062,0.10385656,0.03470641,5.136622,4.224949,4.1417656,2.5024633,3.215059,2.4754121,1.3707172,0.645498,0.6792447,0.5344,0.9881774,0.47537816,1.5767645,1.265218,1.8912673,2.263234,2.4800453,1.774963,0.29235545,0.027506957,6.3892403
layer_15,0.70533234,0.793285,2.3936365,2.1190383,2.0860603,2.1576035,0.76394993,1.3373114,3.8547614,2.3476076,3.2729943,2.4413025,0.11732814,0.04488512,2.4967725,2.688909,1.930549,1.5308554,0.35199326,0.24188155,0.40034994,1.4417292,1.056458,1.3488421
layer_16,0.8444001,1.4690776,0.1089681,0.04398382,0.50122505,0.12018392,1.5171762,1.1300544,2.1755168,2.4552214,0.5538739,0.9586471,0.22222987,0.07790232,0.2315727,0.20523088,0.32397264,0.50154924,2.4707117,5.622235,1.9566687,0.93393725,0.115809485,0.14051388
layer_17,0.36862338,0.28807268,0.5157403,0.16166724,0.10631018,1.1079717,2.9570465,1.2116195,1.6850369,0.03531401,0.15717292,0.14424758,0.1881805,1.4254657,0.27062395,0.7796742,0.4016648,0.65081996,0.5383923,0.97148687,0.035860904,0.3537194,0.7111666,0.72319555
layer_18,0.944446,0.10984819,0.09032411,0.3618554,0.18941885,0.3518588,1.4751414,0.88836634,0.97775626,0.6681202,0.46798107,0.35616738,0.25073546,0.4659375,0.6649893,0.032093756,0.43858,0.9490799,0.14152074,0.4047224,0.5066023,1.5826992,0.21946858,0.9002109
layer_19,0.44370398,1.5845137,1.4070575,2.7825804,3.0806751,3.0877624,2.4366016,2.3435018,0.32859913,0.73157865,0.20502205,0.4836924,0.38333917,2.361463,0.45734304,0.2466798,0.18713713,0.26996386,0.3642404,0.37089595,0.3488885,0.03374985,0.04981067,0.07592683
layer_20,0.8649098,0.5435091,0.42401624,0.08245098,0.059060525,0.18339767,0.41090924,0.574547,0.17810936,0.03576744,0.08232898,0.092281945,1.5205064,1.6842134,0.37294787,0.32299584,0.08908667,0.9018413,0.27764496,0.33043003,0.33098215,1.6708816,0.62570757,2.2184243
layer_21,1.4541425,0.17089435,0.19183572,0.034211412,0.077345066,0.31681904,0.14904779,0.07446828,0.10167965,4.0887055,0.8067499,2.157557,0.025372392,0.03813206,0.13150837,0.03270613,0.109034516,0.041418932,0.1688456,0.06993154,0.24545997,1.3161707,0.40274948,0.9613224
layer_22,0.96100366,1.2100316,0.7020972,0.018083386,0.03689917,0.023020204,0.37657362,0.26285,0.15614113,0.0647245,0.019074477,0.07580955,0.98328656,0.1929606,1.2691165,0.5627964,2.1418178,0.86296815,0.24672464,0.12491288,0.13884133,0.3943587,0.14640407,0.12950303
layer_23,0.26195124,0.4043771,0.37705693,0.9277071,1.1098348,1.1020997,0.47901168,0.58941245,2.2848675,0.032240164,0.28363752,0.53137535,0.15702882,0.24490416,0.8515611,0.9318614,0.42972586,1.1967062,0.11188934,0.1363002,0.3286712,0.32424244,0.070576385,0.5620105
layer_24,0.115426734,0.19265,0.16381866,0.1859726,0.02312707,0.17954706,1.1873951,0.46192893,0.9472033,1.5227789,4.261295,0.43476892,0.4012163,0.096829146,0.11369251,0.18368903,0.3747762,0.089705154,0.17105444,0.18266986,0.1743532,1.2013468,0.42813545,0.27776644
layer_25,0.15909125,0.35643107,0.14957757,0.444253,0.22341001,0.11706954,0.5966649,0.6008061,0.5302741,0.06475723,0.07488312,0.14343151,0.27616066,1.0321082,0.08532787,0.6154455,0.20853168,0.21407652,1.2270521,0.12076394,1.6734618,0.61207163,0.46805534,0.8359717
layer_26,0.7852602,0.7485444,0.2730498,0.3076576,0.6008777,0.2059577,0.89436793,0.4619553,0.17234857,0.08319044,0.43865514,0.28848088,2.936191,5.467402,2.4623346,0.3737459,0.44174537,1.4449689,0.6880106,0.39375183,0.64356744,0.06133095,0.093300104,0.64082634
layer_27,0.936055,0.70891666,0.70749384,0.55728775,1.9420711,1.2959238,0.2550342,0.61063623,0.6011004,2.0491061,0.53281677,0.19379038,0.102381885,0.23574428,0.23642644,0.05861336,0.11005798,0.37746066,0.70285654,3.5188956,0.5193165,2.7458916,0.33892044,0.7631976
