,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,10,25,43,11,30,23,33,28,27,0,11,29
layer_1,28,13,2,39,0,22,11,62,17,11,29,8
layer_2,20,51,5,32,11,80,12,0,11,12,13,48
layer_3,62,0,21,46,40,33,31,62,10,1,18,13
layer_4,28,1,16,34,30,3,15,22,43,20,53,12
layer_5,44,34,32,1,62,38,74,40,32,32,0,46
layer_6,48,17,13,32,56,21,32,27,61,12,75,32
layer_7,34,7,39,72,2,20,46,19,28,8,30,32
layer_8,37,52,20,79,38,19,34,13,8,64,15,46
layer_9,54,8,20,14,22,25,21,59,41,37,36,15
layer_10,27,14,26,34,17,40,20,17,26,53,13,34
layer_11,38,8,25,17,18,20,22,15,18,40,12,16
