,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,81,0,3,5,0,1,0,60,0,15,3,9
layer_1,1,10,4,13,0,1,10,0,1,5,0,0
layer_2,3,0,2,0,0,0,0,6,3,5,3,0
layer_3,0,21,5,0,3,8,0,0,7,3,4,33
layer_4,0,11,3,3,3,0,4,0,30,1,0,0
layer_5,22,1,0,11,14,21,0,100,31,13,0,0
layer_6,3,69,0,56,0,0,7,1,34,2,14,17
layer_7,2,4,29,36,2,18,13,19,67,0,83,92
layer_8,22,14,0,172,6,4,103,165,118,6,3,12
layer_9,1,1,14,65,4,0,95,3,42,1,0,2
layer_10,17,0,2,2,51,122,36,11,0,24,10,5
layer_11,28,26,0,9,103,70,1,7,15,34,58,27
