,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,228.0,163.0,405.0,99.0,285.0,0.0,63.0,18.0,76.0,313.0,468.0,86.0
layer_1,274.0,248.0,18.0,3.0,0.0,106.0,38.0,502.0,4.0,532.0,0.0,20.0
layer_2,10.0,4.0,139.0,79.0,94.0,4.0,149.0,1.0,2.0,439.0,65.0,9.0
layer_3,21.0,0.0,198.0,1.0,4.0,1.0,32.0,7.0,34.0,37.0,2.0,6.0
layer_4,76.0,460.0,11.0,63.0,48.0,7.0,0.0,0.0,225.0,4.0,4.0,1.0
layer_5,86.0,1.0,4.0,24.0,13.0,8.0,9.0,393.0,2.0,12.0,15.0,0.0
layer_6,3.0,41.0,37.0,251.0,0.0,0.0,46.0,82.0,303.0,0.0,36.0,11.0
layer_7,0.0,35.0,180.0,372.0,1.0,7.0,36.0,15.0,19.0,0.0,35.0,63.0
layer_8,87.0,4.0,28.0,79.0,0.0,7.0,465.0,217.0,108.0,68.0,2.0,115.0
layer_9,16.0,2.0,212.0,270.0,99.0,129.0,50.0,10.0,63.0,227.0,0.0,87.0
layer_10,209.0,0.0,0.0,21.0,126.0,186.0,19.0,46.0,4.0,166.0,81.0,0.0
layer_11,476.0,358.0,0.0,676.0,492.0,80.0,3.0,3.0,6.0,195.0,203.0,545.0
