,0,1,2,3,4,5,6,7,8,9,10,11
0,0.13579091,0.14903611,0.19459572,0.22775102,0.15727238,0.19625004,0.3012533,0.1851206,0.12623549,0.17620717,0.1791447,0.1545122
1,0.064799614,0.056148086,0.44189832,0.08397862,0.25438666,0.12786432,0.12415062,0.12083101,0.055282768,0.012835899,0.067315936,0.01241601
2,0.046928916,0.15645967,0.16127549,0.13218099,0.041108534,0.14320995,0.07803898,0.335923,0.0141802,0.019895896,0.07966039,0.32623583
3,0.005339062,0.1489587,0.06253448,0.25921667,0.16919063,0.07594706,0.038656432,0.12240619,0.09577773,0.0138792815,0.29191646,0.11207283
4,0.029111559,0.039385036,0.15822458,0.19719963,0.23828551,0.0026594868,0.07515318,0.07573034,0.09713322,0.08655972,0.32121772,0.0770139
5,0.11026201,0.05267606,0.06656841,0.12134729,0.06829907,0.05487061,0.1634816,0.16112496,0.378762,0.011859912,0.3864078,0.054884218
6,0.08579445,0.0035474696,0.012437841,0.21702014,0.11985751,0.11454176,0.09006944,0.28533843,0.20883098,0.45058692,0.21400484,0.11539777
7,0.03809007,0.050873075,0.15217488,0.16362004,0.0051208506,0.11798873,0.05884188,0.041382644,0.0663216,0.10617632,0.18780568,0.15856816
8,0.03290713,0.08913073,0.037046626,0.15800844,0.1325904,0.008582677,0.16714326,0.019102491,0.042787243,0.12730098,0.06856927,0.07434372
9,0.01628362,0.015687935,0.08535099,0.07829773,0.046818342,0.05181801,0.039556332,0.09559789,0.092708126,0.039982248,0.13514774,0.025949914
10,0.15084621,0.021824172,0.042738125,0.08763148,0.016057946,0.04472923,0.027948711,0.042184956,0.14561093,0.06291985,0.02622868,0.021986976
11,0.028122725,0.024699897,0.020543985,0.031677675,0.032896224,0.014062425,0.019898945,0.04422356,0.034594,0.0358757,0.026191777,0.052028105
