,0,1,2,3,4,5,6,7,8,9,10,11
0,0.07718031,0.06950395,0.103380606,0.16448165,0.06347828,0.06396098,0.1458303,0.07596962,0.065956295,0.022998536,0.10068413,0.06824826
1,0.01744758,0.039731525,1.40494e-05,0.03409453,0.00094940676,0.062051248,0.03415688,0.10299118,0.031463314,0.00505411,0.029923465,0.010765818
2,0.04033828,0.10491605,0.041224785,0.002296388,0.02041536,0.09074919,0.09628075,0.0026262936,0.008023133,0.013603091,0.0043879854,0.029847018
3,0.005513476,0.03375792,0.044007108,0.12894616,0.12729783,0.18065746,0.025024107,0.15908219,0.053444374,0.010208141,0.015439428,0.0032374046
4,0.015599742,0.038966164,0.13585795,0.015392103,0.07535964,0.0008829597,0.041108433,0.024329687,0.06414414,0.0911234,0.08961363,0.046268173
5,0.08291217,0.008222419,0.10488482,0.013556665,0.028486164,0.15288863,0.05738862,0.11417988,0.15819794,0.004719499,0.00027481973,0.029293418
6,0.039177306,0.0035221407,0.002931828,0.09194264,0.08917557,0.015187583,0.14601846,0.034797966,0.12576088,0.012749941,0.08630062,0.16574225
7,0.025399094,0.06290812,0.13655461,0.048854016,0.0029769642,0.08602449,0.08307529,0.08763147,0.0032761055,0.019642808,0.15765695,0.0095534185
8,0.0061430703,0.024809768,0.1283328,0.18141912,0.23695998,0.0033736115,0.081635736,0.016690541,0.022098357,0.03600248,0.038758114,0.08017356
9,0.016695583,0.007913582,0.05823714,0.026240142,0.078406364,0.039983433,0.05243281,0.05018043,0.06644098,0.0039574835,0.011651354,0.00803301
10,0.024673583,0.051834546,0.07883635,0.018557278,0.0079885395,0.033837475,0.045482427,0.023937471,0.0042072325,0.02321274,0.025560739,0.037413016
11,0.021921927,0.019219438,0.016405651,0.016391702,0.054453593,0.007292712,0.012025377,0.03324378,0.025333194,0.013869333,0.026211733,0.024861228
