,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31,head_32,head_33,head_34,head_35,head_36,head_37,head_38,head_39,head_40,head_41,head_42,head_43,head_44,head_45,head_46,head_47,head_48,head_49,head_50,head_51,head_52,head_53,head_54,head_55,head_56,head_57,head_58,head_59,head_60,head_61,head_62,head_63,head_64,head_65,head_66,head_67,head_68,head_69,head_70
layer_0,101.0,52.0,137.0,21.0,86.0,45.0,46.0,60.0,49.0,129.0,82.0,99.0,102.0,64.0,59.0,85.0,106.0,56.0,21.0,62.0,109.0,45.0,52.0,78.0,85.0,111.0,162.0,146.0,10.0,63.0,101.0,51.0,110.0,125.0,62.0,79.0,69.0,133.0,85.0,97.0,60.0,64.0,162.0,107.0,55.0,98.0,57.0,57.0,174.0,93.0,110.0,74.0,111.0,110.0,72.0,44.0,138.0,63.0,59.0,88.0,93.0,67.0,83.0,86.0,45.0,99.0,85.0,45.0,188.0,23.0,30.0
layer_1,23.0,30.0,34.0,37.0,27.0,29.0,26.0,136.0,21.0,51.0,21.0,30.0,27.0,21.0,44.0,18.0,40.0,32.0,76.0,35.0,45.0,13.0,34.0,52.0,28.0,32.0,23.0,33.0,93.0,12.0,21.0,24.0,79.0,25.0,97.0,26.0,29.0,87.0,44.0,29.0,51.0,13.0,42.0,45.0,26.0,27.0,32.0,35.0,131.0,23.0,76.0,50.0,35.0,15.0,39.0,37.0,7.0,33.0,24.0,12.0,19.0,30.0,25.0,31.0,39.0,33.0,39.0,34.0,60.0,51.0,34.0
layer_2,9.0,74.0,95.0,52.0,99.0,159.0,33.0,69.0,89.0,27.0,123.0,42.0,107.0,36.0,34.0,25.0,57.0,56.0,26.0,48.0,62.0,74.0,28.0,70.0,51.0,57.0,50.0,86.0,4.0,8.0,58.0,48.0,35.0,22.0,45.0,54.0,10.0,47.0,56.0,21.0,103.0,19.0,37.0,31.0,66.0,92.0,51.0,35.0,15.0,11.0,48.0,164.0,313.0,26.0,20.0,123.0,43.0,79.0,15.0,26.0,43.0,43.0,43.0,71.0,23.0,46.0,42.0,17.0,46.0,36.0,29.0
layer_3,17.0,14.0,19.0,40.0,88.0,145.0,17.0,19.0,17.0,233.0,56.0,5.0,35.0,39.0,166.0,54.0,43.0,17.0,23.0,21.0,21.0,31.0,35.0,33.0,25.0,41.0,241.0,74.0,19.0,42.0,46.0,59.0,23.0,27.0,24.0,36.0,65.0,15.0,104.0,15.0,18.0,53.0,20.0,52.0,30.0,18.0,15.0,16.0,129.0,26.0,48.0,49.0,20.0,63.0,52.0,12.0,29.0,47.0,25.0,33.0,152.0,34.0,26.0,22.0,17.0,22.0,38.0,114.0,112.0,50.0,31.0
layer_4,58.0,61.0,58.0,66.0,94.0,58.0,44.0,93.0,68.0,58.0,58.0,81.0,58.0,60.0,58.0,59.0,58.0,60.0,58.0,58.0,58.0,58.0,56.0,58.0,57.0,58.0,58.0,135.0,58.0,58.0,92.0,58.0,58.0,58.0,60.0,55.0,58.0,58.0,58.0,63.0,61.0,58.0,59.0,83.0,61.0,66.0,55.0,59.0,58.0,56.0,56.0,59.0,59.0,60.0,62.0,57.0,58.0,57.0,58.0,58.0,60.0,56.0,58.0,58.0,61.0,58.0,66.0,56.0,55.0,58.0,59.0
layer_5,58.0,58.0,58.0,58.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,61.0,58.0,58.0,58.0,59.0,196.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,68.0,62.0,58.0,58.0,58.0,86.0,60.0,58.0,63.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,73.0,58.0,70.0,58.0,58.0,59.0,69.0,56.0,58.0,58.0,58.0,60.0,58.0,58.0,58.0,58.0,58.0,61.0,58.0,58.0
layer_6,54.0,58.0,56.0,58.0,58.0,64.0,101.0,57.0,60.0,59.0,65.0,59.0,58.0,58.0,58.0,58.0,58.0,57.0,58.0,52.0,58.0,58.0,57.0,65.0,54.0,66.0,70.0,58.0,58.0,58.0,44.0,57.0,75.0,62.0,58.0,67.0,56.0,58.0,58.0,66.0,68.0,58.0,57.0,58.0,58.0,113.0,58.0,60.0,114.0,45.0,66.0,58.0,65.0,63.0,72.0,77.0,3.0,64.0,58.0,86.0,58.0,71.0,58.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,80.0
layer_7,58.0,61.0,56.0,63.0,58.0,58.0,58.0,58.0,58.0,57.0,57.0,59.0,58.0,89.0,229.0,56.0,58.0,61.0,58.0,52.0,54.0,57.0,58.0,56.0,58.0,58.0,58.0,58.0,57.0,59.0,58.0,58.0,58.0,61.0,59.0,58.0,65.0,59.0,59.0,57.0,58.0,59.0,58.0,53.0,66.0,117.0,60.0,82.0,59.0,58.0,58.0,121.0,58.0,47.0,58.0,70.0,58.0,70.0,58.0,56.0,62.0,58.0,58.0,72.0,65.0,58.0,57.0,58.0,58.0,58.0,58.0
layer_8,53.0,88.0,55.0,58.0,84.0,55.0,63.0,90.0,63.0,59.0,62.0,54.0,59.0,59.0,59.0,58.0,58.0,204.0,66.0,59.0,64.0,59.0,58.0,60.0,58.0,58.0,60.0,68.0,117.0,3.0,63.0,69.0,53.0,61.0,74.0,79.0,59.0,173.0,58.0,70.0,68.0,58.0,58.0,61.0,57.0,58.0,55.0,61.0,59.0,74.0,57.0,60.0,45.0,68.0,58.0,122.0,58.0,58.0,91.0,76.0,62.0,59.0,80.0,62.0,58.0,57.0,131.0,57.0,59.0,64.0,58.0
layer_9,99.0,57.0,59.0,61.0,58.0,72.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,57.0,49.0,58.0,58.0,62.0,58.0,58.0,58.0,92.0,72.0,58.0,63.0,55.0,58.0,58.0,69.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,57.0,63.0,58.0,58.0,58.0,54.0,57.0,58.0,72.0,58.0,58.0,65.0,57.0,58.0,58.0,72.0,62.0,58.0,58.0,59.0,58.0,58.0,48.0,52.0,58.0,60.0,58.0,58.0,58.0,58.0,58.0,2.0
