,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,312.0,182.0,515.0,152.0,395.0,0.0,46.0,16.0,53.0,358.0,568.0,154.0
layer_1,317.0,258.0,4.0,13.0,5.0,204.0,59.0,471.0,8.0,611.0,0.0,31.0
layer_2,21.0,0.0,195.0,92.0,34.0,11.0,148.0,3.0,5.0,437.0,53.0,5.0
layer_3,24.0,0.0,293.0,0.0,3.0,4.0,60.0,12.0,62.0,40.0,1.0,0.0
layer_4,135.0,655.0,4.0,87.0,67.0,21.0,1.0,1.0,361.0,2.0,15.0,0.0
layer_5,110.0,4.0,2.0,21.0,37.0,4.0,16.0,533.0,2.0,23.0,20.0,0.0
layer_6,7.0,47.0,49.0,245.0,8.0,0.0,44.0,127.0,346.0,1.0,54.0,8.0
layer_7,1.0,60.0,256.0,378.0,1.0,6.0,50.0,23.0,13.0,0.0,46.0,71.0
layer_8,126.0,10.0,23.0,62.0,0.0,5.0,666.0,291.0,106.0,78.0,4.0,134.0
layer_9,18.0,4.0,294.0,346.0,130.0,229.0,79.0,24.0,74.0,300.0,0.0,128.0
layer_10,283.0,0.0,1.0,43.0,152.0,292.0,69.0,104.0,6.0,225.0,142.0,1.0
layer_11,246.0,335.0,0.0,694.0,630.0,92.0,6.0,2.0,8.0,301.0,311.0,638.0
