,0,1,2,3,4,5,6,7,8,9,10,11
0,0.070648216,0.087399855,0.07210488,0.115076475,0.10779315,0.07137655,0.064821556,0.5098325,0.21121632,0.07356154,0.07865987,0.075018205
1,0.4828842,0.34304443,0.10560816,0.07356154,0.07356154,0.07356154,0.07137655,0.07356154,0.07356154,0.07356154,0.098324835,0.075018205
2,0.07793154,0.07283321,0.37072104,0.7487254,0.34959942,0.22942461,0.07356154,0.08302986,0.10779315,0.15076475,0.08448653,0.07356154
3,0.07356154,0.12454479,0.75600874,0.097596504,0.07356154,0.07356154,0.26511288,0.14712308,0.092498176,0.08375819,0.07356154,0.09905317
4,0.16023307,0.11434814,0.07356154,0.06919155,0.07428987,0.1361981,0.07356154,0.115076475,0.07356154,0.08521486,0.07356154,0.49672252
5,0.07356154,0.07356154,0.09686817,0.08448653,0.08011653,0.07356154,0.08230153,0.07283321,0.07356154,0.07356154,0.07356154,0.07356154
6,0.22359796,0.07356154,0.07356154,0.07356154,0.07356154,0.07356154,0.07356154,0.07283321,0.09104151,0.07356154,0.07356154,0.10706482
7,0.21267298,0.07356154,0.07356154,0.07356154,0.08011653,0.07428987,0.07356154,0.07356154,0.075018205,0.07574654,0.07356154,0.07356154
8,0.07356154,0.07356154,0.07356154,0.07356154,0.09613984,0.081573196,0.07356154,0.24180627,0.07356154,0.07356154,0.07356154,0.07356154
9,0.07356154,0.07356154,0.07356154,0.11726147,0.07356154,0.07356154,0.07356154,0.07356154,0.07356154,0.07356154,0.121631466,0.07356154
10,0.07356154,0.07356154,0.07356154,0.07356154,0.07428987,0.08958485,0.07356154,0.07356154,0.07356154,0.08885652,0.07356154,0.09613984
11,0.121631466,0.07356154,0.07356154,0.07428987,0.07356154,0.07356154,0.07356154,0.07356154,0.1361981,0.07356154,0.076474875,0.0793882
