,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_20,0.38593936,0.101325706,0.09491991,0.19703558,0.23904723,0.13747272,0.18177903,0.3091285,0.82446414,0.3332092,0.21363996,0.61793745,0.40982002,0.09763662,0.09803912,0.064734034,0.05293592,0.22194014,0.34954453,0.18952635,0.061256044,0.27556023,0.83377737,0.0783302,0.13671045,0.046170816,0.07319973,0.35091916,2.0654593,2.8312075,0.28440922,0.23413354
layer_21,1.4514273,0.2142801,2.1090727,0.8452809,0.13483272,0.47954294,1.1177937,0.31370655,0.5564169,0.84145206,0.6441686,0.094880745,0.21740106,0.23278794,0.43213516,0.55080855,0.0815667,0.15422787,0.084987246,1.1306105,0.20535344,0.036545716,0.031919573,0.07483052,0.13272922,0.20960055,0.33260223,0.23256524,0.05685491,0.04262629,0.03704924,0.12346147
layer_22,0.11016403,0.09032595,0.068945475,0.3192045,0.86901546,0.2179583,0.2382587,0.8705322,0.43862182,1.0961022,0.45628345,0.43294683,0.038857255,0.023142472,0.03469346,0.04670591,0.5682733,0.6979556,0.43764186,1.0355506,0.0562066,0.08915013,0.06375474,0.023655461,0.41867584,0.19943334,0.13826157,0.3228604,0.094650686,0.09132209,0.23839477,0.07681337
layer_23,0.16776244,0.17909338,0.19146304,0.13811624,0.23224954,0.10223589,0.08461761,0.21776101,0.41452476,0.24652077,0.1101543,0.15599886,0.04350174,0.05657561,0.017959764,0.47810194,1.0598778,2.403174,0.05629037,0.48754442,0.06756692,0.13779247,0.06496311,0.075620994,0.16005099,0.18347426,0.10001237,0.20206226,1.8574598,0.11759284,0.0902795,0.615271
layer_24,0.3603955,2.31002,0.50437933,0.21002734,0.018381093,0.0239367,0.030833578,0.07454652,0.049637455,0.032414928,0.025231127,0.03322991,0.764465,1.7465005,0.66733277,0.89966613,0.047742575,0.044704758,0.07329209,0.36777118,0.06715363,0.46770594,0.034551326,0.04134683,0.04820775,0.030391427,0.04023527,0.038340345,2.449667,0.38326693,0.19354956,0.24636358
layer_25,0.07936975,0.86985296,0.08098102,0.1067562,0.03831188,0.03827493,0.029012484,0.031193394,0.17727645,0.11499568,0.08017639,0.9038429,0.04425023,0.022738382,0.033608872,0.058186576,0.14007439,0.1660099,0.464566,0.34418836,0.023383817,0.124945246,0.040896542,0.10128985,0.15807724,0.054441746,0.09811865,0.073114455,0.15117745,0.25840718,0.044774197,0.020980801
layer_26,0.18232891,0.23628703,1.02989,0.124235116,0.11875733,0.7807669,0.74477035,1.1459005,0.5596341,0.1190092,0.4703418,1.3801012,0.04671037,0.07334789,0.041921325,0.062986016,0.12410904,0.4075863,0.16267166,1.3176308,0.29279175,4.684685,0.7925105,2.2346594,0.12609838,0.14612181,0.6078188,0.62134755,0.21936391,0.079571426,0.77423877,0.06194772
layer_27,0.13488105,0.21394736,0.18587168,0.073790595,0.057808653,0.06144795,0.061699204,0.06710918,2.6476963,0.12650345,0.9239492,0.9275917,0.8868769,0.5230817,2.7545393,0.51737803,0.9805686,0.13131578,0.07779214,0.1727595,0.056006778,0.16651109,0.044695646,0.056012023,0.13083614,0.09902149,0.07467777,0.117413685,1.3775977,0.04698446,0.31226075,0.20239961
layer_28,0.920922,0.19577993,0.09114027,0.50847167,0.058947403,0.024602346,0.123603635,0.053778432,0.41880786,0.4903249,2.6857479,0.4225747,0.3486016,0.109925315,0.3666445,0.3767892,0.11870817,0.15950795,1.1575131,0.04705007,2.221927,0.68459463,0.10318914,1.1641678,0.09276098,0.12365011,0.14891268,0.070807606,0.1791742,0.9935975,2.4404535,1.826891
layer_29,0.22174467,1.4834781,0.36970747,0.061649743,0.80586785,0.2927856,0.061140228,0.05598411,1.6630967,0.12182136,1.0130495,0.36633393,0.022313928,0.018498095,0.013601019,0.016211534,0.54312074,0.29337302,0.15405512,0.09671917,0.08710915,0.09154923,0.05916056,0.19757749,0.01687791,0.053429756,0.045407053,0.06125369,0.4091147,0.26443997,0.30158386,1.0076768
layer_30,0.8490978,2.8304274,0.48354217,0.048611756,0.24908482,0.6307012,1.6555477,0.25013432,0.34804899,1.6857216,0.5428823,0.091999754,0.10606647,0.4911636,0.21472692,0.1391777,0.37666202,1.8168241,4.6179028,1.1059294,0.7853556,0.23244403,0.9906435,1.9093322,2.4164672,0.80511415,0.27181602,0.69180316,0.43239847,0.08563868,0.10852585,0.43851244
layer_31,1.4477019,0.61268276,0.46724692,0.340644,0.5973474,0.090266496,0.6937444,0.69453275,0.27665,0.1781604,0.15489648,0.5121152,1.2566628,0.23898262,0.28515097,2.0593376,0.047915574,0.09300657,0.1533871,0.06256767,0.08048564,0.15136322,0.6713571,0.07599117,1.1301998,0.14168869,4.163823,0.27035937,1.7619498,0.2592472,0.20564802,0.74385476
