,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31,head_32,head_33,head_34,head_35,head_36,head_37,head_38,head_39,head_40,head_41,head_42,head_43,head_44,head_45,head_46,head_47,head_48,head_49,head_50,head_51,head_52,head_53,head_54,head_55,head_56,head_57,head_58,head_59,head_60,head_61,head_62,head_63,head_64,head_65,head_66,head_67,head_68,head_69,head_70
layer_0,0.31132722,0.16425061,0.43657044,0.09023706,0.24337068,0.2530182,0.26372623,0.1062484,0.2569186,0.57418984,0.24469951,0.32138088,0.25686926,0.32070392,0.28395393,0.33529007,0.3308522,0.3011865,0.14031988,0.18446396,0.27067775,0.21742347,0.26236883,0.07220106,0.35297537,0.40713757,0.23982337,0.15317185,0.056198858,0.30258742,0.2794004,0.16542915,0.3516646,0.20731404,0.31936842,0.26221022,0.24074362,0.41481405,0.21187674,0.2609908,0.1666819,0.16358227,0.1446231,0.3131712,0.24228437,0.2358769,0.2206443,0.40360868,0.5942046,0.23604473,0.42197642,0.29844052,0.26888865,0.37307754,0.22854176,0.1944946,0.3080375,0.22762032,0.31663948,0.40110654,0.27575937,0.13311581,0.27349344,0.25838766,0.28123626,0.31259552,0.29682508,0.2657529,0.36326477,0.09767276,0.2641795
layer_1,0.15103747,0.24031165,0.21271667,0.27811268,0.21019292,0.2606101,0.21954416,0.31588897,0.3938028,0.15770304,0.19177853,0.23326996,0.19640297,0.16259521,0.24757242,0.17992003,0.21036606,0.22308095,0.30814043,0.2552938,0.23103413,0.24180865,0.19941197,0.25717267,0.191911,0.2252443,0.24232665,0.18329392,0.3095594,0.08903859,0.20064318,0.25153077,0.23806427,0.19667967,0.09913932,0.23130086,0.18182495,0.23744847,0.25582308,0.3502182,0.26474696,0.17788853,0.22446854,0.18637793,0.22222398,0.24971072,0.28080803,0.19012675,0.35189766,0.18568185,0.29625127,0.25723284,0.27580908,0.25825465,0.23713575,0.2826384,0.12663156,0.20610085,0.19859155,0.23535198,0.16485956,0.19243985,0.2370406,0.18776475,0.2285562,0.20748937,0.26624346,0.29533896,0.44407606,0.24305083,0.21128826
layer_2,0.19324309,0.36010066,0.3854515,0.2936472,0.31156674,0.27307862,0.24089682,0.3592649,0.33317748,0.27515176,0.40776816,0.27391577,0.2955672,0.3427588,0.37444478,0.34783322,0.36849582,0.25075412,0.25833094,0.18961586,0.5112183,0.37143913,0.23549975,0.39303547,0.3258294,0.3162675,0.26733458,0.3065487,0.047265507,0.15792507,0.3411405,0.29434392,0.41125673,0.2753681,0.32278213,0.29194242,0.41669708,0.31049424,0.1733279,0.29944882,0.10137125,0.2841318,0.2760737,0.26465192,0.302328,0.32453972,0.3294727,0.28591436,0.28304836,0.20955026,0.36075044,0.37354282,0.46350965,0.2960105,0.49087727,0.26038665,0.4087718,0.44168413,0.2561347,0.26382923,0.27440444,0.4286835,0.33667704,0.29973665,0.27163538,0.33050653,0.27820587,0.2581779,0.3539805,0.3211152,0.2773069
layer_3,0.26465887,0.273149,0.27476534,0.32078964,0.41989636,0.4318807,0.25458732,0.27012345,0.26936278,0.43247247,0.2778139,0.067251876,0.32772106,0.308485,0.4033048,0.35729828,0.2834595,0.2658029,0.28012425,0.34973502,0.2992904,0.3163562,0.2966254,0.41753736,0.26457596,0.4239247,0.4706951,0.36804235,0.30949655,0.3120961,0.32893747,0.3491863,0.28025502,0.31457803,0.28109595,0.3314505,0.32462424,0.28097567,0.10808285,0.42844453,0.3064882,0.30217028,0.27676076,0.18754347,0.3021563,0.27059498,0.25137457,0.27000818,0.42769697,0.28818864,0.29150712,0.33683625,0.30277038,0.4512266,0.34222937,0.31199217,0.40355718,0.38745025,0.3029526,0.29536518,0.3943731,0.3657434,0.28283605,0.2922978,0.2648132,0.30363336,0.35988504,0.35264018,0.34265387,0.3836597,0.2717609
layer_4,0.33971623,0.39325014,0.34525323,0.40846822,0.36880246,0.33971623,0.22639774,0.5119267,0.34613508,0.33971623,0.33971623,0.35613123,0.33971623,0.3476901,0.33971623,0.34132755,0.35369173,0.33661234,0.33971623,0.33971623,0.33971623,0.33971623,0.33794504,0.33971623,0.33670923,0.33924973,0.33861193,0.51059026,0.3412154,0.3415897,0.57532734,0.33971623,0.3412119,0.33971623,0.35991696,0.33788824,0.339487,0.33957756,0.34243935,0.33965474,0.34206668,0.33877307,0.33828437,0.37226298,0.3418448,0.38864657,0.33610862,0.34575582,0.33991766,0.33512646,0.3422886,0.3411297,0.33976385,0.34126657,0.3728372,0.33670923,0.33978155,0.33732292,0.33971623,0.34469166,0.3421553,0.3234722,0.33971623,0.33971623,0.36183327,0.33971623,0.32307687,0.3274457,0.33793494,0.33974665,0.3626015
layer_5,0.33971623,0.33971623,0.3395333,0.33971623,0.34350842,0.33971623,0.34641737,0.33971623,0.341091,0.3396641,0.33971623,0.33971623,0.33921713,0.33971623,0.33971623,0.34065172,0.33971623,0.34574828,0.33970246,0.34097993,0.51505774,0.33974475,0.33982995,0.3397508,0.33971623,0.35247666,0.33959454,0.34248924,0.33971623,0.33246276,0.35553828,0.3399838,0.34317514,0.33971623,0.38726228,0.36278555,0.3383236,0.36467186,0.35936308,0.33971623,0.33971623,0.33974507,0.33802578,0.33971623,0.33971623,0.33973,0.33971623,0.3398744,0.34042197,0.33971623,0.3402664,0.5613391,0.33970052,0.3476175,0.34180662,0.3398015,0.339598,0.41734976,0.34008685,0.33967766,0.3476712,0.33971494,0.3435697,0.33971623,0.33971623,0.33950567,0.33971623,0.34128255,0.3528244,0.33971623,0.33971623
layer_6,0.33671963,0.3428335,0.3341026,0.34085658,0.33971623,0.34998506,0.39307874,0.37681788,0.35476255,0.34386325,0.3670095,0.34827387,0.33971623,0.34136274,0.33965886,0.33969116,0.3403986,0.3389818,0.33912998,0.3506917,0.339822,0.3396833,0.3480933,0.3444724,0.3337898,0.35882398,0.36830777,0.33979905,0.33967927,0.33971623,0.3122949,0.33757013,0.33058313,0.3487002,0.3382023,0.506539,0.36144024,0.34645155,0.34732777,0.34637973,0.3301042,0.33971623,0.34823686,0.34347314,0.33971623,0.5977558,0.33971623,0.34635207,0.46506435,0.31732142,0.49039367,0.33971623,0.34875143,0.34331378,0.43724445,0.3834626,0.029583393,0.34623748,0.34589273,0.4198512,0.3397587,0.37587586,0.33971196,0.34306538,0.3408142,0.33971623,0.33971623,0.33982825,0.34336615,0.33984968,0.37922966
layer_7,0.34148726,0.35921788,0.5057877,0.34456378,0.34191486,0.33971623,0.3397206,0.33971623,0.3397139,0.35852668,0.35087645,0.3495219,0.33971623,0.40076265,0.55380684,0.3474553,0.33943656,0.34458256,0.34931248,0.33846462,0.34069583,0.41021267,0.33971623,0.33958575,0.33971623,0.33985704,0.3398042,0.33962896,0.33829802,0.34910518,0.33971623,0.33971623,0.33978805,0.36593673,0.34192193,0.3397809,0.37487048,0.34204632,0.37113982,0.33180666,0.33928207,0.34391513,0.3396778,0.23434758,0.3461261,0.3993752,0.35660616,0.35886922,0.33813897,0.33978727,0.32407057,0.4209869,0.36856762,0.3052581,0.3397493,0.36483824,0.33822945,0.36315894,0.33971623,0.33922324,0.4075434,0.33971623,0.33979958,0.48182926,0.6766803,0.3519603,0.344927,0.33971623,0.33966923,0.34133834,0.33970404
layer_8,0.377054,0.42101517,0.36981302,0.3393658,0.4003988,0.3366505,0.36514354,0.38931534,0.34371626,0.3360795,0.370716,0.32844982,0.3494397,0.33926582,0.4389163,0.33971623,0.3396275,0.67505383,0.34641814,0.33826828,0.3419304,0.34681258,0.3412107,0.3511266,0.3620867,0.34138379,0.32783285,0.3520183,0.48806185,0.02254222,0.355744,0.49097562,0.36033309,0.3424943,0.38202068,0.37583095,0.47207072,0.47519663,0.3413953,0.5411499,0.3844741,0.33966425,0.34850216,0.34433722,0.3447871,0.33773506,0.34250498,0.3599408,0.47803834,0.40012547,0.33761436,0.36420512,0.32164836,0.37583467,0.33971623,0.3766359,0.33904138,0.33971623,0.40737748,0.38314456,0.34976092,0.3570887,0.41755965,0.3379368,0.34105545,0.3348974,0.42458954,0.3376602,0.34622586,0.3600022,0.33967185
layer_9,0.38289243,0.3396773,0.34406468,0.34618786,0.33971623,0.34605333,0.3719604,0.33971623,0.33939758,0.36463752,0.33971623,0.34499332,0.33964717,0.33971623,0.33971623,0.33910897,0.33375672,0.33971623,0.3393739,0.3745931,0.33971623,0.34012058,0.33967802,0.50024164,0.35653615,0.33960003,0.36896202,0.3377687,0.34567928,0.33971623,0.36281553,0.33971623,0.33971623,0.34146827,0.33971623,0.3397344,0.34008676,0.3396401,0.3406238,0.34146252,0.4063636,0.3397226,0.33967602,0.33971623,0.33650997,0.33627748,0.33971623,0.35016206,0.33971623,0.33963743,0.3510167,0.3389176,0.34155476,0.33971623,0.40545157,0.3825888,0.33971623,0.33971623,0.3472581,0.34095126,0.33971623,0.3316968,0.33331433,0.33971623,0.31312317,0.33953887,0.33808255,0.33971623,0.3396528,0.33971623,0.004287838
