,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31,head_32,head_33,head_34,head_35,head_36,head_37,head_38,head_39,head_40,head_41,head_42,head_43,head_44,head_45,head_46,head_47,head_48,head_49,head_50,head_51,head_52,head_53,head_54,head_55,head_56,head_57,head_58,head_59,head_60,head_61,head_62,head_63,head_64,head_65,head_66,head_67,head_68,head_69,head_70
layer_0,7,13,5,12,2,4,11,7,12,12,1,8,10,9,14,6,3,8,4,19,13,8,5,21,5,6,6,16,7,3,16,15,4,3,7,10,4,5,9,8,4,18,13,4,11,11,9,7,10,20,6,7,13,14,10,13,5,8,5,10,7,4,8,17,12,13,9,8,5,12,3
layer_1,16,3,2,6,6,21,7,3,20,13,10,2,11,3,11,3,3,5,10,2,5,12,6,2,5,20,8,10,12,21,11,12,12,4,22,4,7,3,5,11,9,6,6,5,10,3,3,7,4,10,12,6,13,10,4,4,15,4,5,5,2,9,3,4,5,3,9,5,8,10,14
layer_2,8,11,12,6,12,5,4,5,5,5,7,4,5,4,6,30,21,3,5,8,20,5,2,7,5,7,8,6,4,3,5,5,4,10,3,3,16,10,5,25,22,8,4,3,5,22,4,5,4,2,19,22,8,8,13,6,4,6,3,4,2,11,7,6,5,14,8,5,10,5,10
layer_3,5,5,5,7,7,8,5,5,5,5,5,1,6,5,6,11,11,5,5,5,5,5,5,6,5,5,5,6,6,5,5,5,5,6,5,7,5,6,22,9,5,5,5,8,5,5,5,5,8,5,5,5,5,5,5,6,6,6,5,5,7,5,5,5,5,10,6,5,10,6,5
layer_4,5,8,5,4,5,5,3,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10
layer_5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5
layer_6,5,5,5,5,5,5,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,6,2,5,5,6,5,5,5,5,5,5,5,5,5,5,5
layer_7,5,7,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,8,5,5,5,5,7,5,5,5,5,5,5,12,5,5,5,5,5,5
layer_8,4,7,6,5,6,5,6,4,5,5,5,5,5,5,5,5,5,11,5,5,5,5,5,5,5,5,5,5,5,1,5,7,5,5,6,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5
layer_9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
layer_10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,5,5,5,6,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5
layer_11,6,5,5,5,5,5,5,5,6,5,0,5,5,6,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,16,5,5,5,5,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5
