,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31,head_32,head_33,head_34,head_35,head_36,head_37,head_38,head_39,head_40,head_41,head_42,head_43,head_44,head_45,head_46,head_47,head_48,head_49,head_50,head_51,head_52,head_53,head_54,head_55,head_56,head_57,head_58,head_59,head_60,head_61,head_62,head_63,head_64,head_65,head_66,head_67,head_68,head_69,head_70
layer_0,9,13,18,6,8,2,7,4,7,6,4,4,15,5,5,4,9,5,3,12,10,7,10,11,6,8,8,16,3,6,8,10,4,5,7,5,5,8,6,5,3,7,16,5,1,6,6,12,9,10,12,7,6,16,9,12,4,5,7,4,7,1,7,6,10,10,6,3,6,3,4
layer_1,6,2,4,6,5,8,6,6,7,9,4,5,7,3,11,3,4,5,9,11,7,10,7,5,5,11,13,4,10,6,7,9,4,6,19,5,6,4,6,4,5,4,4,4,6,3,3,5,8,6,10,6,4,7,4,5,3,5,2,8,3,7,3,3,6,5,5,3,19,4,13
layer_2,4,11,12,7,4,7,4,6,7,4,13,5,7,8,8,6,18,4,5,9,12,7,5,9,4,6,8,10,3,2,5,4,8,7,11,6,14,5,4,13,18,26,4,3,9,3,6,9,2,8,8,14,9,6,7,6,9,10,5,4,4,15,19,14,5,12,6,6,21,7,10
layer_3,4,8,6,5,6,17,8,5,6,10,6,0,9,6,9,11,6,7,6,3,5,6,7,20,5,10,9,7,7,6,5,10,4,6,8,4,5,5,19,10,4,5,6,3,4,5,5,4,10,7,6,5,4,3,7,6,10,6,6,3,6,8,5,6,5,6,11,5,10,4,6
layer_4,7,12,7,7,7,7,2,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,8
layer_5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,11,7,7,7,7,7,7,7,7,7,7,7,7,7,14,7,6,7,7,7,10,7,7,7,7,7,7,7,7,7,7,7,7,7
layer_6,7,7,7,7,7,7,8,8,5,7,7,7,7,7,7,7,7,7,7,8,7,7,7,8,7,9,12,7,7,7,7,7,7,7,7,13,6,7,7,7,7,7,7,7,7,9,7,7,8,7,9,7,8,8,13,7,0,7,8,9,7,7,7,7,7,7,7,7,7,8,7
layer_7,7,7,13,7,7,7,7,7,7,7,7,7,7,9,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,8,7,7,12,7,7,7,7,7,7,3,7,9,7,8,7,7,7,8,11,7,7,7,7,7,7,7,7,7,7,7,10,7,7,7,7,7,7
layer_8,10,7,7,7,7,7,8,13,7,7,7,7,7,7,7,7,7,8,9,6,7,7,7,7,8,7,8,9,9,3,7,10,7,7,7,7,10,9,7,9,7,7,7,7,8,7,7,8,11,7,7,9,7,7,7,9,7,7,8,7,7,7,11,7,7,7,8,7,7,7,7
layer_9,10,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,9,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,9,7,7,7,7,7,7,7,7,7,7,7,7,7,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1
