,0,1,2,3,4,5,6,7,8,9,10,11
0,0.05772938,0.007217205,0.2815515,0.05679856,0.064487495,0.015166789,0.07026154,0.09656745,0.22555868,0.10121615,0.35130093,0.048946917
1,0.22659728,0.15718247,0.034932,0.008542205,0.026422706,0.32825378,0.005357254,0.12588683,0.016719885,0.41362533,0.018958697,0.015922694
2,0.071524926,0.025232736,0.4355541,0.17731932,0.010408762,0.027403362,0.16701305,0.03944677,0.016962243,0.033355977,0.10480274,0.008471571
3,0.16192113,0.010356719,0.01989247,0.011894661,0.004628703,0.050094035,0.03424001,0.046654176,0.18300427,0.10909443,0.034057487,0.05826193
4,0.16439557,0.2358126,0.043475624,0.14651473,0.15456228,0.04044775,0.0012070023,0.0063921697,0.24041334,0.13316181,0.027870266,0.023300003
5,0.15884154,0.009944553,0.10801867,0.13198055,0.015744802,0.30537838,0.06291738,0.6840258,0.2394227,0.05191461,0.2537344,0.034777038
6,0.12161901,0.09625216,0.4499011,0.58180255,0.047728453,0.056711216,0.055288523,0.03782532,0.3127553,0.008450479,0.22478633,0.10903612
7,0.011331616,0.1514481,0.047118567,0.47298843,0.021840688,0.016070345,0.042353403,0.02597098,0.05783446,0.028069437,0.060775466,0.17134532
8,0.047189146,0.047100477,0.27761525,0.099468835,0.0021526758,0.037120935,0.23505718,0.1287559,0.21087316,0.11100492,0.041136406,0.043688618
9,0.04867129,0.1066858,0.17161816,0.6293255,0.021639138,0.11360205,0.08712499,0.044749495,0.120164126,0.2147038,0.012641093,0.15665817
10,0.27191126,0.018590774,0.015350269,0.0207579,0.1169498,0.27671883,0.059195537,0.047952425,0.03021895,0.36969563,0.030360287,0.012503784
11,0.43314216,0.30579874,0.012547752,0.06398155,0.1375109,0.14940289,0.021646649,0.06271735,0.044635035,0.1247731,0.29614645,0.41955742
