,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,239,93,1,27,428,42,707,254,4,1021,0,33
layer_1,44,2,23,16,3,317,463,43,7,4,667,0
layer_2,2,1,131,329,17,49,35,21,0,0,19,0
layer_3,32,4,10,151,1,1,0,1,0,666,16,4
layer_4,0,3,2,0,35,5,4,488,0,242,31,395
layer_5,0,1,0,230,4,99,15,0,0,4,0,2
layer_6,482,0,17,0,2,1,707,5,1,0,101,8
layer_7,318,62,116,61,706,257,6,208,121,707,49,1
layer_8,49,699,106,704,13,2,21,131,88,538,23,379
layer_9,84,67,24,653,33,7,106,276,101,19,66,69
layer_10,15,1,7,52,80,314,0,476,8,331,2,5
layer_11,137,89,5,152,2,634,8,127,2,299,4,333
