,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,0,1,10,0,0,2,0,12,19,9,10,17
layer_1,0,2,18,12,12,1,0,0,0,7,22,12
layer_2,0,0,7,0,0,6,0,10,2,0,0,0
layer_3,0,0,15,2,0,19,0,0,0,0,0,0
layer_4,0,0,14,11,0,0,0,0,0,0,0,0
layer_5,4,0,0,17,0,6,0,0,0,0,0,0
layer_6,5,2,0,4,1,0,0,2,0,0,0,0
layer_7,0,1,0,0,0,15,0,3,0,7,0,0
layer_8,0,23,0,0,0,0,0,2,0,0,0,18
layer_9,0,0,0,0,0,1,25,11,0,0,16,0
layer_10,0,0,5,4,0,0,0,2,1,16,20,12
layer_11,16,16,2,0,0,2,18,17,19,4,1,9
