,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.019530462,0.13829412,0.018482128,0.01764517,0.015156037,0.014174673,0.020367,0.01809735,0.0305624,0.0033815224,0.0037721018,0.0049360557,0.009614872,0.016313858,0.02147465,0.06366354,0.020206325,0.016333023,0.046174992,0.037146453,0.04032369,0.0037780462,1.477436e-05,6.288012e-05
1,0.02737521,0.06775587,0.0052420623,0.0040922416,0.013510471,0.014462903,0.013456098,0.0040879883,0.028768709,0.016157335,0.0076066083,0.007941168,0.023996666,0.014658955,0.033760313,0.057058718,0.042727623,0.0010267805,0.0040320866,0.012906204,0.004467414,0.015321654,0.018675936,0.010865665
2,0.0027361335,0.0014050561,0.018729458,0.0069378996,0.003952846,0.02509519,0.006428287,0.014120989,0.0027654215,0.0040182294,0.0018078398,0.00053523213,0.01314235,0.004883602,0.007740052,0.00033071844,0.000107014064,0.0009295553,0.016098449,0.00093137217,0.0046588653,0.0041996664,0.0034329707,0.01186724
3,0.0056579914,0.006405549,0.011575645,0.009330169,0.007445529,0.021787094,0.015192075,0.0326207,0.014162045,0.010484355,0.0032055231,0.013230158,0.02721584,0.021625904,0.007978491,0.006363967,0.0145286005,0.005007017,0.0073398077,0.007637068,0.0019969135,0.021616818,0.009203878,0.018552808
4,0.00708788,0.010354127,0.005390277,0.018174103,0.012601669,0.02231265,0.00980977,0.02547963,0.006018677,0.03442048,0.036483873,0.015341173,0.027983531,0.01163904,0.0004621545,0.00732828,0.0037155426,0.01727959,0.03868104,0.021467226,0.008317845,0.0024165988,0.0028093257,0.034861237
5,0.0042275833,0.014938955,0.036141615,0.0033010999,0.005333104,0.0036868667,0.0002673464,6.0284954e-05,0.0025720221,0.059315056,0.03919536,0.027821664,0.029125487,0.030648977,0.009032441,0.004120392,0.009747651,0.005229857,0.008230548,0.013797897,0.014104622,0.022917338,0.019118657,0.017406723
6,0.02290185,0.0026378985,0.0068023195,0.011000946,0.010063908,0.030370528,0.048432957,0.044805564,0.09642895,0.024126122,0.010591436,0.04729971,0.0342753,0.010044633,0.024356568,0.02442137,0.015485692,0.018122802,0.0044156797,0.00076717354,0.01329157,0.0058898563,0.007661969,0.026296683
7,0.043594003,0.0762405,0.004821066,0.019900627,0.008310609,0.0062583676,0.02306156,0.020556862,0.033611033,0.04454919,0.012207842,0.014095042,0.014706041,0.030165529,0.019350354,0.0234122,0.022908937,0.008721592,0.011911583,0.009479546,0.0068002413,0.020996504,0.022143336,0.015266582
8,0.004276838,0.009163799,0.0011617003,0.044050157,0.021190185,0.039924774,0.0018469996,0.005764916,0.0009694306,0.029438984,0.00996067,0.047781557,0.025279054,0.018603548,0.025674999,0.06061396,0.031424504,0.012015579,0.013236604,0.0127463825,0.015034304,0.009606221,0.01725721,0.011351102
9,0.028327927,0.023770725,0.02374008,0.0062031494,0.014203827,0.004925792,0.05191893,0.058993313,0.05483224,0.008335661,0.006251302,0.008572826,0.024253462,0.010087385,0.02346438,0.008791308,0.017979098,0.014045151,0.019995151,0.0016424462,0.028193742,0.014013725,0.021715762,0.008944215
