,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.07283932,0.27300197,0.02209339,0.006418797,0.015584467,0.0067981086,0.0052838093,0.009536359,0.01998737,0.0011957834,0.00025671982,0.0015335502,0.0014202655,0.0029360987,0.0017007212,0.03895025,0.008275542,0.016476238,0.008477513,0.006621632,0.0129187405,0.008440454,2.1228869e-10,5.73705e-08
1,0.03054057,0.044974938,0.0032642777,0.055104908,0.06306661,0.010124607,0.0035101338,0.00087428885,0.0071756057,0.004678865,0.023720615,0.007939569,0.06550135,0.0049431287,0.030677829,0.046441175,0.072428346,5.067516e-05,0.0027022376,0.109442316,0.020379078,0.0018541439,0.048476707,0.0038201883
2,0.025653956,0.016671712,0.022045594,0.0026674285,0.0011106416,0.02658568,0.07456122,0.14047793,0.0030517476,0.0009862927,0.00022052518,0.00020050979,0.0077217696,0.0033144816,0.0014600832,1.2315765e-05,1.1507889e-06,1.0795235e-05,0.002190222,6.529517e-05,0.000542111,0.01988342,0.0021392065,0.06570278
3,0.0010308956,0.00060853816,0.005900422,0.018866278,0.0095280735,0.006940013,0.018036574,0.14382736,0.09902244,0.005833109,0.00041815202,0.00823169,0.05154966,0.009983471,0.002989801,0.0057130316,0.006222935,0.0017500024,0.027491752,0.010448044,0.00059226004,0.020236416,0.0037698883,0.0057700537
4,0.0028999415,0.006957728,0.0014205761,0.06616106,0.06532218,0.021850005,0.0053737657,0.021830894,0.0034897514,0.060765773,0.037120063,0.057847068,0.020375606,0.00932917,2.8122406e-05,0.0005874733,0.00040756093,0.009607419,0.029936459,0.009038776,0.008702624,0.0007594136,0.0005373685,0.04172092
5,0.0022327655,0.017709725,0.018285163,0.00022448692,0.0003354905,0.000114155606,8.368621e-06,1.2633767e-06,4.5804096e-05,0.09046342,0.017068781,0.013642552,0.013189629,0.013066693,0.007980574,0.00074742374,0.0019566757,0.001697558,0.00084076304,0.004632105,0.002659125,0.054750703,0.09284887,0.03234346
6,0.011827171,0.00019400648,0.0056977007,0.014052323,0.0056718607,0.017489607,0.115779296,0.24292718,0.120529786,0.0358952,0.0018345475,0.051156953,0.16371149,0.0022205508,0.012709743,0.011082477,0.008650962,0.007119048,0.004493766,9.351579e-05,0.0031563304,0.00045885504,0.0025766136,0.0719446
7,0.029903267,0.12942812,0.00090779027,0.014115057,0.0005505807,0.00022835592,0.019417614,0.0183067,0.024670323,0.02042931,0.004019003,0.0058498713,0.0046733264,0.038784467,0.027172811,0.0047120554,0.0016191124,0.0009972213,0.004062715,0.0010973499,0.00088045525,0.011422622,0.018477987,0.017518055
8,0.0010375555,0.0011155937,2.4860075e-05,0.03927554,0.026410041,0.049931824,1.8337798e-05,0.0018770923,4.7437185e-05,0.021918943,0.017399527,0.051061325,0.008047129,0.020482428,0.03163772,0.054282706,0.03142052,0.006805567,0.010366828,0.0050679003,0.007079048,0.011963341,0.017382279,0.01014584
9,0.021303033,0.025254598,0.009950804,0.0018763694,0.015649747,0.0012547504,0.060827386,0.081439964,0.06467075,0.0031317822,0.009966866,0.0033934484,0.008089187,0.010171406,0.025958916,0.004923489,0.03425758,0.0057221423,0.012310377,0.00061170314,0.010501466,0.0073397765,0.016282137,0.0035523158
10,0.02285486,0.0016603702,0.011277019,0.00088304246,0.000898128,0.001351238,0.004014834,0.021331444,0.010880064,0.0018378588,0.007655812,0.00047898287,0.09882816,0.03719729,0.13407163,0.0040692864,0.007342995,0.006444694,0.01211356,0.013370238,0.012895128,0.000519878,0.0012524184,0.00263773
11,0.020433087,0.01188198,0.028069753,0.029394377,0.0093733305,0.011712665,0.0052219722,0.014376439,0.022626597,0.006317458,0.004511214,0.008226811,0.014041479,0.061975166,0.03475883,0.008805345,0.013044292,0.0037526595,0.016964508,0.045112204,0.02265419,0.04221823,0.021677738,0.020647604
12,0.012210166,0.016174583,0.0075205583,0.00045029866,0.0011572223,0.009743387,0.032261036,0.022560045,0.023846645,0.007817354,0.015671743,0.006089582,0.0077710226,0.004142001,0.0058918237,0.0021690186,0.014255702,0.026520751,0.003919103,0.00072288327,0.001141383,0.010351217,0.005647076,0.007454171
13,0.008948285,0.008113334,0.0039483476,0.002559331,0.007780888,0.00902411,0.1252601,0.066743836,0.05888278,0.021502538,0.014591573,0.010931259,0.0061693704,2.14162e-05,2.8322327e-05,0.012718506,0.004326247,0.0029392587,0.041465126,0.018019943,0.016713057,0.005067032,0.0047021816,0.008209687
14,0.15346827,6.319772e-05,0.00014531284,0.0718752,0.08228762,0.07734827,0.050291665,0.021573454,0.02128963,0.16517161,0.018380456,0.017397348,0.003221931,0.002307001,0.00094227726,0.025017563,0.0109335035,0.025785683,0.013079527,0.01530385,0.016687948,0.000913057,9.458006e-06,0.13049977
