,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,495,0,254,0,0,0,1,0,0,0,0,280,0,0,0,19,0,5,0,0,0,53,0,59,31,242,12,37,0,0,0,0
layer_1,0,3,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,1,0,0,0,25,0,0,0,8,0,3,0
layer_2,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
layer_3,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,9,40,0,0,0,0,0,0,0,5,0,0,0,0,0,4,1
layer_4,0,0,0,0,8,0,4,18,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
layer_5,0,2,0,7,4,0,2,0,0,0,0,1,1,3,1,2,2,18,8,0,0,1,0,0,0,0,0,0,2,2,6,2
layer_6,0,0,0,0,2,0,1,9,10,1,64,27,2,32,0,3,37,0,0,0,39,0,2,0,0,53,1,0,2,18,10,0
layer_7,1,4,377,0,3,0,0,2,11,102,84,187,24,0,0,2,4,73,6,24,1,2,0,0,15,0,0,11,14,3,2,7
layer_8,0,0,0,1,11,6,0,0,4,0,0,0,11,3,9,24,4,23,5,10,0,8,110,0,0,0,0,0,5,18,2,133
layer_9,3,49,30,16,0,0,0,0,64,484,52,225,0,1,0,3,11,4,1,47,6,0,0,0,1,0,0,0,0,21,0,3
layer_10,0,6,0,0,0,0,0,0,0,97,0,0,0,0,1,4,203,1,52,66,98,3,71,8,16,12,73,9,0,2,67,0
layer_11,40,14,32,6,10,0,0,0,6,14,1,1,0,1,3,8,300,258,3,216,0,0,0,1,8,11,22,10,0,0,0,91
layer_12,99,0,3,7,2,2,3,0,0,1,0,2,0,0,0,176,21,45,168,61,0,0,0,69,112,35,91,11,11,1,3,6
layer_13,2,16,45,9,0,0,0,1,40,12,2,36,0,0,2,3,3,0,2,5,3,0,63,1,182,0,0,0,0,36,2,91
layer_14,0,0,3,2,0,2,5,1,286,61,50,181,11,35,8,0,1,0,1,0,0,0,0,0,4,28,212,4,1,3,0,1
layer_15,222,0,0,1,121,231,159,187,79,3,0,20,57,1,27,0,0,0,0,0,3,5,0,32,0,2,22,8,0,1,0,6
layer_16,0,0,0,2,12,1,2,1,3,67,4,26,6,3,40,0,0,11,74,0,0,0,124,0,0,18,0,14,1,72,0,71
layer_17,0,0,0,37,108,3,0,7,2,0,1,43,0,44,1,7,0,0,1,5,9,0,0,5,0,0,0,0,0,1,10,1
layer_18,0,1,2,0,0,0,0,0,3,0,0,46,0,64,2,2,1,11,0,0,1,0,0,0,0,20,25,0,6,6,0,1
layer_19,0,0,0,1,0,0,0,7,18,2,9,2,0,0,0,0,0,0,2,0,0,6,0,0,1,0,0,1,0,0,0,0
layer_20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,15,0,0
layer_21,70,0,6,2,217,4,4,3,0,8,9,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
layer_22,0,0,0,0,3,0,0,0,1,2,18,0,0,0,0,0,3,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0
layer_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0,0,0,0,0,0,0,14,0,0,3
layer_24,0,173,0,2,0,0,0,0,0,0,0,0,1,16,0,22,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
layer_25,0,0,0,0,0,1,0,2,0,0,20,0,0,0,0,0,1,0,44,0,1,0,0,3,0,0,2,2,0,0,0,0
layer_26,0,0,0,4,4,4,3,69,0,0,0,0,0,0,0,0,0,0,0,2,0,43,0,19,0,0,0,0,0,0,0,0
layer_27,0,0,0,0,0,0,0,0,52,0,0,0,1,0,16,0,42,3,0,137,0,0,0,0,0,0,0,0,6,0,0,0
layer_28,0,2,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,31,0,0,4,0,0,16,0,0,8,43,2
layer_29,0,12,5,0,26,3,0,0,14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,0,0,0,5
layer_30,0,9,4,0,2,1,74,16,0,10,0,0,0,0,0,0,0,1,100,1,5,0,0,7,12,0,0,7,0,0,0,0
layer_31,14,0,0,1,0,0,12,32,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,147,0,67,0,0,0
