,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.46715328,0.37226278,0.3211679,0.36861312,0.21167883,0.3649635,0.3649635,0.18978103,0.17153284,0.3248175,0.08759124,0.30291972,0.26642334,0.26642334,0.01459854,0.229927
1,0.16058394,0.45255473,0.3941606,0.37956205,0.3138686,0.33941606,0.28832117,0.3211679,0.29927006,0.30656934,0.29562044,0.2810219,0.2810219,0.29562044,0.30291972,0.29562044
2,0.37226278,0.52554744,0.36131388,0.34671533,0.33576643,0.37226278,0.3138686,0.4379562,0.33576643,0.14963503,0.3649635,0.27737227,0.3649635,0.270073,0.30656934,0.26642334
3,0.53649634,0.36861312,0.41970804,0.41240877,0.3759124,0.34306568,0.2080292,0.30656934,0.3649635,0.20437956,0.229927,0.21167883,0.30656934,0.3211679,0.2919708,0.16423358
4,0.3248175,0.5729927,0.30291972,0.3540146,0.3540146,0.47445256,0.46350366,0.3138686,0.3540146,0.25547445,0.37956205,0.21167883,0.29927006,0.30656934,0.2810219,0.18978103
5,0.459854,0.51459855,0.4452555,0.39781022,0.40145984,0.37226278,0.33941606,0.32846716,0.33941606,0.40145984,0.33941606,0.33211678,0.3759124,0.33941606,0.33211678,0.32846716
6,0.4270073,0.6386861,0.38321167,0.35766423,0.38321167,0.33211678,0.34671533,0.45255473,0.33576643,0.33211678,0.32846716,0.3211679,0.33211678,0.33211678,0.33941606,0.34671533
7,0.3138686,0.6021898,0.28832117,0.45620438,0.124087594,0.6423358,0.33941606,0.34671533,0.33576643,0.35036495,0.36861312,0.33941606,0.32846716,0.33211678,0.33211678,0.33576643
8,0.4051095,0.1569343,0.49270073,0.6167883,0.4379562,0.34671533,0.3649635,0.50729924,0.35766423,0.33211678,0.33576643,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678
9,0.620438,0.4489051,0.270073,0.3759124,0.52554744,0.33941606,0.3540146,0.33576643,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678
10,0.68613136,0.55474454,0.5510949,0.37226278,0.34671533,0.34306568,0.47080293,0.34671533,0.33211678,0.33211678,0.33211678,0.34671533,0.33211678,0.33211678,0.33576643,0.33211678
11,0.609489,0.5291971,0.4489051,0.3540146,0.33211678,0.40875912,0.33576643,0.38321167,0.33211678,0.33211678,0.33576643,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678
12,0.649635,0.54744524,0.47445256,0.3941606,0.4452555,0.33211678,0.37956205,0.46350366,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678
13,0.55839413,0.43430656,0.4379562,0.43065694,0.39781022,0.33211678,0.33211678,0.32846716,0.37226278,0.33211678,0.33941606,0.33211678,0.33211678,0.33211678,0.33576643,0.33211678
14,0.57664233,0.41240877,0.36131388,0.36861312,0.39781022,0.33941606,0.33211678,0.33211678,0.37956205,0.33576643,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678,0.33576643
15,0.52554744,0.59489053,0.35766423,0.33576643,0.33211678,0.33941606,0.37956205,0.33211678,0.33211678,0.33211678,0.36861312,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678
16,0.65328467,0.46715328,0.34306568,0.3540146,0.34671533,0.38686132,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678,0.33576643
17,0.48175183,0.55474454,0.36861312,0.3649635,0.35766423,0.34671533,0.33941606,0.35766423,0.33211678,0.34306568,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678
18,0.55839413,0.39051095,0.3759124,0.35766423,0.33576643,0.37956205,0.33211678,0.33211678,0.33576643,0.33576643,0.33576643,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678
19,0.44160584,0.47810218,0.33941606,0.37226278,0.33211678,0.5328467,0.3540146,0.33576643,0.33941606,0.33211678,0.33211678,0.33211678,0.33576643,0.33211678,0.33211678,0.33211678
20,0.54379565,0.5218978,0.4452555,0.34306568,0.34306568,0.5109489,0.34306568,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678
21,0.51459855,0.35036495,0.35036495,0.48540145,0.34671533,0.35036495,0.34306568,0.33576643,0.35766423,0.33211678,0.33211678,0.33211678,0.33211678,0.33211678,0.18613139,0.3248175
22,0.38686132,0.37956205,0.37956205,0.30291972,0.26642334,0.39051095,0.40875912,0.24452555,0.33576643,0.34671533,0.33211678,0.33211678,0.1569343,0.33211678,0.33211678,0.310219
23,0.55474454,0.4489051,0.49635038,0.54379565,0.27737227,0.4160584,0.24817519,0.3540146,0.21167883,0.14233577,0.34306568,0.33941606,0.33941606,0.33941606,0.23357664,0.3138686
