,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31,head_32,head_33,head_34,head_35,head_36,head_37,head_38,head_39,head_40,head_41,head_42,head_43,head_44,head_45,head_46,head_47,head_48,head_49,head_50,head_51,head_52,head_53,head_54,head_55,head_56,head_57,head_58,head_59,head_60,head_61,head_62,head_63,head_64,head_65,head_66,head_67,head_68,head_69,head_70
layer_0,12,12,19,2,9,6,9,0,8,17,3,10,14,10,11,8,10,6,1,15,16,8,9,12,5,12,10,23,0,5,9,15,9,13,12,14,9,14,9,13,2,12,19,4,9,16,2,4,24,17,4,15,13,22,16,13,14,13,6,5,14,5,14,13,9,15,8,8,14,6,6
layer_1,6,8,5,5,5,6,6,13,4,8,4,5,6,2,9,3,5,3,12,5,7,3,6,8,3,3,6,7,18,2,5,5,10,4,13,6,10,10,8,5,10,3,3,8,6,5,5,3,18,3,9,6,7,3,6,7,1,4,5,2,5,8,4,7,8,5,8,6,17,11,7
layer_2,1,8,14,8,14,18,5,7,8,5,19,11,13,10,2,4,15,4,4,7,12,10,4,17,8,8,6,16,1,1,3,5,13,3,8,9,2,3,9,1,16,3,4,5,8,18,11,7,2,3,3,32,33,1,6,6,5,4,3,6,2,5,4,13,2,3,7,2,7,6,3
layer_3,2,2,3,6,18,18,3,2,3,31,9,0,2,3,11,4,3,3,2,2,2,3,3,3,2,5,28,9,5,4,9,5,3,3,2,2,4,2,15,2,2,2,2,2,2,2,2,2,13,2,2,13,2,3,7,2,11,4,3,2,21,3,2,2,2,3,7,5,17,3,2
layer_4,2,2,2,2,2,2,3,13,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,9,2,2,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
layer_5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2
layer_6,2,2,2,2,2,3,5,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,21,2,2,4,2,2,2,2,3,7,4,1,2,2,5,2,3,2,2,2,2,2,2,2,2,5
layer_7,2,1,3,2,2,2,2,2,2,2,2,2,2,4,19,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,10,2,4,2,2,2,5,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
layer_8,1,5,2,2,5,2,2,8,2,2,2,2,2,2,3,2,2,22,2,2,3,2,2,2,2,2,2,2,5,0,5,5,2,5,4,2,2,9,2,9,2,2,1,2,3,2,2,2,3,2,3,2,2,4,2,8,2,2,6,4,2,2,3,2,2,2,8,2,2,2,2
layer_9,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
