,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,72,99,134,58,138,171,44,105,108,2,27,137
layer_1,145,143,0,66,0,113,116,149,142,121,105,158
layer_2,105,171,110,4,3,332,98,0,144,140,134,3
layer_3,192,31,122,40,142,152,105,149,23,2,1,138
layer_4,88,44,82,35,152,72,120,55,123,115,68,49
layer_5,120,44,166,7,85,143,161,90,70,53,37,112
layer_6,10,64,38,118,138,7,151,59,99,18,130,71
layer_7,131,111,105,149,48,121,119,152,88,115,145,59
layer_8,110,65,104,91,66,110,104,143,97,151,136,148
layer_9,52,83,122,132,104,102,129,75,102,61,64,140
layer_10,26,112,61,93,92,72,81,104,138,148,120,86
layer_11,124,42,153,79,127,123,116,121,68,140,52,47
