,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,416,37,985,58,188,17,56,1084,533,84,268,55
layer_1,116,299,553,102,796,123,86,2,77,437,264,234
layer_2,28,0,1185,21,23,118,1,262,33,224,26,31
layer_3,1395,1,193,193,29,0,19,38,13,451,3,47
layer_4,433,1328,23,840,549,311,266,465,808,209,391,377
layer_5,2,19,0,9,36,2,0,0,1,1,805,303
layer_6,2,859,138,1576,39,1,0,0,305,1367,515,33
layer_7,85,622,6,807,162,621,45,44,0,1,33,50
layer_8,0,473,22,0,1098,237,24,49,1203,29,1505,765
layer_9,0,1572,3,38,84,1423,400,146,1012,2,1,932
layer_10,221,74,1407,739,164,449,62,16,362,1048,472,1090
layer_11,400,535,851,89,447,75,149,19,821,6,637,1481
