,0,1,2,3,4,5,6,7,8,9,10,11
0,0.10231023,0.036303632,0.0110011,0.02310231,0.0880088,0.05170517,0.0,0.0,0.0066006603,0.229923,0.07590759,0.09790979
1,0.013201321,0.01430143,0.00770077,0.03850385,0.01540154,0.34983498,0.00220022,0.0,0.03520352,0.00990099,0.00110011,0.0
2,0.05170517,0.00220022,0.02420242,0.01210121,0.0066006603,0.00220022,0.0033003301,0.00990099,0.0033003301,0.00770077,0.00440044,0.00440044
3,0.0880088,0.00110011,0.013201321,0.02530253,0.00440044,0.00110011,0.00110011,0.0033003301,0.00110011,0.0,0.00990099,0.00770077
4,0.00440044,0.01980198,0.0,0.01650165,0.0,0.0330033,0.00220022,0.0,0.0220022,0.37843785,0.00880088,0.027502751
5,0.00990099,0.034103412,0.01430143,0.07480748,0.0033003301,0.03520352,0.03520352,0.00440044,0.02860286,0.06380638,0.00550055,0.11881188
6,0.00110011,0.0033003301,0.2420242,0.00110011,0.0033003301,0.05610561,0.00220022,0.01870187,0.00990099,0.00770077,0.03080308,0.0
7,0.04290429,0.35863587,0.03080308,0.22112212,0.00550055,0.0,0.01540154,0.02090209,0.0220022,0.0033003301,0.0,0.05170517
8,0.03520352,0.013201321,0.0,0.036303632,0.27722773,0.09790979,0.00550055,0.0220022,0.28712872,0.00110011,0.3520352,0.28162816
9,0.02530253,0.01870187,0.034103412,0.01870187,0.03520352,0.04730473,0.01870187,0.0330033,0.026402641,0.013201321,0.05720572,0.055005502
10,0.03080308,0.04070407,0.01760176,0.04180418,0.03960396,0.0330033,0.03960396,0.036303632,0.03850385,0.02090209,0.03850385,0.01650165
11,0.02860286,0.03080308,0.04620462,0.0330033,0.04840484,0.04510451,0.04620462,0.055005502,0.03520352,0.03190319,0.02310231,0.04180418
