,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_31,0.95446277,0.9757136,0.9251542,0.95070696,0.9305868,0.9146497,0.8863055,0.88034075,0.9357307,0.8897759,0.91584617,0.8830887,0.8902904,0.88419145,0.86553526,0.8821134
layer_32,0.8838744,0.8973554,0.96674216,0.88088846,0.88417596,0.88062197,0.89100206,0.88262576,0.9137447,0.92309415,0.9405573,0.9695122,0.90323406,0.8835797,0.881607,0.8812239
layer_33,0.8847498,0.8815134,0.8815153,0.8811825,0.92739797,0.9462774,0.9179259,0.9323543,0.8922693,0.8987855,0.8993688,0.94299334,0.8963424,0.9063653,0.88176644,0.8815651
layer_34,0.88388264,0.88368505,0.8921998,0.88456154,0.88291717,0.93138146,0.88292,0.5091881,0.9295259,0.9160702,0.90239644,0.8915737,0.88113064,0.88143474,0.881382,0.88143194
layer_35,0.88070637,0.88147837,0.8877083,0.8936253,0.91342324,0.88423944,0.8871011,0.8818095,0.8941804,0.9893487,0.905747,0.9162691,0.8808517,0.8847666,0.88147396,0.88154674
layer_36,0.8899138,0.8881035,0.9274226,0.95701104,0.9836193,0.9066373,0.88085306,0.881304,0.89458674,0.95246536,0.89545786,0.884846,0.8812711,0.8838541,0.9081316,0.9700046
layer_37,0.881423,0.88152623,0.8815074,0.88614404,0.882303,0.9422877,0.881591,0.88501835,0.97996134,0.90773106,0.8850458,0.88119817,0.9013189,0.8895428,0.8813198,0.16015376
layer_38,0.8904271,0.91021436,0.8832839,0.88371176,0.9398804,0.957507,0.8846725,0.8821314,0.8925891,0.8980244,0.88372713,0.88403016,0.8819775,0.8822174,0.92752355,0.9067215
layer_39,0.92083716,0.95171875,0.90490955,0.8941962,0.8871016,0.8822817,0.7749202,0.92127186,0.8815383,0.88122076,0.8831954,0.9000798,0.9082767,0.9127359,0.88255733,0.90130883
layer_40,0.9316076,0.8838376,0.21885169,0.6419043,0.88422173,0.88398963,0.8922872,0.88388133,0.88165677,0.8815455,0.88971883,0.9012551,0.02252186,0.88315237,0.8814577,0.8821201
layer_41,0.91929096,0.8888862,0.88336664,0.88387924,0.9501293,0.88548344,0.20287293,0.57590556,0.8818739,0.89402795,0.9344982,0.8952143,0.88127244,0.884157,0.8827939,0.8815505
