,0,1,2,3,4,5,6,7,8,9,10,11
0,0.1233566,0.0658782,0.23399551,0.12314012,0.10897593,0.04120345,0.09394126,0.24632555,0.1398995,0.0637661,0.13068746,0.041976552
1,0.035436474,0.22498828,0.25370428,0.05439677,0.28387383,0.1197046,0.16975835,0.037087273,0.05524832,0.18135609,0.12009657,0.06292181
2,0.064933024,0.032232765,0.47880864,0.07674171,0.057063367,0.12922952,0.03587929,0.096012875,0.121718004,0.2672549,0.047430653,0.057834137
3,0.27897823,0.039789367,0.11327988,0.26137614,0.10149827,0.025328575,0.11723765,0.05213632,0.036746364,0.20518446,0.07439806,0.10026451
4,0.22005725,0.19037011,0.062011987,0.4431115,0.22669831,0.1635619,0.3076804,0.11768518,0.15885146,0.26799813,0.0925948,0.15198907
5,0.010141594,0.056286722,0.02430432,0.10408688,0.04156413,0.010585442,0.041743536,0.077657245,0.071888596,0.01498253,0.17630735,0.11572009
6,0.021885172,0.12903371,0.075796835,0.23704422,0.04707011,0.016547782,0.014548696,0.051766872,0.13916478,0.4012662,0.19078112,0.06757812
7,0.05954201,0.11487111,0.031442292,0.20915125,0.057689987,0.10510468,0.12626822,0.044331156,0.054406203,0.055604797,0.11758345,0.0812747
8,0.01673258,0.07057537,0.025817396,0.03487341,0.29043522,0.14166954,0.101708665,0.06262,0.2727839,0.046674166,0.14647637,0.09049364
9,0.0413641,0.19683097,0.0168003,0.14759898,0.063236125,0.20253538,0.08567332,0.05238609,0.41950896,0.042210717,0.017983465,0.06334947
10,0.11057978,0.05867284,0.48049945,0.23722444,0.16751996,0.27200314,0.07648948,0.070422255,0.2600963,0.2861073,0.17776835,0.23263304
11,0.40912032,0.4288031,0.41292173,0.060433008,0.4028696,0.06728682,0.13223685,0.039435375,0.5258001,0.015701741,0.2966289,0.55841863
