,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.2048611,0.2361111,0.15856482,0.2199074,0.18055555,0.14930555,0.16203703,0.15625,0.19328703,0.16898148,0.26041666,0.19907407,0.24074075,0.17476852,0.1875,0.14351852,0.22106482,0.12037037,0.16435185,0.1701389,0.18981482,0.18402778,0.17939815,0.20833333,0.2025463,0.19791667,0.2326389,0.2037037,0.17476852,0.3298611,0.2025463,0.24305555
1,0.6354167,0.13425925,0.5416667,0.5335648,0.5115741,0.028935185,0.05787037,0.2974537,0.6076389,0.04976852,0.47916666,0.525463,0.1550926,0.5439815,0.4247685,0.18402778,0.5787037,0.2511574,0.2638889,0.4988426,0.5648148,0.36342594,0.24189815,0.525463,0.20949075,0.09143519,0.15162037,0.5787037,0.19907407,0.09837963,0.25810185,0.21064815
2,0.12731482,0.14467593,0.13194445,0.11689815,0.1400463,0.17939815,0.13657407,0.15625,0.13541667,0.10300926,0.1099537,0.13657407,0.13773148,0.113425925,0.13773148,0.12731482,0.12037037,0.114583336,0.1087963,0.13425925,0.13194445,0.09837963,0.11689815,0.10069445,0.1423611,0.14930555,0.19097222,0.15856482,0.112268515,0.13078703,0.13078703,0.14583333
3,0.12847222,0.1412037,0.13657407,0.12847222,0.16550925,0.17476852,0.14699075,0.16087963,0.1400463,0.14814815,0.10763889,0.1388889,0.15972222,0.11921296,0.1712963,0.4513889,0.125,0.12847222,0.30555555,0.112268515,0.114583336,0.13657407,0.14930555,0.13657407,0.18518518,0.18171297,0.12384259,0.13657407,0.2025463,0.11805555,0.53125,0.16782407
4,0.121527776,0.24652778,0.1423611,0.1412037,0.13541667,0.1736111,0.11689815,0.14699075,0.13541667,0.14351852,0.15625,0.14351852,0.1400463,0.1412037,0.13773148,0.14351852,0.18055555,0.1550926,0.17939815,0.1423611,0.14930555,0.13078703,0.14351852,0.1400463,0.14814815,0.13194445,0.1400463,0.13773148,0.13194445,0.11111111,0.16666667,0.1261574
5,0.12847222,0.1574074,0.13425925,0.125,0.12962963,0.1412037,0.14583333,0.14467593,0.21875,0.1423611,0.1423611,0.1400463,0.11921296,0.2013889,0.1701389,0.15162037,0.14699075,0.14814815,0.2847222,0.23032407,0.3587963,0.22337963,0.17708333,0.121527776,0.2337963,0.106481485,0.15046297,0.12384259,0.1701389,0.17824075,0.1400463,0.16319445
6,0.14930555,0.13310185,0.11805555,0.114583336,0.14583333,0.16087963,0.15856482,0.14583333,0.16203703,0.08680555,0.12384259,0.11574074,0.4039352,0.16319445,0.21527778,0.11111111,0.1400463,0.14699075,0.14467593,0.1087963,0.14467593,0.22337963,0.14583333,0.19444445,0.15046297,0.14814815,0.14699075,0.14699075,0.14583333,0.22685185,0.13310185,0.3252315
7,0.19791667,0.15972222,0.12847222,0.1400463,0.1388889,0.16087963,0.1736111,0.1701389,0.14930555,0.16087963,0.15393518,0.14583333,0.12847222,0.18518518,0.20949075,0.1412037,0.11921296,0.1400463,0.1388889,0.113425925,0.15277778,0.1423611,0.1388889,0.14814815,0.18518518,0.17708333,0.18171297,0.12268519,0.1400463,0.14583333,0.1400463,0.1423611
8,0.11805555,0.10185185,0.13078703,0.113425925,0.14583333,0.09490741,0.15046297,0.09953704,0.18518518,0.1423611,0.14814815,0.14351852,0.17708333,0.16319445,0.14351852,0.14351852,0.11689815,0.15046297,0.125,0.14351852,0.2534722,0.1863426,0.13310185,0.13310185,0.14814815,0.14814815,0.14699075,0.15393518,0.15972222,0.16203703,0.113425925,0.30092594
9,0.15393518,0.15393518,0.1388889,0.14583333,0.14583333,0.14699075,0.1261574,0.10069445,0.13657407,0.106481485,0.1423611,0.14583333,0.16782407,0.13078703,0.12268519,0.13657407,0.11805555,0.15046297,0.14467593,0.125,0.08912037,0.11574074,0.112268515,0.105324075,0.18518518,0.13310185,0.13310185,0.1261574,0.1412037,0.13194445,0.27083334,0.15393518
10,0.12962963,0.14583333,0.15393518,0.1701389,0.1736111,0.106481485,0.13194445,0.19212963,0.104166664,0.11111111,0.13425925,0.11921296,0.25925925,0.2673611,0.14583333,0.3622685,0.20949075,0.1400463,0.11805555,0.22453703,0.114583336,0.121527776,0.13657407,0.112268515,0.13541667,0.1423611,0.09953704,0.11689815,0.2800926,0.21412037,0.114583336,0.17476852
11,0.15162037,0.083333336,0.105324075,0.1423611,0.1423611,0.11921296,0.121527776,0.1400463,0.14699075,0.12962963,0.1423611,0.19212963,0.13541667,0.13657407,0.10763889,0.112268515,0.13078703,0.6458333,0.13773148,0.14351852,0.1099537,0.104166664,0.112268515,0.105324075,0.27083334,0.121527776,0.13194445,0.1574074,0.21643518,0.1736111,0.10300926,0.13657407
12,0.2800926,0.09837963,0.46064815,0.17824075,0.12847222,0.1412037,0.13541667,0.12268519,0.09259259,0.097222224,0.083333336,0.112268515,0.104166664,0.15972222,0.11805555,0.105324075,0.11805555,0.1261574,0.12268519,0.1261574,0.12847222,0.15277778,0.1388889,0.10185185,0.14351852,0.121527776,0.11921296,0.114583336,0.13425925,0.12731482,0.1412037,0.20717593
13,0.17592593,0.1886574,0.3148148,0.14930555,0.2025463,0.1261574,0.13194445,0.12962963,0.12384259,0.10300926,0.14930555,0.18171297,0.104166664,0.15162037,0.1388889,0.10763889,0.12962963,0.14930555,0.14583333,0.1412037,0.13541667,0.14930555,0.1574074,0.12268519,0.13541667,0.15625,0.15162037,0.14699075,0.09490741,0.1099537,0.33449075,0.2488426
14,0.1388889,0.15856482,0.12731482,0.09953704,0.112268515,0.16087963,0.09375,0.1099537,0.1388889,0.08680555,0.1423611,0.10763889,0.1087963,0.41319445,0.14351852,0.1423611,0.1712963,0.121527776,0.113425925,0.13310185,0.17476852,0.14351852,0.09375,0.12962963,0.08796296,0.105324075,0.13657407,0.1388889,0.14814815,0.14814815,0.13541667,0.12731482
15,0.17939815,0.1400463,0.13657407,0.121527776,0.10185185,0.106481485,0.121527776,0.1388889,0.13425925,0.11574074,0.12962963,0.112268515,0.14467593,0.19560185,0.15162037,0.26041666,0.09953704,0.11921296,0.113425925,0.1701389,0.1261574,0.13657407,0.11805555,0.10185185,0.08564815,0.10763889,0.11689815,0.10185185,0.13773148,0.14351852,0.13773148,0.16435185
16,0.2638889,0.114583336,0.15972222,0.11805555,0.112268515,0.13194445,0.19212963,0.13310185,0.09259259,0.1087963,0.17939815,0.13657407,0.11111111,0.10185185,0.11805555,0.10763889,0.12384259,0.125,0.2534722,0.08796296,0.13657407,0.114583336,0.12384259,0.1423611,0.16550925,0.16319445,0.2037037,0.1712963,0.13194445,0.1087963,0.1400463,0.22337963
17,0.11921296,0.10300926,0.09953704,0.112268515,0.1099537,0.3090278,0.12847222,0.106481485,0.14930555,0.09953704,0.2025463,0.1388889,0.121527776,0.12037037,0.15856482,0.13425925,0.21296297,0.23958333,0.5173611,0.23842593,0.2662037,0.14467593,0.6435185,0.19328703,0.114583336,0.11689815,0.12268519,0.125,0.34953704,0.10069445,0.104166664,0.113425925
18,0.121527776,0.1261574,0.113425925,0.12268519,0.16087963,0.16898148,0.114583336,0.41782406,0.2349537,0.18981482,0.4363426,0.13541667,0.14351852,0.09953704,0.09953704,0.11805555,0.19328703,0.1875,0.125,0.12384259,0.090277776,0.12384259,0.105324075,0.090277776,0.12847222,0.2037037,0.1388889,0.09375,0.121527776,0.1099537,0.112268515,0.121527776
19,0.13657407,0.43287036,0.20601852,0.125,0.15625,0.13078703,0.14699075,0.15046297,0.121527776,0.12037037,0.12384259,0.12731482,0.12731482,0.12384259,0.15625,0.1388889,0.106481485,0.13425925,0.1087963,0.13425925,0.10185185,0.29282406,0.19328703,0.105324075,0.15162037,0.14930555,0.097222224,0.16898148,0.114583336,0.11689815,0.24652778,0.1875
20,0.13773148,0.1423611,0.15972222,0.1724537,0.1400463,0.14699075,0.11921296,0.16087963,0.105324075,0.1261574,0.12847222,0.1388889,0.13541667,0.07986111,0.114583336,0.10300926,0.1875,0.11111111,0.11574074,0.12268519,0.13425925,0.13541667,0.28819445,0.11574074,0.125,0.113425925,0.18171297,0.23842593,0.12731482,0.13194445,0.13194445,0.112268515
21,0.13425925,0.12384259,0.13078703,0.1261574,0.13194445,0.14583333,0.12384259,0.121527776,0.13657407,0.12731482,0.11689815,0.112268515,0.1423611,0.13078703,0.1412037,0.13425925,0.13310185,0.13425925,0.121527776,0.13194445,0.21412037,0.12037037,0.14699075,0.1412037,0.15393518,0.14814815,0.1423611,0.125,0.33564815,0.12384259,0.30555555,0.15393518
22,0.121527776,0.12847222,0.13541667,0.113425925,0.12962963,0.13425925,0.13078703,0.125,0.11689815,0.113425925,0.090277776,0.11111111,0.1550926,0.09143519,0.30208334,0.12268519,0.12847222,0.125,0.113425925,0.12268519,0.19791667,0.13194445,0.10300926,0.11574074,0.13310185,0.14583333,0.12037037,0.11574074,0.1400463,0.112268515,0.12268519,0.1388889
23,0.104166664,0.12731482,0.22106482,0.125,0.13657407,0.1261574,0.1261574,0.11921296,0.121527776,0.10185185,0.11574074,0.11689815,0.1261574,0.12037037,0.1099537,0.12731482,0.10300926,0.11111111,0.112268515,0.13078703,0.104166664,0.15162037,0.14699075,0.13310185,0.3425926,0.13310185,0.12037037,0.125,0.12962963,0.1261574,0.12731482,0.13078703
24,0.16898148,0.1261574,0.18518518,0.1388889,0.16782407,0.12268519,0.1400463,0.1863426,0.2789352,0.11689815,0.1423611,0.12847222,0.13078703,0.1701389,0.1574074,0.114583336,0.11921296,0.13078703,0.12037037,0.1087963,0.1087963,0.13078703,0.12268519,0.11689815,0.105324075,0.11111111,0.09143519,0.11111111,0.12268519,0.11111111,0.08796296,0.081018515
25,0.097222224,0.1087963,0.090277776,0.09953704,0.09375,0.106481485,0.097222224,0.11805555,0.12962963,0.12037037,0.1261574,0.15162037,0.15162037,0.114583336,0.12268519,0.14699075,0.11574074,0.12962963,0.121527776,0.11111111,0.125,0.08796296,0.09143519,0.104166664,0.10300926,0.13078703,0.13425925,0.112268515,0.15625,0.11574074,0.11689815,0.09143519
26,0.07638889,0.16435185,0.105324075,0.11574074,0.121527776,0.12268519,0.106481485,0.11805555,0.12037037,0.121527776,0.121527776,0.1550926,0.13078703,0.13657407,0.13425925,0.16435185,0.106481485,0.11111111,0.11805555,0.104166664,0.14467593,0.22685185,0.13310185,0.2025463,0.09143519,0.13310185,0.112268515,0.125,0.12847222,0.13657407,0.1087963,0.12037037
27,0.112268515,0.1388889,0.13657407,0.113425925,0.19212963,0.11921296,0.14699075,0.11921296,0.112268515,0.1423611,0.1574074,0.22800925,0.10300926,0.14467593,0.14583333,0.14583333,0.113425925,0.12037037,0.1736111,0.12384259,0.12384259,0.1388889,0.11111111,0.16319445,0.13194445,0.13541667,0.12268519,0.1261574,0.12962963,0.105324075,0.11921296,0.12731482
