,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31,head_32,head_33,head_34,head_35,head_36,head_37,head_38,head_39,head_40,head_41,head_42,head_43,head_44,head_45,head_46,head_47,head_48,head_49,head_50,head_51,head_52,head_53,head_54,head_55,head_56,head_57,head_58,head_59,head_60,head_61,head_62,head_63,head_64,head_65,head_66,head_67,head_68,head_69,head_70
layer_0,11,14,20,14,8,6,7,6,13,12,9,6,18,11,12,7,11,8,10,15,4,8,8,14,6,7,14,18,7,9,12,17,10,8,3,9,7,9,14,9,9,13,21,9,11,15,7,8,16,11,6,6,13,19,14,12,8,8,5,6,13,15,17,9,7,12,15,8,9,12,5
layer_1,8,5,5,5,6,7,8,13,9,9,4,6,8,4,9,7,9,8,9,6,8,8,8,8,8,7,6,7,10,9,7,6,7,7,14,8,8,10,11,7,8,4,6,9,8,5,5,6,17,6,8,7,9,7,6,8,8,4,4,9,6,8,9,7,6,3,6,6,15,10,5
layer_2,6,12,10,8,17,16,7,16,10,5,24,7,8,8,14,7,13,8,9,11,18,9,8,20,13,18,9,13,7,7,6,5,6,8,9,11,5,6,13,8,14,7,10,8,15,16,15,9,7,6,7,16,30,6,8,10,6,7,7,10,7,13,11,14,6,7,12,7,13,6,6
layer_3,7,4,5,11,4,18,4,5,5,28,7,6,6,5,12,9,8,6,5,4,5,5,6,12,6,9,17,11,5,5,18,8,6,6,8,6,6,4,14,6,5,6,4,8,7,5,6,5,15,5,5,8,9,5,23,5,8,6,6,5,17,14,9,5,6,6,4,8,16,12,8
layer_4,6,6,6,5,6,6,6,15,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,7,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6
layer_5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,20,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
layer_6,6,6,6,6,6,6,7,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,16,6,6,5,9,6,7,6,6,7,6,13,6,6,6,6,6,6,6,6,13
layer_7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,6,6,6,6,6,6,7,6,6,6,6,6,6,6,7,6,6,6,9,6,6,6,6,6,6,6,4,9,6,6,6,6,6,6
layer_8,6,9,5,6,6,6,6,11,6,6,6,6,8,6,6,6,6,19,6,6,6,6,6,6,6,6,6,6,7,7,5,7,5,6,8,8,10,14,6,9,14,6,6,6,9,6,6,6,6,12,6,6,6,7,6,6,6,6,6,15,10,6,16,6,6,6,7,6,6,8,6
layer_9,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9
