,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23
layer_0,9.0,1.0,412.0,2.0,647.0,4.0,8.0,25.0,6.0,4.0,71.0,2.0,112.0,34.0,16.0,115.0,43.0,21.0,15.0,9.0,1.0,39.0,7.0,26.0
layer_1,75.0,45.0,0.0,7.0,256.0,23.0,19.0,0.0,407.0,17.0,4.0,259.0,223.0,161.0,97.0,107.0,40.0,336.0,0.0,39.0,57.0,1.0,2.0,14.0
layer_2,27.0,9.0,0.0,0.0,3.0,0.0,31.0,0.0,0.0,23.0,5.0,1.0,1.0,3.0,0.0,2.0,3.0,22.0,0.0,27.0,0.0,3.0,0.0,2.0
layer_3,1.0,0.0,1.0,71.0,0.0,12.0,2.0,139.0,12.0,1.0,0.0,25.0,0.0,12.0,0.0,9.0,7.0,0.0,0.0,3.0,3.0,1.0,0.0,68.0
layer_4,0.0,2.0,1.0,23.0,61.0,254.0,0.0,52.0,0.0,94.0,0.0,7.0,0.0,2.0,8.0,0.0,1.0,0.0,72.0,83.0,703.0,12.0,3.0,2.0
layer_5,1.0,8.0,5.0,6.0,105.0,500.0,1.0,54.0,26.0,6.0,1.0,0.0,2.0,1.0,1.0,0.0,100.0,31.0,4.0,1.0,0.0,1.0,47.0,165.0
layer_6,374.0,103.0,8.0,21.0,1.0,1.0,1.0,17.0,252.0,0.0,6.0,1.0,1.0,7.0,8.0,0.0,1.0,0.0,37.0,34.0,22.0,8.0,9.0,1.0
layer_7,319.0,1.0,0.0,3.0,0.0,6.0,29.0,9.0,0.0,0.0,2.0,326.0,5.0,13.0,3.0,16.0,35.0,1.0,0.0,0.0,4.0,54.0,5.0,15.0
layer_8,0.0,12.0,0.0,1.0,21.0,5.0,1.0,8.0,15.0,22.0,20.0,0.0,11.0,3.0,0.0,0.0,2.0,1.0,15.0,2.0,2.0,4.0,98.0,1.0
layer_9,1.0,1.0,5.0,0.0,1.0,0.0,2.0,44.0,5.0,0.0,0.0,0.0,21.0,1.0,4.0,4.0,19.0,17.0,8.0,0.0,149.0,93.0,1.0,21.0
layer_10,0.0,7.0,3.0,8.0,1.0,0.0,0.0,1.0,7.0,20.0,2.0,1.0,0.0,8.0,0.0,2.0,6.0,0.0,15.0,0.0,10.0,0.0,4.0,24.0
layer_11,1.0,11.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
layer_12,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_13,18.0,85.0,6.0,24.0,308.0,6.0,58.0,0.0,113.0,2.0,2.0,386.0,235.0,177.0,77.0,20.0,45.0,147.0,1.0,5.0,3.0,2.0,20.0,118.0
layer_14,30.0,1.0,0.0,1.0,2.0,0.0,89.0,0.0,0.0,12.0,4.0,0.0,12.0,5.0,0.0,3.0,12.0,15.0,12.0,10.0,1.0,37.0,1.0,1.0
layer_15,3.0,0.0,5.0,407.0,10.0,1.0,7.0,60.0,6.0,0.0,2.0,7.0,0.0,2.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0
layer_16,0.0,3.0,1.0,7.0,13.0,93.0,0.0,5.0,11.0,10.0,0.0,3.0,0.0,3.0,4.0,1.0,5.0,0.0,11.0,53.0,535.0,7.0,7.0,0.0
layer_17,2.0,1.0,9.0,3.0,32.0,236.0,1.0,32.0,17.0,2.0,1.0,0.0,4.0,3.0,2.0,0.0,55.0,20.0,12.0,2.0,0.0,7.0,8.0,25.0
layer_18,151.0,74.0,13.0,10.0,0.0,0.0,19.0,23.0,248.0,0.0,16.0,2.0,0.0,0.0,8.0,3.0,0.0,1.0,11.0,3.0,35.0,12.0,2.0,1.0
layer_19,194.0,0.0,0.0,5.0,3.0,0.0,16.0,2.0,0.0,0.0,2.0,215.0,3.0,18.0,3.0,17.0,0.0,0.0,2.0,0.0,1.0,10.0,4.0,20.0
layer_20,2.0,2.0,0.0,30.0,7.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,11.0,13.0,0.0
layer_21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,17.0,8.0,0.0,9.0
layer_22,0.0,1.0,18.0,11.0,12.0,5.0,0.0,0.0,11.0,5.0,3.0,11.0,2.0,0.0,1.0,0.0,22.0,3.0,1.0,0.0,29.0,3.0,19.0,17.0
layer_23,390.0,115.0,102.0,41.0,75.0,39.0,48.0,8.0,29.0,80.0,2.0,2.0,51.0,2.0,21.0,90.0,90.0,19.0,1.0,15.0,0.0,37.0,7.0,22.0
