,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,74,30,188,67,90,0,3,62,180,42,170,21
layer_1,187,173,15,10,14,153,33,84,0,297,0,15
layer_2,8,6,2,37,0,0,236,2,0,272,6,4
layer_3,0,0,254,1,8,21,0,37,33,4,2,23
layer_4,32,28,2,48,0,0,0,0,48,13,0,0
layer_5,11,1,0,3,16,0,0,283,2,11,25,0
layer_6,2,99,62,350,0,0,22,0,159,0,24,8
layer_7,1,9,34,197,2,16,0,5,11,1,7,77
layer_8,48,16,14,93,1,1,197,49,95,26,0,8
layer_9,2,0,5,459,2,5,78,1,79,54,0,0
layer_10,237,0,2,1,23,152,36,12,1,87,2,0
layer_11,366,424,0,293,241,37,1,8,5,15,239,319
