,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,12,0,10,9,7,8,4,12,10,4,9,8,9,10,10,15,11,15,18,11,9,10,0,0,19,9,11,15,3,11,10,0
layer_1,24,2,21,12,11,10,13,6,3,8,16,14,12,13,18,12,16,0,3,20,8,12,0,9,4,14,9,3,4,11,12,16
layer_2,11,10,5,11,10,11,10,10,9,10,10,10,11,11,10,10,9,6,10,8,11,9,13,8,12,10,11,11,10,10,11,7
layer_3,9,10,10,11,9,10,9,12,9,6,11,9,7,11,10,4,9,7,8,11,13,12,13,11,11,9,10,14,9,8,16,10
layer_4,20,13,20,9,14,15,11,9,15,10,15,9,18,11,19,12,18,15,18,20,16,14,22,15,21,11,16,13,17,12,14,17
layer_5,17,18,13,11,10,18,14,12,21,16,12,14,16,11,14,5,15,15,17,15,11,9,26,13,14,12,16,12,9,12,11,16
layer_6,10,15,12,18,17,3,11,12,14,11,17,12,10,17,12,14,10,11,17,11,9,13,19,14,14,16,23,16,20,13,11,17
layer_7,12,1,14,11,12,14,7,7,23,14,5,14,10,12,13,13,12,15,23,20,11,14,10,12,14,26,13,19,11,12,15,9
layer_8,12,21,20,15,13,7,15,11,10,17,13,18,13,20,12,16,15,23,17,9,16,6,12,15,16,11,10,18,12,20,19,13
layer_9,15,25,18,14,3,18,21,19,4,16,17,4,13,5,16,26,8,12,12,23,18,21,13,11,17,10,12,25,11,15,18,19
layer_10,13,1,17,16,11,23,18,18,14,19,14,16,11,12,14,18,14,20,12,14,26,17,20,14,24,24,21,22,21,16,24,25
layer_11,20,16,7,15,12,9,2,14,21,15,10,19,20,13,13,9,20,13,8,14,15,7,11,10,15,28,18,20,22,11,20,16
layer_12,19,20,2,22,17,19,19,4,17,22,18,13,17,19,17,10,9,11,19,8,11,17,12,14,18,15,9,22,11,24,15,22
layer_13,20,14,19,11,13,0,14,11,23,13,16,9,24,21,10,9,19,17,25,17,14,15,16,12,6,14,13,13,16,15,19,14
layer_14,3,12,20,17,13,15,14,15,23,20,24,13,17,13,26,14,14,14,13,15,19,17,20,9,14,12,16,17,13,16,16,5
layer_15,15,8,16,15,18,15,18,10,13,23,11,16,11,15,13,10,21,12,14,16,12,5,21,19,16,22,0,18,24,13,14,15
layer_16,11,11,18,17,13,19,14,20,17,11,16,21,16,14,4,16,24,11,14,7,18,5,3,15,15,10,16,20,13,15,12,15
layer_17,13,12,18,6,19,10,2,9,2,20,20,11,15,17,2,21,11,23,14,15,10,11,4,2,22,17,11,17,15,6,17,12
layer_18,15,15,12,15,12,18,16,20,10,16,11,13,20,2,8,11,13,10,14,11,8,20,4,15,11,11,14,18,20,9,13,12
layer_19,13,10,23,13,13,18,11,13,25,15,13,10,17,4,11,16,15,12,13,13,11,12,12,11,15,26,25,19,14,6,11,7
layer_20,13,12,18,17,15,12,4,11,20,10,10,22,18,22,18,25,6,14,13,11,18,7,11,9,9,13,6,10,10,15,9,10
layer_21,12,9,11,20,12,10,9,12,10,10,13,13,10,12,10,24,12,7,14,9,4,13,18,10,14,16,12,12,10,19,10,12
layer_22,7,10,1,9,14,3,7,22,13,11,11,8,4,8,12,16,12,11,10,11,15,13,12,12,10,15,20,13,11,11,17,12
layer_23,12,25,10,10,14,11,9,11,10,11,13,9,11,8,10,11,16,11,15,17,13,11,8,8,8,7,10,10,3,6,7,11
layer_24,7,11,11,12,12,10,13,10,12,9,9,11,8,2,17,9,12,13,14,10,10,16,8,10,14,4,18,7,7,11,12,5
layer_25,13,11,7,13,12,11,11,6,9,10,9,10,13,11,9,9,11,11,7,10,11,9,16,14,10,10,11,9,12,10,5,13
layer_26,8,11,14,13,9,8,17,7,4,11,6,8,10,17,13,9,11,9,28,4,12,11,21,14,13,11,13,18,12,10,24,12
layer_27,10,4,20,8,15,6,10,22,5,29,13,9,23,10,6,15,10,8,12,11,10,7,7,10,12,10,11,5,9,16,9,10
layer_28,14,14,9,17,11,10,9,8,9,11,12,9,9,14,12,13,11,10,4,7,13,10,8,19,12,15,20,9,18,7,9,24
layer_29,15,10,10,9,13,22,11,19,8,15,18,12,10,10,16,3,10,10,10,13,9,11,9,19,10,10,10,9,10,15,11,12
layer_30,10,8,28,7,10,12,8,17,10,10,11,20,20,25,13,8,11,12,7,13,8,11,12,7,6,12,24,13,10,8,7,22
layer_31,10,11,10,11,16,9,10,10,10,10,10,11,11,13,10,10,10,10,10,10,9,10,10,10,3,10,11,8,11,10,10,11
