,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.5,0.8333333,0.7962963,0.6851852,0.4074074,0.37037036,0.16666667,0.35185185,0.16666667,0.25925925,0.14814815,0.12962963,0.25925925,0.18518518,0.24074075,0.25925925
1,0.8333333,0.8148148,0.7407407,0.2962963,0.7037037,0.35185185,0.33333334,0.2037037,0.18518518,0.18518518,0.14814815,0.2037037,0.14814815,0.12962963,0.14814815,0.12962963
2,0.7962963,0.2962963,0.6666667,0.7777778,0.2962963,0.22222222,0.33333334,0.14814815,0.2037037,0.14814815,0.12962963,0.12962963,0.16666667,0.14814815,0.12962963,0.16666667
3,0.24074075,0.46296296,0.4814815,0.537037,0.3148148,0.12962963,0.37037036,0.18518518,0.12962963,0.14814815,0.12962963,0.18518518,0.14814815,0.12962963,0.12962963,0.12962963
4,0.7962963,0.14814815,0.25925925,0.6666667,0.12962963,0.37037036,0.24074075,0.12962963,0.12962963,0.3148148,0.12962963,0.14814815,0.12962963,0.12962963,0.16666667,0.16666667
5,0.7222222,0.35185185,0.16666667,0.44444445,0.5740741,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963
6,0.44444445,0.24074075,0.4814815,0.2037037,0.4074074,0.12962963,0.12962963,0.14814815,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963
7,0.8333333,0.14814815,0.5740741,0.12962963,0.14814815,0.25925925,0.25925925,0.14814815,0.22222222,0.12962963,0.12962963,0.14814815,0.12962963,0.12962963,0.12962963,0.12962963
8,0.8333333,0.2962963,0.24074075,0.18518518,0.2037037,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963
9,0.5185185,0.2037037,0.2037037,0.44444445,0.22222222,0.12962963,0.14814815,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963
10,0.35185185,0.25925925,0.16666667,0.18518518,0.22222222,0.12962963,0.12962963,0.14814815,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963
11,0.3148148,0.2037037,0.2037037,0.14814815,0.12962963,0.14814815,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963
12,0.14814815,0.4074074,0.2777778,0.14814815,0.24074075,0.14814815,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963
13,0.2777778,0.37037036,0.12962963,0.12962963,0.14814815,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.14814815,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963
14,0.14814815,0.2962963,0.16666667,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.14814815,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963
15,0.3888889,0.24074075,0.12962963,0.12962963,0.12962963,0.12962963,0.16666667,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963
16,0.35185185,0.2037037,0.12962963,0.12962963,0.12962963,0.12962963,0.14814815,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963
17,0.6296296,0.18518518,0.3888889,0.16666667,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963
18,0.35185185,0.3888889,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963
19,0.25925925,0.35185185,0.35185185,0.14814815,0.12962963,0.18518518,0.18518518,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963
20,0.5185185,0.4814815,0.24074075,0.12962963,0.14814815,0.14814815,0.12962963,0.14814815,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963
21,0.46296296,0.7037037,0.14814815,0.18518518,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.14814815,0.12962963
22,0.5740741,0.2962963,0.35185185,0.16666667,0.24074075,0.14814815,0.12962963,0.16666667,0.12962963,0.12962963,0.12962963,0.12962963,0.2037037,0.12962963,0.12962963,0.12962963
23,0.4814815,0.4074074,0.4814815,0.24074075,0.16666667,0.35185185,0.16666667,0.12962963,0.12962963,0.22222222,0.12962963,0.12962963,0.12962963,0.12962963,0.12962963,0.14814815
