,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23
layer_0,2,1,23,11,25,4,0,28,3,0,1,2,0,0,0,8,23,1,0,0,0,62,0,0
layer_1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,2,0,0,26,0,0
layer_2,3,0,2,3,1,0,0,0,6,0,4,0,0,3,0,0,0,0,0,1,0,1,0,0
layer_3,0,0,0,0,2,0,0,2,13,1,0,1,3,21,0,2,3,0,0,2,0,0,0,0
layer_4,6,0,0,0,0,9,7,0,0,0,0,3,8,10,0,0,1,0,0,0,1,0,6,29
layer_5,4,10,5,0,3,3,7,0,27,2,3,0,3,0,9,12,16,1,0,6,0,8,8,1
layer_6,18,0,7,6,22,0,16,7,1,0,5,2,3,11,0,10,0,2,17,0,0,0,14,0
layer_7,4,18,6,1,10,6,5,10,7,20,6,17,2,2,2,17,10,9,5,1,3,0,0,0
layer_8,2,7,0,23,15,0,1,3,0,0,3,11,3,18,17,6,1,0,25,9,0,1,0,2
layer_9,0,0,0,12,11,0,5,1,0,0,11,11,1,2,2,0,0,36,0,27,1,0,6,0
layer_10,15,13,0,16,0,0,0,0,3,1,30,6,9,6,14,25,0,3,4,4,5,38,5,0
layer_11,10,1,6,9,4,10,11,9,12,8,16,7,11,3,16,1,7,16,19,5,9,4,5,12
layer_12,5,2,8,7,37,1,4,1,1,4,3,1,3,10,15,8,6,1,5,13,4,22,4,4
layer_13,12,4,4,22,20,6,18,2,21,5,4,48,14,4,78,26,5,11,8,4,29,3,0,48
layer_14,5,1,19,54,3,14,3,1,3,1,3,0,1,8,1,46,5,1,11,62,2,11,1,1
layer_15,3,17,24,20,4,43,6,31,57,41,22,33,8,73,13,9,12,0,4,20,6,1,1,5
layer_16,5,15,3,51,18,49,6,14,10,21,20,14,9,3,1,2,12,4,5,10,63,11,0,46
layer_17,8,38,54,18,19,15,14,19,75,15,20,20,4,17,19,4,50,12,17,21,11,12,16,15
layer_18,38,16,8,13,1,39,60,13,17,55,16,27,1,0,16,49,14,2,49,27,23,14,6,45
layer_19,2,26,53,17,0,31,58,35,17,20,15,75,15,15,12,11,0,62,9,9,12,18,9,15
layer_20,0,45,16,4,16,22,53,54,13,11,15,30,19,0,53,16,10,10,51,13,11,0,13,53
layer_21,14,45,24,56,0,0,12,24,11,13,11,23,5,0,45,15,9,10,18,27,22,0,25,12
layer_22,42,22,8,0,1,7,4,18,13,13,47,0,0,23,29,17,6,16,40,38,8,10,12,14
layer_23,19,2,0,20,5,10,13,40,11,1,17,30,0,33,12,0,1,0,6,30,16,17,0,0
