,0,1,2,3,4,5,6,7,8,9,10,11
0,0.18691589,0.25233644,0.2897196,0.3364486,0.27102804,0.25233644,0.39252338,0.34579438,0.25233644,0.5233645,0.18691589,0.42990655
1,0.28037384,0.26168224,0.43925235,0.45794392,0.35514018,0.40186915,0.5420561,0.42990655,0.42990655,0.5233645,0.43925235,0.41121495
2,0.11214953,0.38317758,0.42056075,0.5140187,0.5140187,0.48598132,0.5140187,0.46728972,0.49532712,0.10280374,0.47663552,0.3271028
3,0.46728972,0.40186915,0.42990655,0.34579438,0.47663552,0.2897196,0.55140185,0.53271025,0.40186915,0.22429906,0.48598132,0.46728972
4,0.37383178,0.24299066,0.45794392,0.42990655,0.26168224,0.24299066,0.38317758,0.23364486,0.26168224,0.41121495,0.3084112,0.21495327
5,0.317757,0.34579438,0.26168224,0.34579438,0.5046729,0.34579438,0.27102804,0.3271028,0.25233644,0.18691589,0.2897196,0.26168224
6,0.18691589,0.36448598,0.42990655,0.20560747,0.2897196,0.20560747,0.23364486,0.22429906,0.3364486,0.3364486,0.24299066,0.19626169
7,0.25233644,0.17757009,0.19626169,0.28037384,0.25233644,0.25233644,0.22429906,0.20560747,0.18691589,0.317757,0.317757,0.23364486
8,0.34579438,0.1495327,0.21495327,0.18691589,0.24299066,0.3271028,0.26168224,0.12149533,0.37383178,0.36448598,0.24299066,0.3271028
9,0.3084112,0.3364486,0.3084112,0.38317758,0.3364486,0.28037384,0.25233644,0.38317758,0.2990654,0.12149533,0.3271028,0.41121495
10,0.3084112,0.2897196,0.27102804,0.42990655,0.3084112,0.056074765,0.21495327,0.34579438,0.36448598,0.07476635,0.45794392,0.1495327
11,0.26168224,0.2897196,0.28037384,0.21495327,0.20560747,0.2990654,0.34579438,0.26168224,0.20560747,0.2990654,0.25233644,0.317757
