,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_31,0.93647236,0.96413976,0.9227706,0.9178835,0.9212339,0.9129161,0.87659216,0.87047243,0.91049725,0.88072246,0.9185909,0.87275404,0.88293016,0.87441826,0.83589584,0.8727513
layer_32,0.87408197,0.88703245,1.0,0.8709252,0.8741114,0.8708065,0.8805555,0.87296635,0.914415,0.9092663,0.9272618,0.9574134,0.88057077,0.8732475,0.87216324,0.8720795
layer_33,0.8744285,0.8721175,0.8721173,0.87127215,0.9173726,0.957069,0.91403276,0.9160487,0.88113207,0.8874978,0.88440984,0.9254184,0.92232406,0.8814168,0.87260765,0.8720881
layer_34,0.8745784,0.8741554,0.89774203,0.8796494,0.8198133,0.9267618,0.8727779,0.6905034,0.933125,0.90011775,0.88740605,0.8808162,0.87182313,0.8721232,0.87186134,0.87214756
layer_35,0.8714126,0.872064,0.8820224,0.8848835,0.890024,0.87307954,0.8754248,0.8722088,0.8798456,0.9624803,0.9167304,0.88035333,0.87097305,0.8751045,0.87215596,0.8305177
layer_36,0.88524187,0.8810315,0.8944426,0.95810634,0.9044156,0.89542407,0.871498,0.87184423,0.87479395,0.93595827,0.8761961,0.87689185,0.8718673,0.87397814,0.89493287,0.7890238
layer_37,0.872123,0.87196183,0.8723812,0.87926954,0.8696722,0.94199765,0.8718117,0.8721985,0.94755983,0.89329356,0.8739152,0.87214696,0.8841945,0.87847346,0.8721152,0.1552138
layer_38,0.87453955,0.8962807,0.8726113,0.87391686,0.8788186,0.95021904,0.87496567,0.8725923,0.9025068,0.89178985,0.90081155,0.8726584,0.87152845,0.8730069,0.92910194,0.93057984
layer_39,0.8964867,0.88311344,0.88672596,0.8996646,0.87878275,0.8723049,0.5158242,0.8889556,0.87216777,0.8722128,0.8757874,0.89016026,0.898767,0.9044904,0.8742065,0.90163577
layer_40,0.93036515,0.8745017,0.13080856,0.8228915,0.87650895,0.87457,0.8797349,0.8753593,0.87239677,0.8720809,0.8776043,0.8815474,0.014257842,0.8762168,0.8720809,0.87228376
layer_41,0.90903956,0.8834244,0.8734656,0.874587,0.9235768,0.88204944,0.2659378,0.51104814,0.872704,0.9028822,0.8983339,0.8927703,0.87214303,0.89287055,0.873014,0.8722474
