,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,20,0,26,5,5,0,2,34,32,3,13,0
layer_1,0,26,24,0,35,14,5,0,1,8,6,13
layer_2,0,0,39,14,0,7,0,27,5,21,1,6
layer_3,43,0,2,41,0,0,14,0,0,50,0,1
layer_4,10,64,3,67,29,19,32,30,37,35,13,21
layer_5,0,0,0,1,0,0,0,0,0,0,42,26
layer_6,0,2,1,3,0,0,0,0,0,64,47,0
layer_7,1,2,0,29,0,0,1,1,0,0,0,0
layer_8,0,0,0,0,11,10,0,0,11,0,34,3
layer_9,0,2,1,3,0,2,0,0,33,0,0,10
layer_10,1,0,55,2,4,31,0,0,32,36,6,10
layer_11,15,43,35,10,34,1,4,0,42,0,24,58
