,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,975,38,1009,288,418,5,110,2306,2188,13,1255,7
layer_1,43,475,2355,28,2059,600,251,0,60,703,447,786
layer_2,20,0,2811,34,8,250,0,2000,130,741,6,310
layer_3,2252,0,351,712,14,3,10,0,1,1930,25,67
layer_4,986,1592,6,3095,886,70,285,1975,759,1482,202,879
layer_5,104,0,0,29,0,0,0,0,3,0,657,36
layer_6,2,689,6,54,6,0,0,0,22,2770,1692,15
layer_7,116,180,0,48,20,72,14,638,0,0,40,0
layer_8,1,10,4,0,955,151,19,0,1989,0,150,228
layer_9,0,121,4,125,0,252,49,0,908,0,0,32
layer_10,4,14,1952,201,738,891,5,0,1223,1686,869,590
layer_11,803,2257,1386,85,1671,92,160,3,1699,2,338,2886
