,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31,head_32,head_33,head_34,head_35,head_36,head_37,head_38,head_39,head_40,head_41,head_42,head_43,head_44,head_45,head_46,head_47,head_48,head_49,head_50,head_51,head_52,head_53,head_54,head_55,head_56,head_57,head_58,head_59,head_60,head_61,head_62,head_63,head_64,head_65,head_66,head_67,head_68,head_69,head_70
layer_0,55.0,48.0,46.0,32.0,7.0,24.0,41.0,19.0,47.0,49.0,18.0,17.0,71.0,43.0,40.0,24.0,31.0,33.0,12.0,48.0,43.0,29.0,23.0,68.0,28.0,27.0,44.0,78.0,15.0,20.0,55.0,84.0,47.0,22.0,40.0,44.0,14.0,23.0,48.0,38.0,12.0,53.0,82.0,30.0,36.0,34.0,35.0,33.0,59.0,72.0,24.0,35.0,51.0,83.0,32.0,53.0,38.0,33.0,49.0,29.0,37.0,16.0,38.0,51.0,40.0,52.0,45.0,21.0,55.0,32.0,19.0
layer_1,49.0,23.0,16.0,19.0,26.0,51.0,56.0,41.0,45.0,65.0,34.0,28.0,25.0,13.0,65.0,23.0,22.0,20.0,35.0,34.0,25.0,30.0,32.0,22.0,23.0,50.0,33.0,30.0,54.0,66.0,42.0,56.0,34.0,25.0,88.0,19.0,26.0,27.0,31.0,34.0,38.0,24.0,29.0,21.0,38.0,15.0,15.0,22.0,40.0,32.0,41.0,26.0,37.0,31.0,13.0,46.0,38.0,16.0,29.0,49.0,12.0,39.0,18.0,21.0,23.0,22.0,49.0,22.0,70.0,31.0,41.0
layer_2,28.0,46.0,28.0,24.0,29.0,30.0,12.0,21.0,18.0,17.0,45.0,18.0,29.0,61.0,23.0,67.0,90.0,16.0,27.0,54.0,76.0,43.0,6.0,24.0,26.0,24.0,28.0,25.0,12.0,8.0,16.0,14.0,18.0,24.0,28.0,20.0,52.0,32.0,20.0,100.0,83.0,32.0,19.0,14.0,26.0,46.0,14.0,17.0,26.0,25.0,65.0,48.0,38.0,23.0,30.0,21.0,21.0,69.0,26.0,16.0,27.0,29.0,24.0,27.0,20.0,37.0,18.0,18.0,54.0,19.0,24.0
layer_3,15.0,16.0,16.0,31.0,27.0,54.0,17.0,16.0,13.0,21.0,17.0,7.0,24.0,18.0,23.0,23.0,23.0,15.0,16.0,16.0,33.0,20.0,16.0,54.0,15.0,33.0,24.0,37.0,16.0,23.0,22.0,26.0,16.0,23.0,17.0,34.0,17.0,19.0,92.0,29.0,15.0,19.0,17.0,20.0,17.0,18.0,14.0,15.0,25.0,22.0,17.0,25.0,14.0,44.0,17.0,21.0,46.0,28.0,25.0,29.0,34.0,17.0,18.0,15.0,16.0,71.0,18.0,16.0,28.0,19.0,16.0
layer_4,16.0,24.0,17.0,28.0,16.0,16.0,13.0,20.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,20.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,21.0,18.0,16.0,45.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,21.0,17.0,39.0,16.0,19.0,16.0,16.0,16.0,16.0,16.0,16.0,18.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,13.0,16.0,16.0,21.0
layer_5,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,21.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,19.0,22.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,59.0,16.0,15.0,17.0,16.0,16.0,20.0,16.0,16.0,18.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
layer_6,16.0,16.0,16.0,16.0,16.0,16.0,19.0,18.0,17.0,16.0,21.0,22.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,31.0,16.0,16.0,16.0,15.0,19.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,28.0,16.0,16.0,16.0,18.0,16.0,18.0,16.0,16.0,22.0,16.0,20.0,30.0,15.0,16.0,16.0,16.0,16.0,27.0,17.0,9.0,16.0,16.0,19.0,16.0,21.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
layer_7,16.0,29.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,16.0,17.0,16.0,20.0,16.0,16.0,16.0,16.0,17.0,21.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,17.0,16.0,16.0,15.0,16.0,35.0,16.0,16.0,19.0,16.0,10.0,16.0,18.0,18.0,18.0,16.0,16.0,15.0,22.0,21.0,16.0,16.0,16.0,16.0,19.0,16.0,16.0,17.0,16.0,16.0,29.0,30.0,16.0,16.0,16.0,16.0,16.0,16.0
layer_8,28.0,19.0,17.0,16.0,18.0,16.0,28.0,20.0,16.0,16.0,17.0,16.0,16.0,16.0,17.0,16.0,16.0,34.0,17.0,16.0,17.0,17.0,16.0,16.0,19.0,16.0,16.0,17.0,27.0,5.0,17.0,24.0,26.0,16.0,17.0,16.0,18.0,21.0,16.0,38.0,16.0,16.0,18.0,16.0,17.0,16.0,16.0,16.0,18.0,16.0,16.0,17.0,16.0,16.0,16.0,20.0,16.0,16.0,21.0,16.0,16.0,16.0,18.0,16.0,16.0,16.0,16.0,19.0,22.0,18.0,16.0
layer_9,20.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0,16.0,34.0,16.0,16.0,16.0,16.0,16.0,16.0,21.0,16.0,16.0,20.0,16.0,16.0,16.0,28.0,16.0,16.0,17.0,16.0,16.0,16.0,20.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,46.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,32.0,23.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,2.0
layer_10,16.0,16.0,16.0,16.0,16.0,17.0,16.0,18.0,20.0,16.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0,18.0,25.0,16.0,17.0,20.0,16.0,19.0,16.0,17.0,24.0,16.0,21.0,16.0,16.0,20.0,18.0,18.0,28.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,31.0,16.0,16.0,17.0,16.0,17.0,16.0,18.0,17.0,16.0,16.0,20.0,16.0,16.0,16.0,16.0,18.0,16.0,16.0,19.0
layer_11,17.0,16.0,17.0,16.0,17.0,18.0,16.0,16.0,18.0,16.0,3.0,16.0,16.0,18.0,16.0,16.0,20.0,18.0,17.0,16.0,17.0,16.0,20.0,28.0,16.0,16.0,16.0,16.0,16.0,28.0,16.0,16.0,16.0,33.0,16.0,16.0,16.0,41.0,16.0,16.0,46.0,17.0,16.0,16.0,16.0,30.0,16.0,16.0,23.0,19.0,17.0,69.0,21.0,17.0,16.0,16.0,17.0,18.0,17.0,17.0,16.0,24.0,19.0,17.0,23.0,16.0,29.0,16.0,16.0,18.0,16.0
layer_12,16.0,19.0,16.0,16.0,20.0,17.0,19.0,22.0,16.0,16.0,16.0,17.0,16.0,17.0,17.0,17.0,16.0,21.0,28.0,16.0,18.0,17.0,16.0,18.0,18.0,16.0,18.0,20.0,54.0,16.0,20.0,16.0,16.0,18.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,16.0,16.0,16.0,16.0,18.0,17.0,16.0,7.0,18.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0,16.0,28.0,16.0,16.0,16.0,16.0,16.0,21.0,16.0,16.0,17.0
layer_13,16.0,18.0,16.0,16.0,17.0,16.0,16.0,20.0,16.0,19.0,16.0,19.0,22.0,16.0,17.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,17.0,24.0,17.0,32.0,16.0,16.0,16.0,24.0,17.0,25.0,20.0,18.0,16.0,16.0,18.0,16.0,17.0,20.0,19.0,16.0,16.0,18.0,20.0,16.0,16.0,16.0,22.0,18.0,18.0,20.0,16.0,16.0,16.0,16.0,16.0,16.0,20.0,19.0,27.0,18.0,16.0,18.0,16.0,16.0,22.0,16.0,18.0,17.0,16.0
layer_14,16.0,16.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,21.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,61.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,23.0,16.0,16.0,16.0,18.0,16.0,19.0,18.0,22.0,17.0,16.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,20.0,16.0,17.0,16.0,17.0,19.0,16.0,16.0,16.0
layer_15,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,19.0,17.0,16.0,17.0,16.0,17.0,16.0,16.0,16.0,16.0,2.0,16.0,16.0,16.0,18.0,17.0,16.0,16.0,16.0,16.0,17.0,16.0,18.0,16.0,16.0,34.0,16.0,16.0,16.0,16.0,16.0,16.0,20.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,16.0,17.0,16.0,19.0,16.0,34.0,21.0
