,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,22,0,20,0,7,0,22,13,16,16,13,19
layer_1,24,16,20,19,20,17,19,23,19,19,5,3
layer_2,21,19,19,24,27,14,19,23,21,35,21,19
layer_3,19,19,22,22,19,19,19,29,15,23,19,23
layer_4,23,16,19,23,19,25,18,12,19,20,19,15
layer_5,19,19,18,17,20,19,17,19,19,19,22,19
layer_6,19,19,19,19,19,19,19,19,21,19,19,18
layer_7,21,19,19,19,20,19,19,19,20,19,19,19
layer_8,19,19,19,19,19,22,19,21,19,19,19,19
layer_9,18,19,19,19,19,19,19,19,20,19,21,19
layer_10,19,19,19,18,17,19,19,19,19,19,19,19
layer_11,10,19,19,18,19,19,19,19,3,19,19,19
