,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.07642435,0.05101009,0.12004963,0.07861922,0.17167431,0.017532436,0.03141948,0.09420598,0.07423645,0.058091868,0.14259519,0.03642894,0.12419231,0.1369406,0.095644124,0.16076772,0.07745347,0.085738845,0.045154475,0.08794589,0.050958037,0.072834566,0.047399405,0.06448334
1,0.018076912,0.06196753,0.008797962,0.040911805,0.19365932,0.052824687,0.13459213,0.032298826,0.32418394,0.08208918,0.06513721,0.18733217,0.13303159,0.16672824,0.15210578,0.25117284,0.07980058,0.12763056,0.099379346,0.072998665,0.14719638,0.06383278,0.038643196,0.07718104
2,0.11350292,0.022548245,0.06591569,0.023128727,0.084548876,0.01665344,0.17436033,0.0052156686,0.010693164,0.08183267,0.005524391,0.11147099,0.07120895,0.029754719,0.04234024,0.028805625,0.026274303,0.055854812,0.107285745,0.13319479,0.07688538,0.05502077,0.045094658,0.09028652
3,0.025245463,0.092644244,0.03637371,0.16308182,0.032304607,0.07141407,0.07337582,0.14863798,0.10634117,0.071581714,0.034223568,0.19103989,0.017496612,0.11485682,0.049185503,0.0701369,0.1503508,0.18745545,0.021074058,0.07880598,0.06424227,0.03269525,0.015727155,0.22123455
4,0.011651254,0.07100287,0.036575686,0.11052166,0.10441212,0.2541432,0.052933484,0.2655067,0.083142534,0.14576748,0.02394273,0.18979871,0.039924435,0.0013199021,0.012674401,0.002522669,0.15056975,0.0411658,0.14612517,0.07143498,0.1827497,0.08734105,0.16030896,0.07882749
5,0.13637987,0.16859728,0.10759637,0.016843304,0.18276785,0.35723704,0.06513856,0.06569356,0.14216276,0.055468015,0.043065716,0.07939551,0.10794693,0.03348981,0.03459408,0.020791132,0.17966221,0.14875796,0.17874591,0.050897185,0.032924425,0.23057635,0.14111753,0.13905047
6,0.27926737,0.12140407,0.13530695,0.18775801,0.018687015,0.04744776,0.12903814,0.26633814,0.16934773,0.049644466,0.11870588,0.019698024,0.009840786,0.13730714,0.066786416,0.09637281,0.058943745,0.012140892,0.1019966,0.14630413,0.07493319,0.15525557,0.108586304,0.030697215
7,0.34695303,0.030734086,0.067130014,0.07049728,0.10874531,0.113276355,0.15694895,0.09042229,0.0483387,0.03561595,0.11564075,0.23163578,0.074370146,0.13808946,0.10600429,0.16433159,0.1859701,0.12214417,0.051234428,0.022886036,0.23761834,0.14206792,0.07143589,0.05974822
8,0.10195412,0.10148233,0.0106145125,0.03692099,0.19313453,0.080867626,0.08488099,0.09423635,0.11876175,0.1105028,0.24556278,0.05840655,0.10845309,0.2351179,0.0641657,0.067717664,0.031749245,0.13950685,0.11591702,0.0024838543,0.04925076,0.1916987,0.25200748,0.044374656
9,0.16535668,0.05003418,0.08083589,0.036546137,0.07669957,0.10588821,0.020601394,0.17903948,0.091828264,0.07853181,0.0065609254,0.028596744,0.09295837,0.14992669,0.114530705,0.07051973,0.20651229,0.16225164,0.13362291,0.024140999,0.16466834,0.22166526,0.063736856,0.16140224
10,0.059470512,0.11818086,0.100234434,0.116223566,0.1780739,0.023207048,0.045227855,0.028720904,0.08168507,0.14555371,0.09866857,0.10998286,0.072757795,0.072645344,0.026981592,0.08016608,0.1535685,0.04449389,0.07736806,0.029471945,0.19818878,0.028931964,0.15785041,0.2126163
11,0.0707249,0.16058442,0.031036094,0.09331603,0.101797335,0.07489127,0.10181152,0.017978113,0.09500697,0.08205123,0.012643214,0.021605326,0.13398391,0.0011172629,0.031260084,0.08002562,0.097458445,0.05856286,0.0010392729,0.015641605,0.0008424403,0.044527836,0.1870389,0.08197969
