,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23
layer_0,0.13994956,0.86988443,0.051034935,0.055683803,0.080430344,0.1807853,0.2665957,1.4257534,0.3588475,0.006429986,0.0057694316,0.008776911,0.086580105,1.4201185,0.9027831,4.1474276,0.68235284,1.5464761,0.16542564,0.12932174,0.20707624,0.007261043,1.493253e-07,1.8219336e-05
layer_1,0.85053027,0.40225965,0.070180856,0.47027332,0.19327055,0.12537384,0.89393806,0.13787332,0.41590244,0.387503,0.027691102,0.04128452,0.20914559,0.40079373,0.069601074,0.22423291,1.9814637,0.034045476,0.020404419,0.044387616,0.036018714,1.4633642,0.40649185,0.15883492
layer_2,0.2315814,0.09511403,0.20874463,0.62606096,0.16031642,0.546346,0.068953335,0.1454771,0.31091473,0.17618075,0.06652296,0.016449276,0.11313319,0.21027444,0.7034383,0.00310835,0.00076404074,0.0026561082,0.22410677,0.020132296,0.0867591,0.40942523,0.07138502,0.31370816
layer_3,0.46669787,0.09472446,0.76987684,0.20893525,0.2772128,0.1116233,0.5609632,0.46509784,0.2202044,0.68033856,0.2148575,0.58740056,0.22564964,0.14836442,0.109193556,0.49179167,0.87557805,0.13094518,1.3395207,0.15655771,0.10423516,1.2079184,0.4781813,0.4297339
layer_4,0.5550067,0.33856273,0.054535206,1.4127488,0.37101355,0.65053695,0.96343225,0.9622279,0.19708556,0.31036505,0.73555005,0.15835439,1.4959389,0.41611722,0.0055968035,0.2993449,0.17540056,0.78875846,0.71269125,0.47969687,0.28064653,0.018875066,0.033361744,0.37458688
layer_5,0.24094395,0.51213324,0.49467078,0.2179232,0.5892974,0.16388014,0.008688793,0.0020019857,0.10750202,0.5905228,0.2475219,0.38782078,1.1381314,1.6598767,0.44068792,0.28511524,0.32074782,0.34197274,0.25819376,0.7467679,0.6365266,0.6802681,0.9291605,0.9481199
layer_6,0.36196324,0.060202055,0.22070411,0.63777906,0.6108752,1.4181352,0.35861626,0.5048439,0.7370491,0.6915143,0.7012053,1.2867208,1.0600321,0.3638769,1.6278247,1.5406854,0.6765977,0.5842297,0.16201393,0.05705108,0.6704137,0.12305807,0.05909019,1.4369966
layer_7,0.61959034,0.98566747,0.14145187,1.2280684,0.570606,0.43302578,1.7394801,3.72082,0.87617314,2.4313154,0.5659435,0.8036061,0.7193642,0.966689,2.491838,1.8649935,0.9756072,0.6643845,0.21585055,0.45212206,0.35664552,1.1339544,0.5253056,1.5149142
layer_8,0.21566172,0.92743975,0.067260556,1.3479863,0.6158928,1.4980643,0.07359389,0.34643674,0.02071553,1.0388215,0.5595195,1.6844748,1.0283062,1.2965738,1.5995607,1.852451,1.6689256,0.25245628,0.7681194,0.5814852,1.2920798,1.0489942,0.6620611,0.6011978
layer_9,0.9950419,1.1784177,1.1873552,0.22214487,0.7194364,0.27182007,2.7982445,3.6544125,0.7211621,0.56427264,0.5117305,0.6564983,1.0912755,0.6675097,1.3385439,0.8317215,1.5225235,1.1621684,1.3924984,0.26809976,0.37729314,0.6459671,1.9085095,0.18454316
layer_10,1.8713775,0.6320336,1.0828062,0.11859437,0.044035517,0.09909774,0.8868358,1.3468269,1.235675,0.54293877,0.9874263,0.10195562,3.4694993,3.288001,2.6471543,0.5576807,0.90396494,0.83549464,1.4597113,1.1725695,1.1470715,0.071586385,0.2867181,0.3897141
layer_11,1.9626772,0.48973888,1.7231447,1.4087176,0.6639671,0.7668576,0.8348318,1.567054,1.0024588,1.0445248,0.8582336,1.8534278,1.7470946,3.1801696,0.82103664,0.44553393,1.6517113,0.30413383,1.8879255,2.2091377,1.5845702,0.9544096,1.2181578,1.5332719
layer_12,0.47713304,0.5015641,0.73707,0.12909573,0.1517477,0.9460285,0.8268819,0.7045184,0.6941185,0.74414665,0.9014093,0.59486675,0.6812577,0.2967806,0.6952112,0.22897612,0.4729005,2.1793365,0.59175825,0.21315211,0.17419295,0.20229927,1.0868353,1.6885986
layer_13,0.9750741,0.68193597,0.39579,0.33535245,0.7604126,0.93606496,0.9469741,2.3640037,3.729544,0.6261579,0.89080524,1.0624537,0.17568746,0.010092125,0.004813287,1.04624,0.1747273,0.40404183,0.84464335,0.9604222,0.6827328,0.41721964,0.18080649,0.27549595
