,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23
layer_0,88.0,16.0,920.0,92.0,1391.0,47.0,52.0,33.0,91.0,44.0,519.0,146.0,308.0,43.0,114.0,457.0,38.0,30.0,13.0,46.0,76.0,224.0,62.0,42.0
layer_1,764.0,155.0,104.0,5.0,160.0,18.0,108.0,48.0,657.0,76.0,5.0,674.0,757.0,399.0,580.0,331.0,22.0,832.0,31.0,25.0,366.0,24.0,40.0,505.0
layer_2,58.0,553.0,10.0,82.0,71.0,0.0,186.0,0.0,0.0,25.0,5.0,8.0,108.0,620.0,6.0,1.0,2.0,3.0,13.0,220.0,32.0,11.0,96.0,6.0
layer_3,2.0,84.0,22.0,191.0,5.0,141.0,19.0,567.0,252.0,75.0,159.0,403.0,0.0,236.0,0.0,113.0,46.0,27.0,0.0,7.0,26.0,5.0,0.0,83.0
layer_4,0.0,32.0,1.0,452.0,68.0,505.0,14.0,84.0,73.0,136.0,0.0,32.0,0.0,2.0,113.0,1.0,236.0,0.0,217.0,158.0,838.0,218.0,36.0,50.0
layer_5,8.0,536.0,188.0,12.0,189.0,359.0,73.0,127.0,70.0,5.0,1.0,37.0,10.0,19.0,10.0,0.0,725.0,64.0,138.0,4.0,0.0,28.0,547.0,151.0
layer_6,681.0,191.0,32.0,313.0,8.0,1.0,60.0,175.0,513.0,53.0,5.0,3.0,1.0,163.0,37.0,587.0,39.0,0.0,383.0,80.0,94.0,156.0,242.0,36.0
layer_7,357.0,3.0,24.0,111.0,3.0,402.0,161.0,227.0,102.0,1.0,22.0,379.0,46.0,85.0,51.0,317.0,49.0,3.0,0.0,9.0,30.0,263.0,51.0,68.0
layer_8,25.0,313.0,22.0,16.0,312.0,27.0,35.0,22.0,105.0,126.0,136.0,1.0,30.0,45.0,1.0,76.0,1.0,82.0,302.0,5.0,15.0,8.0,350.0,3.0
layer_9,3.0,9.0,12.0,30.0,12.0,6.0,0.0,46.0,19.0,24.0,47.0,2.0,36.0,71.0,9.0,94.0,371.0,109.0,13.0,0.0,179.0,51.0,20.0,75.0
layer_10,8.0,170.0,48.0,15.0,2.0,9.0,15.0,85.0,20.0,52.0,207.0,5.0,3.0,142.0,3.0,5.0,7.0,10.0,32.0,17.0,27.0,8.0,43.0,147.0
layer_11,5.0,12.0,1.0,63.0,38.0,10.0,14.0,0.0,19.0,19.0,0.0,26.0,0.0,3.0,1.0,12.0,4.0,2.0,0.0,6.0,0.0,0.0,2.0,0.0
layer_12,731.0,735.0,523.0,658.0,716.0,733.0,592.0,315.0,712.0,649.0,141.0,707.0,595.0,770.0,705.0,663.0,595.0,739.0,717.0,72.0,669.0,596.0,697.0,739.0
layer_13,822.0,789.0,745.0,758.0,1099.0,739.0,842.0,794.0,816.0,866.0,770.0,1313.0,1215.0,844.0,1143.0,910.0,750.0,1111.0,828.0,803.0,797.0,728.0,738.0,1001.0
layer_14,49.0,1.0,2.0,42.0,28.0,0.0,109.0,1.0,0.0,31.0,9.0,5.0,83.0,566.0,2.0,3.0,12.0,17.0,12.0,36.0,92.0,49.0,91.0,58.0
layer_15,1.0,20.0,29.0,679.0,5.0,98.0,43.0,351.0,156.0,98.0,50.0,293.0,0.0,60.0,12.0,114.0,187.0,8.0,9.0,6.0,26.0,48.0,0.0,55.0
layer_16,0.0,18.0,8.0,243.0,67.0,281.0,20.0,8.0,60.0,59.0,0.0,18.0,0.0,1.0,61.0,4.0,46.0,0.0,86.0,119.0,751.0,67.0,85.0,42.0
layer_17,2.0,353.0,154.0,10.0,133.0,218.0,76.0,73.0,47.0,6.0,22.0,67.0,15.0,14.0,13.0,5.0,573.0,56.0,83.0,6.0,0.0,26.0,269.0,111.0
layer_18,295.0,168.0,25.0,185.0,1.0,1.0,48.0,62.0,577.0,36.0,3.0,10.0,3.0,35.0,25.0,399.0,12.0,1.0,236.0,18.0,82.0,118.0,40.0,30.0
layer_19,268.0,2.0,13.0,86.0,1.0,211.0,87.0,84.0,29.0,2.0,9.0,291.0,37.0,37.0,39.0,80.0,5.0,3.0,3.0,12.0,6.0,81.0,25.0,24.0
layer_20,24.0,73.0,5.0,104.0,143.0,5.0,66.0,8.0,12.0,14.0,59.0,5.0,12.0,2.0,5.0,37.0,2.0,36.0,51.0,5.0,2.0,16.0,58.0,2.0
layer_21,0.0,8.0,7.0,9.0,22.0,31.0,7.0,31.0,1.0,32.0,29.0,25.0,16.0,33.0,8.0,41.0,40.0,7.0,33.0,1.0,33.0,10.0,1.0,19.0
layer_22,166.0,407.0,346.0,246.0,322.0,284.0,382.0,327.0,272.0,131.0,125.0,190.0,174.0,317.0,213.0,171.0,295.0,357.0,222.0,314.0,259.0,24.0,295.0,344.0
layer_23,386.0,301.0,395.0,373.0,428.0,180.0,149.0,518.0,245.0,333.0,89.0,59.0,392.0,300.0,74.0,351.0,167.0,201.0,85.0,294.0,492.0,219.0,161.0,144.0
