,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,283,134,187,251,316,39,263,306,305,310,234,182
layer_1,376,399,531,15,144,115,85,187,24,16,527,69
layer_2,52,16,66,17,33,189,47,319,142,482,575,15
layer_3,15,28,9,19,15,15,172,264,44,15,15,65
layer_4,13,22,15,43,15,17,15,72,16,16,15,12
layer_5,15,15,16,17,18,16,13,15,16,15,15,15
layer_6,22,15,15,15,49,15,15,15,17,16,15,15
layer_7,9,15,15,15,15,15,15,15,15,15,16,15
layer_8,15,15,15,15,15,15,17,15,15,15,15,15
layer_9,15,15,15,16,15,15,15,15,22,15,15,15
layer_10,15,15,15,15,15,21,15,15,15,26,15,15
layer_11,20,15,15,15,15,18,15,15,311,15,15,15
