,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,15,24,0,0,8,9,4,32,129,24,25,16
layer_1,17,22,3,3,0,90,85,9,18,11,12,3
layer_2,2,0,14,9,11,1,0,6,6,2,5,67
layer_3,1,7,21,82,3,0,9,0,3,7,9,0
layer_4,17,14,2,1,15,58,7,4,53,13,1,0
layer_5,39,1,1,1,12,23,1,1,16,1,0,30
layer_6,4,8,4,0,2,4,1,24,17,0,1,0
layer_7,2,7,2,2,1,6,3,0,7,0,29,0
layer_8,11,11,2,12,5,13,11,17,8,14,11,5
layer_9,5,8,2,4,3,13,20,5,1,10,13,6
layer_10,9,1,2,13,3,8,4,8,6,6,6,10
layer_11,13,18,5,1,6,11,11,12,12,9,2,7
