,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,31,38,48,121,50,35,35,48,214,25,149,131
layer_1,13,65,7,0,7,35,0,18,0,0,2,2
layer_2,134,7,0,0,10,2,0,10,2,134,10,11
layer_3,3,0,3,159,76,56,0,0,9,37,2,64
layer_4,16,14,0,0,10,63,1,5,0,0,0,30
layer_5,126,0,2,0,3,0,0,0,1,145,70,0
layer_6,0,0,0,0,5,1,32,0,0,169,0,137
layer_7,7,1,57,0,155,25,0,0,10,64,142,9
layer_8,0,0,4,0,0,11,3,0,0,16,1,0
layer_9,0,0,6,1,0,0,0,71,9,3,0,0
layer_10,6,0,67,0,0,0,0,0,0,0,5,1
layer_11,0,0,26,0,0,11,0,0,13,12,0,0
