,0,1,2,3,4,5,6,7,8,9,10,11
0,0.020066889,0.0100334445,0.050167225,0.0,0.026755853,0.026755853,0.008361204,0.0050167223,0.02341137,0.04682274,0.02173913,0.031772576
1,0.0,0.0,0.0,0.0,0.0,0.0033444816,0.0,0.0,0.0033444816,0.0033444816,0.0,0.04347826
2,0.0016722408,0.0050167223,0.0100334445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.02173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016722407,0.0,0.0050167223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025083613,0.0
5,0.0,0.0050167223,0.02341137,0.0016722408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.008361204,0.0,0.0,0.0,0.0,0.016722407,0.0016722408,0.0,0.0,0.0,0.0,0.0
7,0.0050167223,0.0,0.0,0.0,0.0,0.0033444816,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.04682274,0.0,0.0016722408,0.0,0.0,0.0,0.0016722408,0.0,0.0,0.0
9,0.0,0.0,0.0016722408,0.0,0.0,0.0100334445,0.0,0.0,0.0,0.0,0.0,0.006688963
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028428094,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.013377926,0.0,0.0,0.0,0.0,0.0,0.0050167223,0.0
