,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,222,183,356,469,172,88,297,23,453,10,565,93
layer_1,28,109,18,2,122,15,47,64,10,10,41,28
layer_2,661,10,0,2,40,36,0,21,125,661,2,79
layer_3,1,37,18,284,105,526,0,8,17,413,124,418
layer_4,8,180,0,0,114,239,9,24,7,10,186,202
layer_5,393,11,31,68,2,0,1,14,101,570,385,3
layer_6,12,74,31,4,119,41,144,4,0,364,7,575
layer_7,148,59,379,0,670,46,1,15,337,196,422,52
layer_8,5,2,137,3,146,277,38,24,4,33,65,15
layer_9,0,6,7,11,13,33,2,16,10,29,27,1
layer_10,116,29,42,37,40,38,44,41,16,37,6,101
layer_11,23,39,159,26,33,83,24,37,24,82,28,31
