,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,44.0,43.0,16.0,60.0,8.0,58.0,60.0,51.0,44.0,6.0,39.0,21.0,28.0,31.0,79.0,34.0
layer_1,30.0,6.0,36.0,20.0,121.0,16.0,15.0,4.0,53.0,39.0,16.0,124.0,70.0,17.0,11.0,5.0
layer_2,16.0,27.0,15.0,111.0,129.0,45.0,18.0,43.0,64.0,70.0,100.0,37.0,33.0,53.0,11.0,127.0
layer_3,12.0,72.0,15.0,11.0,10.0,30.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,15.0,12.0,12.0
layer_4,12.0,12.0,12.0,12.0,12.0,12.0,12.0,36.0,12.0,12.0,12.0,15.0,12.0,12.0,13.0,12.0
layer_5,98.0,11.0,13.0,12.0,13.0,27.0,12.0,12.0,12.0,12.0,12.0,11.0,14.0,12.0,12.0,24.0
layer_6,48.0,74.0,12.0,12.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0
layer_7,14.0,22.0,12.0,13.0,12.0,11.0,12.0,13.0,13.0,12.0,13.0,19.0,12.0,12.0,12.0,12.0
layer_8,12.0,12.0,4.0,13.0,17.0,14.0,12.0,12.0,14.0,31.0,12.0,17.0,20.0,12.0,16.0,12.0
layer_9,12.0,12.0,12.0,13.0,7.0,17.0,12.0,13.0,12.0,32.0,10.0,12.0,12.0,14.0,12.0,12.0
layer_10,12.0,13.0,12.0,14.0,14.0,13.0,12.0,12.0,12.0,13.0,12.0,32.0,15.0,12.0,12.0,12.0
layer_11,12.0,16.0,12.0,10.0,25.0,12.0,9.0,13.0,12.0,12.0,8.0,30.0,15.0,11.0,69.0,12.0
layer_12,12.0,12.0,13.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,12.0,11.0,13.0,13.0,14.0,12.0
layer_13,27.0,11.0,12.0,12.0,12.0,6.0,12.0,12.0,11.0,12.0,15.0,12.0,29.0,12.0,12.0,14.0
layer_14,12.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,22.0,13.0,15.0,11.0,13.0,12.0,11.0
layer_15,13.0,19.0,6.0,11.0,12.0,12.0,12.0,12.0,11.0,16.0,12.0,14.0,12.0,20.0,12.0,11.0
layer_16,12.0,12.0,16.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,14.0,12.0,12.0,12.0,12.0,10.0
layer_17,12.0,12.0,13.0,12.0,11.0,12.0,12.0,11.0,12.0,11.0,12.0,16.0,13.0,12.0,12.0,12.0
layer_18,12.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,9.0,13.0,12.0,13.0,12.0,12.0,12.0,12.0
layer_19,12.0,12.0,31.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,13.0,12.0,12.0,12.0,12.0
layer_20,12.0,12.0,12.0,32.0,12.0,11.0,12.0,12.0,12.0,12.0,13.0,36.0,12.0,12.0,27.0,12.0
layer_21,12.0,12.0,11.0,13.0,12.0,16.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
layer_22,12.0,12.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0
layer_23,11.0,13.0,12.0,12.0,12.0,14.0,12.0,12.0,15.0,11.0,15.0,12.0,12.0,12.0,12.0,13.0
layer_24,14.0,12.0,13.0,13.0,12.0,12.0,12.0,12.0,13.0,12.0,14.0,12.0,26.0,13.0,10.0,13.0
layer_25,12.0,12.0,12.0,11.0,12.0,12.0,19.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0
layer_26,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,20.0,16.0,12.0,12.0,12.0,12.0,12.0
layer_27,12.0,12.0,8.0,20.0,12.0,17.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0
