,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23
layer_0,28.0,42.0,32.0,2.0,206.0,3.0,33.0,0.0,11.0,35.0,290.0,60.0,10.0,9.0,70.0,230.0,1.0,8.0,7.0,21.0,0.0,9.0,6.0,0.0
layer_1,4.0,59.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,346.0,366.0,129.0,232.0,0.0,6.0,0.0,0.0,0.0,130.0,0.0,15.0,313.0
layer_2,2.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,424.0,0.0,0.0,7.0,0.0,0.0,149.0,0.0,0.0,0.0,2.0
layer_3,0.0,0.0,6.0,40.0,0.0,26.0,2.0,225.0,39.0,2.0,168.0,40.0,0.0,102.0,0.0,10.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
layer_4,0.0,0.0,0.0,367.0,4.0,197.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,1.0,29.0,196.0,25.0,0.0,14.0
layer_5,0.0,262.0,195.0,3.0,30.0,1.0,0.0,4.0,12.0,0.0,0.0,22.0,3.0,0.0,0.0,0.0,473.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0
layer_6,408.0,2.0,0.0,25.0,0.0,0.0,19.0,0.0,2.0,23.0,0.0,1.0,0.0,99.0,0.0,254.0,0.0,1.0,188.0,6.0,12.0,1.0,50.0,1.0
layer_7,0.0,0.0,5.0,0.0,0.0,248.0,4.0,143.0,0.0,0.0,1.0,174.0,0.0,0.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
layer_8,0.0,96.0,0.0,0.0,198.0,19.0,9.0,12.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,7.0,181.0,0.0,0.0,0.0,15.0,1.0
layer_9,0.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,243.0,70.0,3.0,0.0,75.0,0.0,6.0,1.0
layer_10,8.0,21.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,7.0,132.0,1.0,0.0,62.0,0.0,4.0,0.0,0.0,23.0,4.0,9.0,0.0,16.0,4.0
layer_11,4.0,0.0,0.0,79.0,4.0,15.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_12,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_13,21.0,20.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,15.0,0.0,343.0,254.0,12.0,134.0,0.0,0.0,3.0,3.0,1.0,8.0,2.0,1.0,103.0
layer_14,8.0,0.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,396.0,0.0,0.0,22.0,0.0,0.0,8.0,1.0,1.0,2.0,4.0
layer_15,0.0,0.0,4.0,127.0,2.0,19.0,15.0,275.0,14.0,11.0,67.0,43.0,0.0,65.0,0.0,32.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
layer_16,0.0,0.0,0.0,191.0,5.0,83.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,35.0,152.0,8.0,2.0,0.0
layer_17,0.0,162.0,147.0,2.0,22.0,2.0,2.0,1.0,11.0,0.0,0.0,26.0,9.0,0.0,0.0,0.0,369.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0
layer_18,135.0,1.0,0.0,13.0,1.0,0.0,9.0,0.0,1.0,11.0,0.0,0.0,0.0,21.0,0.0,179.0,0.0,0.0,117.0,4.0,12.0,2.0,9.0,1.0
layer_19,2.0,0.0,3.0,3.0,0.0,117.0,7.0,94.0,0.0,0.0,2.0,137.0,0.0,1.0,0.0,37.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0
layer_20,0.0,32.0,0.0,26.0,77.0,2.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,33.0,0.0,1.0,0.0,6.0,0.0
layer_21,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,2.0,3.0,0.0,4.0,0.0,1.0,0.0,26.0,2.0,3.0,0.0,7.0,0.0,0.0,0.0
layer_22,0.0,3.0,11.0,0.0,0.0,8.0,41.0,0.0,18.0,1.0,12.0,2.0,0.0,10.0,0.0,16.0,1.0,0.0,0.0,0.0,3.0,2.0,17.0,0.0
layer_23,68.0,0.0,0.0,43.0,7.0,1.0,0.0,19.0,2.0,5.0,0.0,0.0,32.0,49.0,4.0,0.0,0.0,6.0,5.0,3.0,13.0,0.0,2.0,0.0
