,0,1,2,3,4,5,6,7,8,9,10,11
0,0.031141868,0.0,0.027681662,0.0034602077,0.0034602077,0.0,0.034602076,0.044982698,0.034602076,0.027681662,0.020761246,0.031141868
1,0.048442908,0.04152249,0.038062282,0.020761246,0.024221454,0.024221454,0.024221454,0.024221454,0.020761246,0.020761246,0.031141868,0.0
2,0.038062282,0.027681662,0.051903114,0.048442908,0.024221454,0.044982698,0.020761246,0.044982698,0.044982698,0.048442908,0.038062282,0.020761246
3,0.020761246,0.020761246,0.044982698,0.020761246,0.020761246,0.020761246,0.044982698,0.055363324,0.044982698,0.020761246,0.020761246,0.020761246
4,0.020761246,0.024221454,0.020761246,0.04152249,0.020761246,0.020761246,0.034602076,0.027681662,0.038062282,0.020761246,0.020761246,0.051903114
5,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.024221454,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246
6,0.020761246,0.020761246,0.020761246,0.020761246,0.034602076,0.020761246,0.020761246,0.020761246,0.027681662,0.020761246,0.020761246,0.020761246
7,0.044982698,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246
8,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.034602076,0.020761246,0.020761246,0.020761246,0.020761246,0.024221454
9,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.034602076,0.020761246,0.020761246,0.020761246
10,0.020761246,0.020761246,0.020761246,0.020761246,0.024221454,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246
11,0.024221454,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.020761246,0.031141868,0.020761246,0.020761246,0.020761246
