,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.075,0.12916666,0.09166667,0.1125,0.15208334,0.10625,0.15,0.10208333,0.1,0.10208333,0.077083334,0.09166667,0.083333336,0.07083333,0.072916664,0.0875
1,0.1125,0.1125,0.10208333,0.09791667,0.06458333,0.07083333,0.06666667,0.08958333,0.06666667,0.075,0.072916664,0.0625,0.06666667,0.047916666,0.06458333,0.0625
2,0.12708333,0.12083333,0.060416665,0.06875,0.0875,0.058333334,0.052083332,0.072916664,0.0625,0.047916666,0.054166667,0.06666667,0.06666667,0.05,0.041666668,0.054166667
3,0.13125,0.15208334,0.1,0.09583333,0.052083332,0.083333336,0.047916666,0.060416665,0.05625,0.045833334,0.047916666,0.04375,0.052083332,0.05625,0.05625,0.041666668
4,0.104166664,0.16041666,0.12083333,0.125,0.114583336,0.13958333,0.1875,0.05625,0.058333334,0.054166667,0.06666667,0.05,0.05625,0.0625,0.077083334,0.072916664
5,0.09583333,0.12083333,0.21041666,0.083333336,0.08541667,0.05,0.058333334,0.05,0.06666667,0.05,0.05,0.05,0.05,0.052083332,0.05,0.06458333
6,0.104166664,0.08541667,0.20833333,0.08541667,0.054166667,0.052083332,0.08125,0.06458333,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
7,0.104166664,0.19375,0.17083333,0.13541667,0.06875,0.09791667,0.15416667,0.060416665,0.06875,0.05625,0.05,0.06666667,0.052083332,0.05,0.05,0.060416665
8,0.104166664,0.10208333,0.1,0.17708333,0.0625,0.054166667,0.05,0.05625,0.06875,0.05,0.047916666,0.05,0.05,0.05,0.05,0.05
9,0.110416666,0.17291667,0.0625,0.07083333,0.077083334,0.054166667,0.079166666,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
10,0.110416666,0.1375,0.058333334,0.16875,0.079166666,0.07083333,0.07083333,0.05,0.052083332,0.05,0.05,0.05,0.05,0.05,0.05,0.05
11,0.110416666,0.075,0.104166664,0.09375,0.05,0.06458333,0.052083332,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
12,0.15416667,0.15,0.08958333,0.1,0.047916666,0.054166667,0.05,0.08541667,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
13,0.11666667,0.10625,0.05625,0.10208333,0.05,0.05,0.05,0.052083332,0.0625,0.05,0.052083332,0.05,0.05,0.05,0.05,0.05
14,0.1125,0.13541667,0.06666667,0.07083333,0.052083332,0.072916664,0.052083332,0.05,0.054166667,0.05,0.05,0.05,0.05,0.05,0.05,0.047916666
15,0.18125,0.10625,0.10208333,0.06458333,0.052083332,0.05,0.083333336,0.05,0.05,0.05,0.06458333,0.05,0.05,0.05,0.05,0.05
16,0.10208333,0.09791667,0.05,0.0625,0.05625,0.06875,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
17,0.12708333,0.12916666,0.075,0.0625,0.058333334,0.052083332,0.0625,0.083333336,0.052083332,0.05,0.05,0.05,0.05,0.052083332,0.05,0.05
18,0.114583336,0.13958333,0.09166667,0.09166667,0.06666667,0.05625,0.05625,0.052083332,0.05,0.05,0.05,0.05,0.05,0.05,0.054166667,0.05
19,0.17916666,0.11875,0.19375,0.06875,0.05,0.06875,0.072916664,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.058333334
20,0.108333334,0.15208334,0.077083334,0.05,0.05625,0.060416665,0.05,0.058333334,0.05,0.05,0.052083332,0.05,0.047916666,0.05,0.05,0.05
21,0.11875,0.09166667,0.09375,0.08125,0.05,0.06875,0.06875,0.05,0.0625,0.052083332,0.05,0.05,0.05,0.05,0.14583333,0.07083333
22,0.1125,0.14375,0.15208334,0.083333336,0.09583333,0.114583336,0.07083333,0.108333334,0.05,0.05,0.052083332,0.052083332,0.077083334,0.05,0.05,0.075
23,0.1125,0.17708333,0.09791667,0.1125,0.077083334,0.1,0.08958333,0.110416666,0.0875,0.108333334,0.058333334,0.052083332,0.052083332,0.05,0.054166667,0.060416665
