,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_13,0.685471,0.68365484,0.9856204,0.5770696,0.1961823,0.21336113,0.10843569,0.7755531,0.77380806,0.6559347,0.68419933,0.53983593,0.5228747,0.67277217,0.7849682,0.5502047,1.0357075,0.42747837,0.58868366,1.3719938,0.50060904,0.24909131,0.8433909,0.6527755,1.0535201,0.5389762,0.33896315,0.25195715,0.601289,0.7557019,0.6535515,0.87523663
layer_14,0.56485367,0.45014662,0.75906163,0.4620141,0.9632907,0.28280246,1.0083674,0.76201594,0.3767366,0.85250336,1.2806482,0.6272588,0.64464396,0.794738,0.878674,0.5698848,0.1641392,0.021992046,0.12057364,0.018755203,0.31251124,0.7973107,0.2541649,0.5502383,0.857525,1.0620165,0.03442921,0.9242278,0.44554946,0.7443639,0.39301667,0.34856522
layer_15,0.6796811,0.02574001,0.074348025,0.27594098,0.77985513,1.2915301,0.70763797,0.6058756,0.58755875,0.812246,0.66116244,0.621141,0.4014915,0.3186363,0.274363,0.30202845,0.61325103,0.083515786,0.29239535,0.2983811,0.65131384,0.69426054,0.4752168,0.63181835,0.75877523,0.5692772,0.6930187,0.6450212,0.038785625,0.36007988,0.013259704,0.31894264
layer_16,0.14261389,0.11611905,0.4785657,0.50256723,0.6275626,0.48024544,0.84254843,0.3882337,0.23196466,0.8533413,0.32156968,0.32146177,0.40499127,0.5921156,0.5533017,0.43774742,0.86854446,0.786846,0.9273109,0.5638186,0.008201631,0.032069422,0.34380934,0.009993291,0.5264995,1.087999,0.30707777,0.55320704,0.688232,0.3373348,0.1392289,0.83405346
layer_17,0.11909116,0.27047944,0.05442731,0.3989886,0.4671326,0.27350113,0.49414587,0.49517202,0.49683326,0.26925147,0.81184274,0.28168938,0.31346703,0.90217364,0.82674867,0.47486547,0.08608521,0.050199226,0.5478182,0.18628216,0.6230781,0.24744599,0.46514246,0.3481912,0.18262438,0.19112374,0.10975829,0.28837854,0.13985486,0.2852045,0.48256558,0.32986176
layer_18,0.29722208,0.5946189,0.6018154,0.045374364,0.017628884,0.054070674,0.032337204,0.12346387,0.6744736,0.34467843,0.8820908,0.69142383,0.50660956,0.12916042,0.19616127,0.18084872,0.09153423,0.02305809,0.044342786,0.084412344,0.24254099,0.016214442,0.2267131,0.19678774,0.34956375,0.80459243,0.47300482,0.6336036,0.3902419,0.495592,0.30380368,0.08361211
layer_19,0.21609189,0.0760679,0.16535151,0.34285966,0.093345344,0.15143155,0.08393909,0.18962757,0.3695379,0.26500848,0.35980988,0.34638366,0.011144076,0.11462827,0.31202507,0.23785704,0.49517056,0.05942771,0.26714107,0.1694437,0.4087653,0.068453535,0.11285891,0.32087255,0.022233615,0.26483762,0.031982407,0.049209006,0.08307141,0.105501555,0.20226838,0.2513449
layer_20,0.13971059,0.16410992,0.053858943,0.05134589,0.07513336,0.09709249,0.11735435,0.05485961,0.35386196,0.27921954,0.09830159,0.3014859,0.31458393,0.14153042,0.29968923,0.09472886,0.074300915,0.15579,0.63036317,0.21308583,0.07120922,0.34107944,0.42763907,0.054459743,0.11505957,0.15821294,0.4304012,0.41021508,0.1832223,0.17953083,0.7505557,0.37076002
layer_21,0.5735719,0.34023848,0.2050227,0.2651848,0.10882613,0.10996178,0.14599183,0.07686341,0.34453866,0.1798017,0.14714207,0.22376189,0.16105889,0.10212182,0.19566678,0.1888103,0.03985367,0.056296393,0.047643665,0.26325062,0.24244627,0.040475238,0.03872172,0.0910349,0.099329636,0.38085905,0.22627178,0.23060116,0.027876863,0.04037258,0.08315926,0.06638237
layer_22,0.06253071,0.13322836,0.12641977,0.2583806,0.4931822,0.1923535,0.20185733,0.3076986,0.32629284,0.3373856,0.16014406,0.3541412,0.10625118,0.055310585,0.19076844,0.090144515,0.10680972,0.4857976,0.25472528,0.31529477,0.04574106,0.06150996,0.07822299,0.026639586,0.150728,0.16545223,0.055673104,0.16944246,0.26512975,0.16846336,0.19565438,0.09690393
layer_23,0.2301204,0.105844446,0.11670787,0.109920226,0.14674322,0.0822615,0.12611765,0.08949966,0.107172154,0.13976812,0.039714817,0.049829565,0.0641601,0.06589525,0.03323222,0.03228967,0.0699058,0.22565831,0.09020206,0.37814453,0.09768617,0.09135914,0.08484344,0.06887081,0.08391383,0.16482493,0.045412693,0.123738155,0.083107196,0.032164466,0.041688472,0.06413513
layer_24,0.17123136,1.005103,0.15622774,0.10639995,0.012901758,0.017419305,0.021862041,0.051330745,0.015487962,0.0107050715,0.0176248,0.026189571,0.447514,0.3283225,0.2178049,0.04892059,0.20713031,0.07726175,0.088995084,0.17174734,0.05071043,0.064561136,0.041507315,0.056747288,0.07712738,0.05332902,0.0894146,0.06835717,0.07807358,0.122194245,0.019011002,0.57015216
layer_25,0.42395207,0.5648917,0.09897009,0.17802165,0.079839565,0.14035328,0.08036514,0.09302081,0.10915629,0.033257242,0.07254086,0.22695872,0.056393925,0.07886123,0.19455281,0.07477925,0.10014256,0.08546669,0.19679345,0.106173344,0.002010534,0.045450803,0.006011222,0.0076769213,0.03765416,0.038471363,0.030697936,0.07195919,0.28017065,0.018105457,0.00904509,0.0066746734
layer_26,0.23324734,0.0736511,0.2079019,0.10896565,0.091931224,0.26806763,0.3085475,0.64270633,0.08621388,0.09944374,0.19844025,0.55498713,0.10073358,0.14727184,0.07783423,0.10867707,0.09534116,0.076396085,0.15571155,0.17816077,0.102611996,0.123934284,0.39087865,0.1731589,0.06941041,0.03517991,0.23131183,0.1317086,0.14432523,0.14430733,0.11295645,0.06053569
layer_27,0.061321784,0.14047645,0.1001811,0.07218963,0.09578612,0.10800282,0.19183205,0.12296665,0.24380814,0.062678955,0.1786751,0.28756025,0.450141,0.4299988,0.8970475,0.121461906,0.18074535,0.09994653,0.0687795,0.8205945,0.0834584,0.1659383,0.1888417,0.08730978,0.04975124,0.067286894,0.04622034,0.045035403,0.6331193,0.024123803,0.20838004,0.25603727
layer_28,0.29992548,0.23247187,0.06662142,0.3367915,0.022585414,0.0060229176,0.11619435,0.025552,0.14912553,0.033936072,0.22235504,0.27070436,0.16058046,0.26643792,0.23153591,0.21785553,0.06457284,0.097611435,0.21421812,0.02486778,0.290078,0.33753908,0.054121308,0.25164938,0.09969886,0.1688972,0.020771364,0.14146572,0.12977017,0.28659642,0.17948751,0.0691811
layer_29,0.24398154,0.28214008,0.54156256,0.076203935,0.48571026,0.2132828,0.04332321,0.08800939,0.17057092,0.14076987,0.3160199,0.2975276,0.043822188,0.043605253,0.026862135,0.019017993,0.21385789,0.13388775,0.113933645,0.047104288,0.10392943,0.18663268,0.10583382,0.20707154,0.0063872384,0.006759792,0.008782574,0.014437576,0.15417911,0.122288086,0.113164164,0.3195424
layer_30,0.30887055,0.22359732,0.20691884,0.05283227,0.55703145,0.23973216,0.31755486,0.11356291,0.16138229,0.20582634,0.07218862,0.13765244,0.19794507,0.1986634,0.19082986,0.14498156,0.29223874,0.6560561,1.1703292,0.38086924,0.41519472,0.17643702,0.29671484,0.8019561,0.1808227,0.3095799,0.14905031,0.41127947,0.110494494,0.15459454,0.1473387,0.18887022
layer_31,0.20447098,0.11213052,0.11360423,0.092575,0.1859606,0.022006482,0.18481131,0.5488874,0.20815194,0.10443755,0.088780664,0.29294515,0.47629204,0.18177016,0.061963826,0.3370034,0.07391708,0.059543148,0.08533067,0.07530224,0.20147714,0.1702169,0.23769626,0.025314204,0.073233575,0.028743614,0.45481384,0.11349311,0.27816355,0.13143289,0.2388755,0.38922986
