,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_13,1.5292315,2.0109024,4.6663427,0.79161227,1.9734458,0.19039822,1.1829743,0.7564755,1.1235759,1.6548723,2.2064137,0.9657718,0.65920633,1.624187,0.5517778,4.1956024,1.4906821,2.2190094,1.941063,1.411135,1.704254,2.0816133,1.9371463,1.9459106,1.6793486,1.3432835,1.5080557,1.7100518,0.28955016,2.0814822,4.086168,4.126212
layer_14,1.9403154,1.7103759,1.2834634,0.61063147,0.49116233,1.4277678,0.058744896,1.2364019,1.0682576,1.057255,1.0261202,0.9598279,0.8570439,7.672217,0.8316607,2.7202666,1.3306289,0.25198105,0.080967575,0.07229103,2.6734288,1.4236871,1.2447406,0.9282093,0.19770075,0.9612404,0.78748107,2.149095,0.9604253,0.42031494,0.21594097,0.081111215
layer_15,2.0521367,1.1763686,1.7564,1.0033368,0.8731095,1.3173702,1.0987248,1.4530821,2.3401263,1.1359448,1.3159648,1.6360192,0.26341975,4.7075305,0.33307117,1.490857,0.32520407,1.0205094,0.71117336,2.500506,0.6307614,0.016930731,3.4877112,0.07037881,0.0053402698,0.14125733,0.004335124,0.1019571,1.1829581,1.7519004,1.3802934,1.6681064
layer_16,3.7323325,0.7932619,0.91710657,0.6502122,1.0470672,1.1946018,2.5507,1.0572144,1.864022,1.1097182,3.3779461,1.0896387,0.16812083,0.27395803,0.8569028,0.63269764,0.27151534,0.11408888,4.17663,0.21284968,0.9600417,0.7795033,0.44236127,4.154558,0.68007517,0.44210422,2.1262503,1.0973443,0.9064374,0.5740801,1.859227,0.9309665
layer_17,0.8491603,0.3278797,0.50205386,0.56488657,2.784416,4.6121297,6.870598,1.9868348,0.26581222,0.33362147,1.2408093,12.834826,3.197041,1.9989322,2.3959641,3.1600919,1.4360654,4.067683,5.914199,3.0221934,5.5898376,2.808329,3.1942656,4.285039,0.4481592,0.3192028,0.28173542,0.40924945,1.4563121,5.235415,0.075419344,0.06881465
layer_18,0.006401867,0.03360209,0.04845595,0.057786223,1.0111387,1.9530926,0.9303691,4.261758,2.4998472,0.88072866,3.0740159,1.2349199,0.5989395,0.3378073,0.32769883,0.87685037,2.9113688,2.5060966,1.1216332,0.9923501,0.67038566,0.20231503,0.049855255,0.13101518,0.675948,2.8295307,0.6189875,0.65300524,1.1192619,0.18546121,0.62335277,1.3784112
layer_19,2.2224886,3.7209628,3.0490723,1.2486192,0.63094187,1.4751829,0.65236557,0.4350152,0.35995355,0.089825906,0.39716354,0.4415873,1.6126301,1.2406887,1.6003919,1.9945003,0.22799261,0.19479577,0.2602355,0.4234001,0.51377267,3.5341668,2.6891868,0.63260454,2.0372963,1.0696192,3.1618268,2.2109058,0.49224967,0.7282617,1.4127606,1.2211417
layer_20,0.49847087,1.2914151,1.0144298,0.7391202,0.46134245,1.8891625,0.45982087,1.2803391,1.2257099,0.07045221,0.7654389,0.45111024,0.9315852,0.36872953,0.3872786,5.1338677,4.5646105,0.19308607,0.48713374,0.42058846,0.34229273,2.4639442,1.0726907,0.118027516,0.73181736,1.1874827,1.7478298,4.4096956,0.66429603,0.24159685,0.061990723,0.47084436
layer_21,0.10339563,0.30763537,0.23662762,0.20627369,0.31091973,0.9437094,0.57785815,0.947857,1.2852942,0.41604793,0.23715211,0.23241599,2.085055,0.9657553,2.158469,4.1695595,0.3289875,1.6455392,0.467309,0.10247024,2.7811575,0.52937204,0.38355896,0.769222,0.991549,5.145542,1.297653,1.02895,3.3845708,1.5496107,1.8841281,1.4310371
layer_22,0.19036037,0.25341767,1.2872946,0.16243118,0.1689064,0.8503173,0.30416813,0.10230554,2.159059,0.38167468,0.2664438,0.15189344,3.31602,1.6102238,1.6960216,3.2179267,0.6169699,0.12405606,0.4941234,0.38025367,3.2824476,0.5909264,2.7308805,1.5199538,0.18918909,2.4190683,0.44641346,0.7503424,1.7623217,0.3982343,0.15739113,0.18277803
layer_23,1.9948101,2.568524,2.2045224,4.1632037,1.8261174,0.52329755,0.5047724,0.20979217,0.4211006,0.4652168,0.9657025,0.2112474,0.121838994,0.101302035,0.109614104,0.1268456,1.0015098,0.8623692,3.3731203,2.2857397,9.540597,2.1149642,2.2936592,1.5411785,4.753601,2.0341878,1.7255905,2.1986156,0.27398318,0.45839813,1.6220269,0.5441397
layer_24,1.2734888,1.9451412,2.5244546,1.338731,1.3042089,0.28185806,0.44576436,1.8654128,0.66773796,0.56655,0.33502418,0.13527125,0.597563,2.000389,1.3222477,0.677509,0.42987117,0.38516533,0.37116846,0.7350472,0.31876287,1.1846838,0.6044412,0.67080253,0.5781772,0.37752485,1.5276295,0.3345383,0.42576846,0.39479694,0.16151878,0.23097876
layer_25,0.50836104,1.3074044,1.0009061,0.95452946,0.3860371,0.4728779,2.0097833,0.55000246,0.510263,2.2867894,1.2757254,0.6099757,3.0186458,0.22690818,0.90020984,0.9080096,0.14264147,0.2652909,0.2252895,4.4005995,0.54577404,0.51317066,0.19192593,0.21382241,0.36493838,0.13704689,0.6676393,0.11708731,1.1685112,0.34779626,0.112919964,0.18255785
layer_26,0.81989163,0.52026737,0.4041692,0.30844638,0.16342935,0.084431835,0.110888354,0.6682178,1.0195947,0.9669035,4.3046274,0.6946889,0.11082482,0.28132454,0.13061352,2.048177,0.65583956,0.31780237,0.6361368,0.63959694,1.4175564,1.3978723,3.0278716,1.7524761,1.0054196,1.6793491,1.0659481,1.6379968,0.5810282,0.8553246,2.3345973,0.4818929
layer_27,0.9730076,0.57890046,0.1661082,0.4492718,1.3403244,0.3609144,0.3488816,0.6601366,0.5569473,1.8771979,0.3062139,1.2330694,1.0308224,6.275648,0.5260867,2.1831017,0.6668053,0.8495613,1.9021727,0.57670355,2.266349,0.656613,1.0460875,2.604308,1.5211598,1.1086987,1.5790755,0.4295086,0.69630253,0.626122,0.38760525,0.43076468
layer_28,0.45264187,0.53042597,0.9799642,0.78498834,1.7266349,1.6639961,4.8156633,3.2050896,1.3072479,0.75356597,4.063361,1.6830361,1.8690253,1.5863848,2.0980282,1.4700773,0.27997464,0.31801665,0.23293865,0.45065048,1.0525893,0.582941,0.31228724,0.9715843,2.0690145,0.35968304,0.3115919,1.1900564,2.127217,0.7294724,3.3422194,0.49456704
layer_29,0.5805799,0.22990152,2.635035,0.099543765,1.2162987,0.047704257,1.0461546,0.39605418,2.141585,0.37677592,0.36736467,0.56648517,3.2094474,0.8753427,1.6089866,0.33941242,1.6972613,2.4127858,1.6934226,1.2192107,0.2768422,0.3118369,0.3749164,0.4183341,0.27321404,1.2770606,0.6357738,0.6476432,3.4923172,2.2151344,0.13164712,1.2328312
layer_30,0.8596905,0.36025572,0.31953657,0.25673074,0.11581025,0.88489187,0.28723577,4.6781163,0.26670134,0.1981936,2.2669208,0.32948607,3.2490532,1.7652844,4.2051773,0.35765865,3.0514557,1.2570585,3.3697689,1.6215352,0.1690358,3.4676764,0.4894885,2.0567837,0.359648,0.73838186,0.22926714,0.37866274,0.3285385,2.6610863,0.23957583,0.28312558
layer_31,2.6340556,5.861345,1.6193125,1.174856,0.44911107,1.1924382,0.35141453,2.702235,0.8629525,0.3350983,1.6738622,2.0686452,0.35993478,1.1098603,0.76067007,0.4362188,0.6317291,0.87434465,0.2591215,0.43680653,1.750283,1.081925,3.822528,1.4567299,3.5352461,5.2201385,1.4770838,2.6177552,0.5447024,0.28748548,0.36078948,0.22304481
