model,dependency,languages_present,distinct_topk_heads,consolidation_ratio
Carballo-bloom-1.3B,acl,1,1,1.0
Carballo-bloom-1.3B,advmod,2,4,2.0
Carballo-bloom-1.3B,amod,2,4,2.0
Carballo-bloom-1.3B,appos,1,2,2.0
Carballo-bloom-1.3B,aux,1,2,2.0
Carballo-bloom-1.3B,case,2,3,1.5
Carballo-bloom-1.3B,compound,1,4,4.0
Carballo-bloom-1.3B,compounds,2,4,2.0
Carballo-bloom-1.3B,conj,2,4,2.0
Carballo-bloom-1.3B,verb_auxiliars,2,5,2.5
Claire-Mistral-7B-0.1,acl,1,1,1.0
Claire-Mistral-7B-0.1,advmod,1,3,3.0
Claire-Mistral-7B-0.1,amod,1,3,3.0
Claire-Mistral-7B-0.1,appos,1,3,3.0
Claire-Mistral-7B-0.1,case,1,3,3.0
Claire-Mistral-7B-0.1,compounds,1,2,2.0
Claire-Mistral-7B-0.1,conj,1,1,1.0
Claire-Mistral-7B-0.1,verb_auxiliars,1,2,2.0
FLOR-1.3B,acl,1,1,1.0
FLOR-1.3B,advmod,1,3,3.0
FLOR-1.3B,amod,1,3,3.0
FLOR-1.3B,appos,1,2,2.0
FLOR-1.3B,aux,1,3,3.0
FLOR-1.3B,case,1,2,2.0
FLOR-1.3B,compound,1,1,1.0
FLOR-1.3B,compounds,1,2,2.0
FLOR-1.3B,conj,1,2,2.0
FLOR-1.3B,verb_auxiliars,1,3,3.0
GlorIA-1.3B,acl,1,3,3.0
GlorIA-1.3B,advmod,2,5,2.5
GlorIA-1.3B,amod,2,6,3.0
GlorIA-1.3B,appos,1,5,5.0
GlorIA-1.3B,aux,1,3,3.0
GlorIA-1.3B,case,2,3,1.5
GlorIA-1.3B,compound,1,4,4.0
GlorIA-1.3B,compounds,2,4,2.0
GlorIA-1.3B,conj,2,5,2.5
GlorIA-1.3B,verb_auxiliars,2,7,3.5
Llama-3.1-8B,acl,7,8,1.1428571428571428
Llama-3.1-8B,advmod,8,5,0.625
Llama-3.1-8B,amod,8,4,0.5
Llama-3.1-8B,appos,7,2,0.2857142857142857
Llama-3.1-8B,aux,6,40,6.666666666666667
Llama-3.1-8B,case,8,3,0.375
Llama-3.1-8B,compound,6,6,1.0
Llama-3.1-8B,compounds,8,3,0.375
Llama-3.1-8B,conj,8,1,0.125
Llama-3.1-8B,verb_auxiliars,8,3,0.375
Llama-3.2-1B,acl,7,5,0.7142857142857143
Llama-3.2-1B,advmod,8,4,0.5
Llama-3.2-1B,amod,8,4,0.5
Llama-3.2-1B,appos,7,7,1.0
Llama-3.2-1B,aux,6,40,6.666666666666667
Llama-3.2-1B,case,8,6,0.75
Llama-3.2-1B,compound,6,3,0.5
Llama-3.2-1B,compounds,8,3,0.375
Llama-3.2-1B,conj,8,2,0.25
Llama-3.2-1B,verb_auxiliars,8,5,0.625
Llama-3.2-3B,acl,7,5,0.7142857142857143
Llama-3.2-3B,advmod,8,2,0.25
Llama-3.2-3B,amod,8,3,0.375
Llama-3.2-3B,appos,7,2,0.2857142857142857
Llama-3.2-3B,aux,6,22,3.6666666666666665
Llama-3.2-3B,case,8,3,0.375
Llama-3.2-3B,compound,6,2,0.3333333333333333
Llama-3.2-3B,compounds,8,2,0.25
Llama-3.2-3B,conj,8,1,0.125
Llama-3.2-3B,verb_auxiliars,8,2,0.25
Mistral-7B-v0.3,acl,7,6,0.8571428571428571
Mistral-7B-v0.3,advmod,8,5,0.625
Mistral-7B-v0.3,amod,8,5,0.625
Mistral-7B-v0.3,appos,7,5,0.7142857142857143
Mistral-7B-v0.3,aux,6,4,0.6666666666666666
Mistral-7B-v0.3,case,8,6,0.75
Mistral-7B-v0.3,compound,6,5,0.8333333333333334
Mistral-7B-v0.3,compounds,8,4,0.5
Mistral-7B-v0.3,conj,8,3,0.375
Mistral-7B-v0.3,verb_auxiliars,8,5,0.625
Turkcell-LLM-7b-v1,acl,1,3,3.0
Turkcell-LLM-7b-v1,advmod,1,3,3.0
Turkcell-LLM-7b-v1,amod,1,3,3.0
Turkcell-LLM-7b-v1,appos,1,2,2.0
Turkcell-LLM-7b-v1,aux,1,3,3.0
Turkcell-LLM-7b-v1,case,1,3,3.0
Turkcell-LLM-7b-v1,compound,1,3,3.0
Turkcell-LLM-7b-v1,compounds,1,3,3.0
Turkcell-LLM-7b-v1,conj,1,1,1.0
Turkcell-LLM-7b-v1,verb_auxiliars,1,3,3.0
albertina-900m-portuguese-ptpt-encoder,acl,1,3,3.0
albertina-900m-portuguese-ptpt-encoder,advmod,2,2,1.0
albertina-900m-portuguese-ptpt-encoder,amod,2,2,1.0
albertina-900m-portuguese-ptpt-encoder,appos,1,2,2.0
albertina-900m-portuguese-ptpt-encoder,aux,1,2,2.0
albertina-900m-portuguese-ptpt-encoder,case,2,1,0.5
albertina-900m-portuguese-ptpt-encoder,compound,1,2,2.0
albertina-900m-portuguese-ptpt-encoder,compounds,2,2,1.0
albertina-900m-portuguese-ptpt-encoder,conj,2,2,1.0
albertina-900m-portuguese-ptpt-encoder,verb_auxiliars,2,3,1.5
bert-base-gl-cased,acl,1,2,2.0
bert-base-gl-cased,advmod,2,3,1.5
bert-base-gl-cased,amod,2,4,2.0
bert-base-gl-cased,appos,1,2,2.0
bert-base-gl-cased,aux,1,3,3.0
bert-base-gl-cased,case,2,3,1.5
bert-base-gl-cased,compound,1,2,2.0
bert-base-gl-cased,compounds,2,3,1.5
bert-base-gl-cased,conj,2,5,2.5
bert-base-gl-cased,verb_auxiliars,2,3,1.5
bert-base-turkish-uncased,acl,1,3,3.0
bert-base-turkish-uncased,advmod,1,3,3.0
bert-base-turkish-uncased,amod,1,3,3.0
bert-base-turkish-uncased,appos,1,2,2.0
bert-base-turkish-uncased,aux,1,3,3.0
bert-base-turkish-uncased,case,1,3,3.0
bert-base-turkish-uncased,compound,1,3,3.0
bert-base-turkish-uncased,compounds,1,3,3.0
bert-base-turkish-uncased,conj,1,1,1.0
bert-base-turkish-uncased,verb_auxiliars,1,3,3.0
bert-base-uncased,acl,7,3,0.42857142857142855
bert-base-uncased,advmod,8,6,0.75
bert-base-uncased,amod,8,5,0.625
bert-base-uncased,appos,7,8,1.1428571428571428
bert-base-uncased,aux,6,8,1.3333333333333333
bert-base-uncased,case,8,5,0.625
bert-base-uncased,compound,6,7,1.1666666666666667
bert-base-uncased,compounds,8,4,0.5
bert-base-uncased,conj,8,7,0.875
bert-base-uncased,verb_auxiliars,8,6,0.75
berteus-base-cased,acl,1,1,1.0
berteus-base-cased,advmod,1,2,2.0
berteus-base-cased,amod,1,2,2.0
berteus-base-cased,appos,1,2,2.0
berteus-base-cased,aux,1,2,2.0
berteus-base-cased,case,1,6,6.0
berteus-base-cased,compound,1,4,4.0
