coverage_tier,heads,median_retention,mean_retention
<50%,5329,0.995276389771931,0.8221116940718056
50-60%,1794,1.0,0.9733476240531581
60-70%,222,0.9791564977108362,0.9455965880174731
70-80%,130,0.963817164956585,0.9311734045293195
80-90%,158,0.9675254605031312,0.941253007376201
90-100%,3715,1.0,0.9523157255356312
